,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt
9872735,9872735,house,bungalow,noprice,forsale,1840,xl,installed,1980,good,gas,282,3,760,true,true,300,true,,,1,3,
9872756,9872756,house,house,321470,forsale,4630,l,,,,,,4,550,,,,,,,,,
9872749,9872749,house,house,129000,forsale,4030,l,,,,,570,2,470,true,true,160,,,,,,
9872750,9872750,house,house,190000,forsale,5580,xl,notinstalled,1880,tobedoneup,fueloil,399,2,650,true,,,,,,1,3,
9872766,9872766,house,villa,noprice,forsale,8310,xl,installed,1961,torenovate,gas,690,3,673,true,true,410,true,true,,,2,
9872869,9872869,house,villa,noprice,forsale,1410,xl,hyperequipped,1976,asnew,,,5,944,,,400,true,true,,,1,
9872970,9872970,house,house,noprice,forsale,6980,m,,,torenovate,,,1,925,,,925,,,,3,5,
9872995,9872995,house,house,195000,forsale,9240,m,semiequipped,1962,torenovate,gas,752,2,270,,,182,true,,,,,
9873013,9873013,house,townhouse,noprice,forsale,2840,l,semiequipped,1982,good,gas,233,3,159,,,53,true,,,3,2,
9873098,9873098,house,house,159500,forsale,4101,xl,installed,,good,gas,540,4,115,,true,,true,,,1,,
9873097,9873097,house,house,169000,forsale,4420,xl,installed,,good,gas,359,3,123,true,true,,,,,,,
9873103,9873103,house,house,119500,forsale,4100,xl,semiequipped,1980,good,gas,387,3,75,,true,18,,,,,,
9873104,9873104,house,mixedusebuilding,234000,forsale,4100,xl,installed,,good,gas,305,4,340,true,,20,,,,,,
9873106,9873106,house,house,noprice,forsale,9570,l,hyperequipped,2021,,,25,4,769,,,,true,,,,4,
9873107,9873107,house,mixedusebuilding,noprice,forsale,9570,l,hyperequipped,2021,,,25,4,769,,,,true,,,,4,
9873119,9873119,house,house,260000,forsale,6110,m,,,asnew,,334,4,0,,,,true,,,,50,
9873147,9873147,house,house,169500,forsale,4100,xl,semiequipped,,good,gas,394,3,215,true,,65,true,,,,,
9873146,9873146,house,mixedusebuilding,299000,forsale,4480,xl,hyperequipped,1934,,gas,400,4,680,,true,500,true,true,,1,,
9873195,9873195,house,house,575000,forsale,1950,l,,,,,,5,155,,,,,,,,,1
9873156,9873156,house,villa,noprice,forsale,1400,xl,installed,1979,good,fueloil,434,3,655,,,,true,,,1,4,
9873157,9873157,house,house,310000,forsale,1400,xl,semiequipped,,good,gas,287,4,490,true,true,,true,true,,1,1,
9873148,9873148,house,house,89000,forsale,4100,xl,notinstalled,,good,gas,540,4,114,,true,,,true,,2,,
9873211,9873211,house,bungalow,292000,forsale,03130,l,,2022,,,,3,163,,true,,true,,true,,,
9873204,9873204,house,countrycottage,395000,forsale,1457,m,semiequipped,1800,torenovate,fueloil,449,5,2330,,true,,true,,,2,6,
9873217,9873217,house,house,290000,forsale,03178,l,,2022,,,,3,150,,true,,true,,true,,1,
9873219,9873219,house,villa,550000,forsale,03189,l,,2023,,,,3,310,,,,true,,true,,1,
9873218,9873218,house,villa,600000,forsale,03180,l,,2022,,,,3,405,,true,,true,,true,,1,
9873241,9873241,house,house,noprice,forsale,8000,xl,installed,,justrenovated,gas,192,4,80,,,,,,,,,
9873239,9873239,house,mansion,noprice,forsale,8000,m,hyperequipped,,asnew,gas,216,6,280,,,122,,,,,,
9873237,9873237,house,mansion,noprice,forsale,8000,m,installed,,asnew,gas,277,2,435,,,110,,,,,4,
9873266,9873266,house,house,noprice,forsale,5100,m,,,,,,6,282,,,282,,,,1,,
9873257,9873257,house,house,255000,forsale,8800,xl,,1956,,,663,2,190,,true,,,,,1,,
9873281,9873281,house,apartmentblock,430000,forsale,9870,xl,,1955,,fueloil,414,0,940,,true,,,,,,2,
9873294,9873294,house,villa,549000,forsale,2900,l,installed,2023,,,30,3,584,,,,,,,,2,
9873480,9873480,house,house,220000,forsale,7110,l,installed,,asnew,gas,244,2,145,true,true,,,,,,,
9873347,9873347,house,exceptionalproperty,830000,forsale,1742,m,hyperequipped,,asnew,gas,221,5,3010,,,,true,true,,2,6,
9873483,9873483,house,house,noprice,forsale,9032,xl,installed,1930,good,gas,232,3,178,,,,,,,,,
9873521,9873521,house,house,339500,forsale,9170,m,installed,1942,good,gas,,4,275,,,,,,,,,
9873557,9873557,house,villa,860000,forsale,8830,m,installed,1969,tobedoneup,,619,4,3536,,,,true,true,,2,3,
9873484,9873484,house,mansion,noprice,forsale,9000,xl,installed,,good,gas,146,3,125,,,,,,,,,
9873606,9873606,house,house,83000,forsale,4860,xl,,,torenovate,,,0,0,,,,,,,,,
9873560,9873560,house,house,579000,forsale,2860,m,installed,2022,,,,4,534,,,,true,,,2,2,
9873693,9873693,house,house,noprice,forsale,9990,m,,1960,torenovate,,732,3,469,,,,true,,,,,
9873668,9873668,house,house,439000,forsale,1450,xl,hyperequipped,,asnew,gas,,3,457,true,true,,true,,,,1,
9873612,9873612,house,house,335000,forsale,3300,m,usahyperequipped,1970,torenovate,gas,534,4,1336,,true,,true,,,2,5,
9873684,9873684,house,villa,550000,forsale,1300,xl,semiequipped,1969,torenovate,fueloil,461,5,1622,,,,true,,true,2,6,
9873695,9873695,house,house,noprice,forrent,1050,xl,,1896,good,gas,,4,0,,true,,,,,1,1,
9873696,9873696,house,house,noprice,forrent,1000,xl,,1907,good,gas,,1,0,,,,true,,,,1,
9873715,9873715,house,house,noprice,forsale,8647,m,,1948,justrenovated,fueloil,,4,879,,true,,,,,,,
9873709,9873709,house,bungalow,noprice,forsale,1770,m,,1973,good,gas,345,4,700,,,,,,,,,
9873717,9873717,house,house,noprice,forsale,9790,xl,,1934,,fueloil,735,2,1756,true,true,200,true,,,1,,
9873726,9873726,house,house,noprice,forsale,9700,l,semiequipped,,tobedoneup,fueloil,254,2,283,,,,,true,,1,,
9873732,9873732,house,countrycottage,noprice,forsale,8647,xl,hyperequipped,1835,justrenovated,gas,351,3,1340,,,800,,,,,2,
9873733,9873733,house,house,219000,forsale,3970,m,notinstalled,2022,asnew,,,3,325,,,,,,,,2,
9873734,9873734,house,house,219000,forsale,3970,m,notinstalled,2022,asnew,,,3,390,,,,,,,,,
9873755,9873755,housegroup,housegroup,355500-355500,forsale,1790,m,,,,,50,,,,,,,,,1,,1
9873756,9873756,houseunit,houseunit,355500,forsale,1790,m,usahyperequipped,2023,asnew,,,3,260,true,,260,true,,,1,1,1
9873757,9873757,houseunit,houseunit,noprice,forsale,1790,m,usahyperequipped,2023,asnew,,,3,365,,,365,true,,,,,
9873758,9873758,houseunit,houseunit,noprice,forsale,1790,m,usahyperequipped,2023,asnew,,,3,420,,,420,true,,,,,
9873778,9873778,house,house,noprice,forsale,5544,xl,semiequipped,,good,pellet,741,4,189,,true,,true,,,,,
9873808,9873808,house,house,495000,forsale,1060,m,,1930,torenovate,,169,5,58,,,,true,,,,,
9873780,9873780,house,chalet,noprice,forsale,6800,xl,semiequipped,1968,asnew,,567,2,400,,,320,true,,,,2,
9873864,9873864,house,house,noprice,forrent,8950,m,semiequipped,,justrenovated,,90,3,270,,,,,,,,2,
9873973,9873973,house,house,299000,forsale,1332,l,installed,,,,587,3,592,,,,,,,1,,
