,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt
9912069,9912069,house,house,370000,forsale,9550,xl,,2022,,,,3,203,,,,true,,,1,,
9912072,9912072,house,house,399000,forsale,9550,xl,,2022,,,,3,250,,,,true,,,1,,
9912073,9912073,house,house,430000,forsale,9550,xl,,2022,,,,3,149,,,,true,,,1,,
9912187,9912187,house,house,543472,forsale,4537,l,,,,,,4,1292,,,,,,,,,
9912166,9912166,house,house,683000,forsale,1500,m,,,tobedoneup,gas,,5,398,,true,,true,,,2,,
9912190,9912190,house,house,249000,forsale,8510,m,semiequipped,,,gas,203,3,514,,,420,true,,,,,
9912212,9912212,house,house,noprice,forrent,9968,xl,installed,2008,asnew,gas,169,3,270,,,,,,,1,2,
9912248,9912248,house,house,noprice,forsale,8370,m,installed,2015,asnew,gas,111,3,370,,,,,true,,1,1,
9912280,9912280,house,house,430000,forsale,3680,m,,1967,asnew,,178,3,669,,true,,true,true,,,,
9912288,9912288,house,mansion,195000,forsale,7130,m,semiequipped,1900,torenovate,gas,426,5,280,,,,,,,,,
9912281,9912281,house,house,279000,forsale,2370,m,installed,1950,asnew,fueloil,322,2,289,,true,,true,,,1,,
9912262,9912262,house,villa,779000,forsale,2240,m,installed,1986,tobedoneup,gas,189,5,1420,true,,2466,true,,,2,9,
9912370,9912370,house,apartmentblock,910000,forsale,1150,m,,,good,,318,6,0,,,,true,,,,,
9912343,9912343,house,house,3565000,forsale,8300,xl,installed,1955,asnew,gas,236,5,536,true,true,536,true,true,,1,4,
9912381,9912381,house,house,1050,forrent,9420,xl,,2021,asnew,gas,26,3,0,,,,true,,,1,1,
9912361,9912361,house,house,599000,forsale,1050,xl,semiequipped,1920,torenovate,gas,246,4,131,true,true,,true,,,1,,
9912371,9912371,house,house,225000,forsale,1430,m,installed,1975,tobedoneup,gas,368,5,370,,,260,true,,,1,,
9912399,9912399,house,apartmentblock,720000,forsale,1050,m,usahyperequipped,,good,gas,199,6,0,,,,true,,,,,
9912425,9912425,house,house,noprice,forsale,4682,l,,,,fueloil,447,4,576,true,true,,true,,,1,3,
9912438,9912438,house,house,540000,forsale,1030,xl,usahyperequipped,1900,asnew,gas,630,4,0,,,30,true,,,,,
9912433,9912433,house,house,275000,forsale,9190,xl,,,good,,463,2,204,true,,111,true,true,,,,
9912472,9912472,house,house,noprice,forsale,7100,xl,semiequipped,,good,,285,1,71,true,,,,,,,2,
9912446,9912446,house,house,300000,forsale,6280,l,hyperequipped,1975,good,electric,465,4,2855,true,true,2200,true,true,,2,5,
9912479,9912479,house,house,188000,forsale,7712,m,installed,,good,gas,382,3,179,true,,65,true,,,,,
9912480,9912480,house,villa,280000,forsale,7390,m,semiequipped,1973,tobedoneup,fueloil,,2,1969,true,true,,true,,,1,3,
9912495,9912495,house,mixedusebuilding,675000,forsale,7804,m,hyperequipped,,good,fueloil,313,7,1226,,true,,,true,,,,
9912502,9912502,house,house,198000,forsale,1640,m,notinstalled,,torenovate,,1800,1,577,,,400,true,,,1,4,
9912548,9912548,housegroup,housegroup,446470-500113,forsale,3220,m,,,,,,,,,,,,,,,,1
9912504,9912504,house,villa,1500000,forsale,3140,l,usahyperequipped,1992,good,gas,202,5,3025,true,true,,true,true,true,2,3,
9912549,9912549,houseunit,houseunit,446470,forsale,3220,m,hyperequipped,2022,asnew,,,3,0,,,72,true,,,,1,1
9912551,9912551,houseunit,houseunit,489470,forsale,3220,m,hyperequipped,2022,asnew,,,3,0,,,59,true,,,,1,1
9912550,9912550,houseunit,houseunit,451355,forsale,3220,m,hyperequipped,2022,asnew,,,3,0,,,58,true,true,,,1,1
9912552,9912552,houseunit,houseunit,500113,forsale,3220,m,hyperequipped,2022,asnew,,,3,0,,,60,true,true,,,1,1
9912589,9912589,house,mixedusebuilding,290000,forsale,4800,l,semiequipped,,tobedoneup,,236,0,157,,,,true,true,,,4,
9912627,9912627,house,house,339000,forsale,2060,m,,,,gas,148,3,59,,,,true,,,,,
9912648,9912648,house,house,139000,forsale,2300,l,,1920,,gas,626,2,54,,,,,,,,,
9912614,9912614,house,house,279000,forsale,3320,xl,,1918,good,fueloil,396,3,686,true,true,300,true,true,,,,
9912651,9912651,house,house,499000,forsale,3040,l,notinstalled,1950,good,gas,587,4,3000,,,600,true,,,1,3,
9912707,9912707,house,house,179000,forsale,6929,xl,notinstalled,1850,good,,310,3,140,true,,,true,,,,1,
9912664,9912664,house,house,179000,forsale,7700,l,semiequipped,,tobedoneup,gas,318,4,160,true,,60,true,,,,,
9912709,9912709,house,house,99000,forsale,6929,xl,,1850,torenovate,,,2,0,,,,,,,1,1,
9912708,9912708,house,house,245000,forsale,6929,xl,usasemiequipped,1875,good,fueloil,237,4,723,true,true,850,,,,1,2,
9912742,9912742,house,house,274900,forsale,9500,l,semiequipped,1974,tobedoneup,fueloil,668,5,470,true,,,,,,1,3,
9912727,9912727,house,house,229000,forsale,7141,xl,installed,2016,asnew,gas,129,3,218,true,true,130,true,true,,1,1,
9912762,9912762,house,house,noprice,forsale,8790,m,,2007,good,gas,141,3,294,,true,,true,true,,,,
9912872,9912872,house,house,noprice,forsale,7130,xl,notinstalled,,good,gas,472,4,230,,true,150,,,,,,
9912768,9912768,house,house,449000,forsale,1367,m,hyperequipped,,asnew,fueloil,337,3,1178,true,true,,true,,,1,,
9912805,9912805,house,house,394900,forsale,2260,m,usahyperequipped,2022,,,,3,561,,,,true,,,1,1,1
9912800,9912800,house,house,269000,forsale,6900,l,,1985,justrenovated,gas,,0,295,,,,,true,,,,
9912878,9912878,house,house,265000,forsale,3390,l,semiequipped,1976,tobedoneup,fueloil,355,2,715,,,,,,,1,,
9912942,9912942,house,house,380000,forsale,4347,m,notinstalled,1950,good,fueloil,515,4,990,true,true,800,true,,,1,1,
9913037,9913037,house,house,noprice,forsale,1060,xl,hyperequipped,,asnew,gas,270,3,70,,true,,true,,,,,
9913084,9913084,house,house,noprice,forsale,2222,l,,,good,gas,339,4,932,,true,,true,,,1,,
9913094,9913094,house,house,235000,forsale,3401,xl,installed,,good,fueloil,432,3,400,true,true,,true,,,,,
9913125,9913125,house,apartmentblock,650000,forsale,4430,xl,installed,1970,good,gas,256,8,485,,true,,true,,,4,,
9913160,9913160,house,house,421542,forsale,7522,l,,,,,,3,1200,,,,,,,,,1
9913129,9913129,house,apartmentblock,650000,forsale,4430,xl,installed,1970,good,gas,472,7,256,,true,,true,,,4,,
9913161,9913161,house,house,392989,forsale,1350,l,,,,,,4,1359,,,,,,,,,1
9913162,9913162,house,house,420891,forsale,1350,l,,,,,,3,1359,,,,,,,,,1
9913185,9913185,house,house,noprice,forrent,8300,xl,,2010,asnew,,,3,0,,,,true,,,2,,
9913169,9913169,house,house,295000,forsale,8540,m,,1975,tobedoneup,electric,1032,3,938,,true,,,,,,,
9913191,9913191,house,house,noprice,forsale,2940,m,,,,,,3,0,,,,,,,1,,
9913170,9913170,house,bungalow,295000,forsale,8540,m,,1975,tobedoneup,electric,1032,3,938,,true,,,,,,,
9913198,9913198,house,house,319000,forsale,9680,xl,,,,gas,,3,372,,,,,,,,,
9913202,9913202,house,house,510500,forsale,9320,l,hyperequipped,,,,,3,312,,,,,,,,,
9913226,9913226,house,house,noprice,forsale,8560,m,,,justrenovated,gas,437,2,400,,,,,,,1,,
9913219,9913219,house,house,435000,forsale,2540,m,notinstalled,1973,justrenovated,gas,197,3,196,,true,80,,,,,,
9913223,9913223,house,house,1450000,forsale,8510,xl,,1966,good,,340,4,3792,,true,,,,,2,5,
9913225,9913225,house,house,noprice,forsale,8310,xl,installed,1958,good,,267,4,261,,true,,true,,,1,4,
9913236,9913236,housegroup,housegroup,noprice,forsale,7730,m,,,,,,,,,,,,,,,2,
9913238,9913238,house,mixedusebuilding,269000,forsale,7500,m,installed,1950,good,gas,339,5,206,,,,true,,,,,
9913306,9913306,house,house,320000,forsale,8680,xl,,1952,torenovate,,1298,4,5036,,,,,,,1,1,
9913237,9913237,house,house,195000,forsale,7740,m,installed,1950,good,gas,184,3,410,,,340,true,,,,,
9913323,9913323,house,house,455000,forsale,3191,l,hyperequipped,2022,asnew,,,3,322,,,100,true,,,1,2,1
