,Floor,Number of floors,Covered parking spaces,Outdoor parking spaces,Surroundings type,Living area,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Shower rooms,Toilets,Terrace surface,Terrace orientation,Accessible for disabled people,Intercom,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Tenement building,Address,Website,Available as of,Living room surface,Garden surface,Elevator,TV cable,Heating type,Double glazing,Garden orientation,Price,Kitchen type,Kitchen surface,Neighbourhood or locality,Construction year,Building condition,Virtual visit,Basement,Furnished,Thermic solar panels,External reference,Number of frontages,Swimming pool,Property name,Street frontage width,Dining room,Dressing room,Laundry room,Basement surface,Visio phone,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Latest land use designation,Monthly charges,Cadastral income,Agent's name,Flood zone type,Office,Armored door,Caretaker,Secure access / alarm,As built plan,E-level (overall energy performance),Conformity certification for fuel tanks,Heat pump,Photovoltaic solar panels,Common water heater,Total ground floor buildable,Living room,Garden,Terrace,Available date,Bedroom 4 surface,Obligation to build,How many fireplaces?,Jacuzzi,Sauna,Office surface,Professional space,Attic surface,Sea view,Attic,Internet,Type of building,Number of annexes,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Air conditioning
9198875,,,,,Urban,49m² square meters,1,,,,1,,1,,,,,Not specified,Not specified,in aanvraag,Not specified,Not specified,No,Tolpoortstraat 1189800- Deinze,,,,,,,,No,,"€ 210,000 210000 €",,,,2015,As new,,,No,,2021_10,,,Collegehof,,,No,,,,Yes,No,No,No,Residential area with cultural historical aesthetic value,,,,Non flood zone,No,,,,,,,,,,,Yes,,,,,No,,,,,,,,,,,,,,,,,,
9199195,,,,,"Living area (residential, urban or rural)",94m² square meters,2,12m² square meters,10m² square meters,,1,,1,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,No,"Fehrenbachstraat, 53 2440- Geel",http://www.immosp.be,At delivery,,73m² square meters,Yes,,,Yes,,"€ 268,000 268000 €",,,,2020,As new,,,,Yes,3954162,,,,,,,,,Yes,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,30,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,
9200348,,,,,"Living area (residential, urban or rural)",94m² square meters,2,,,,,,,23m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,http://www.vastgoed-degroote.be,At delivery,,120m² square meters,,,Gas,Yes,,"€ 340,000 340000 €",,,,,,,,,,,,,,,,,,,,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200346,,,,,"Living area (residential, urban or rural)",96m² square meters,2,,,,,,,23m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,http://www.vastgoed-degroote.be,At delivery,,120m² square meters,,,Gas,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200347,,,,,"Living area (residential, urban or rural)",89m² square meters,2,,,,,,,23m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,http://www.vastgoed-degroote.be,At delivery,,120m² square meters,,,Gas,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200349,,,,,"Living area (residential, urban or rural)",89m² square meters,2,,,,,,,23m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,http://www.vastgoed-degroote.be,At delivery,,120m² square meters,,,Gas,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200350,,,,,"Living area (residential, urban or rural)",94m² square meters,2,,,,,,,23m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,http://www.vastgoed-degroote.be,At delivery,,120m² square meters,,,Gas,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200351,,,,,"Living area (residential, urban or rural)",89m² square meters,2,,,,,,,23m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,http://www.vastgoed-degroote.be,At delivery,,120m² square meters,,,Gas,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200361,,,,,"Living area (residential, urban or rural)",120m² square meters,3,,,,1,,2,39m² square meters,South,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,http://www.vastgoed-degroote.be,At delivery,,127m² square meters,,,,,South,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9202956,,,,,Urban,122m² square meters,2,,,,1,,1,19m² square meters,,No,,Not specified,Not specified,\\,Not specified,Not specified,No,Bazelstraat 32 9150- Kruibeke,http://www.dewaele.com,,,,Yes,,,,,"€ 264,900 264900 €",Installed,,,2017,Good,,,No,,D9150-FI60502,3,No,,,,,,,,Yes,No,Yes,No,"Living area (residential, urban or rural)",,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
