,ID,Floor,Covered parking spaces,Outdoor parking spaces,Surroundings type,Living area,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Terrace surface,Terrace orientation,Primary energy consumption,Energy class,CO₂ emission,Yearly theoretical total energy consumption,Tenement building,Address,Living room surface,Elevator,TV cable,Heating type,Double glazing,Price,Kitchen type,Kitchen surface,Construction year,Building condition,Basement,Thermic solar panels,Number of frontages,Swimming pool,Street frontage width,Dressing room,Laundry room,Planning permission obtained,Subdivision permit,Monthly charges,Cadastral income,Office,Heat pump,Photovoltaic solar panels,Common water heater,Garden,Terrace,Bedroom 4 surface,Jacuzzi,Sauna,Office surface,Number of annexes,Living room surfacea
2060,9353486,4.0,,,,96,2.0,,,,,,,,,Not specified,Not specified,Not specified,No,Scheldestraat 9 2000- Antwerpen,,Yes,No,,No,300000.0,,,2021.0,,,,,No,,No,,,,,,No,,,,,,,,,,,
2061,9353492,4.0,,,,92,2.0,,,,,,,,,Not specified,Not specified,Not specified,No,Scheldestraat 9 2000- Antwerpen,,Yes,No,,No,286250.0,,,2021.0,,,,,No,,No,,,,,,No,,,,,,,,,,,
2062,9353490,4.0,,,,106,1.0,,,,,,,,,Not specified,Not specified,Not specified,No,Scheldestraat 9 2000- Antwerpen,,Yes,No,,No,298250.0,,,2021.0,,,,,No,,No,,,,,,No,,,,,,,,,,,
2064,9353491,4.0,,,,101,2.0,,,,,,,,,Not specified,Not specified,Not specified,No,Scheldestraat 9 2000- Antwerpen,,Yes,No,,No,282750.0,,,2021.0,,,,,No,,No,,,,,,No,,,,,,,,,,,
2065,9353493,4.0,,,,97,2.0,,,,,,,,,Not specified,Not specified,Not specified,No,Scheldestraat 9 2000- Antwerpen,,Yes,No,,No,296750.0,,,2021.0,,,,,No,,No,,,,,,No,,,,,,,,,,,
2066,9353494,4.0,,,,92,2.0,,,,,,,,,Not specified,Not specified,Not specified,No,Scheldestraat 9 2000- Antwerpen,,Yes,No,,No,292000.0,,,2021.0,,,,,No,,No,,,,,,No,,,,,,,,,,,
2067,9353500,3.0,,,,79,1.0,,,,,,,,,Not specified,Not specified,Not specified,No,Scheldestraat 9 2000- Antwerpen,,Yes,No,,No,213000.0,,,2021.0,,,,,No,,No,,,,,,No,,,,,,,,,,,
2068,9353495,3.0,,,,96,2.0,,,,,,,,,Not specified,Not specified,Not specified,No,Scheldestraat 9 2000- Antwerpen,,Yes,No,,No,298250.0,,,2021.0,,,,,No,,No,,,,,,No,,,,,,,,,,,
2075,9353502,3.0,,,,77,1.0,,,,,,,,,Not specified,Not specified,Not specified,No,Scheldestraat 9 2000- Antwerpen,,Yes,No,,No,208500.0,,,2021.0,,,,,No,,No,,,,,,No,,,,,,,,,,,
2080,9258509,1.0,,1.0,,121,3.0,10,7,,1.0,,26,,,Not specified,Not specified,Not specified,No,Astridlaan 1 1700- Dilbeek,,,,Gas,,356401.0,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,
2082,9160613,,27.0,,Urban,84,2.0,,,,1.0,1.0,12,,66.0,A,Not specified,Not specified,No,Avenue de Bouillon 92 6800- Libramont,,Yes,,Gas,Yes,234900.0,Installed,,2021.0,As new,Yes,Yes,2.0,No,,,,,,,,,,,,,,,,,,,
2084,9161131,,,,"Living area (residential, urban or rural)",,2.0,11,13,,,1.0,38,East,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,,Yes,Yes,Gas,Yes,207975.0,,,,As new,,,4.0,,,,Yes,,,,,,,,,,,,,,,,
2086,9162837,,,4.0,,240,4.0,20,20,40,1.0,2.0,70,,168.0,D,36 kg CO₂/m²,Not specified,No,Avenue de Tervuren 113 1040- Etterbeek,35m² square meters,Yes,,Gas,Yes,1125.0,Hyper equipped,,1978.0,Good,Yes,,3.0,No,,,,,,,7.594,,,,,,,40,,,,,35
2091,9167342,,,,,400,3.0,11,12,32,1.0,1.0,,,164.0,B,33 kg CO₂/m²,58812 kWh/year,No,Rue Saint-Achaire 86 7700- Mouscron,,No,,Gas,Yes,510000.0,Installed,,,As new,,Yes,,No,,,,,No,,1.269,Yes,,,,,Yes,,,,,,
2093,9170755,,1.0,,,67,1.0,,,,1.0,,,,,Not specified,Not specified,Not specified,No,Elisabethlaan 336 8400- Oostende,,Yes,Yes,,No,209900.0,,,2023.0,,,,,No,,No,,Yes,No,,,No,,,,Yes,Yes,,,,,,
2095,9174721,,,,,400,3.0,11,12,32,1.0,1.0,,,164.0,B,33 kg CO₂/m²,58812 kWh/year,No,Rue Saint-Achaire 86 7700- Mouscron,,No,,Gas,Yes,329000.0,Installed,,1930.0,As new,,Yes,,No,,,,,No,,1.269,Yes,,,,,Yes,,,,,,
2097,9174901,,,,Urban,97,2.0,15,11,,1.0,2.0,16,,95.0,B,Not specified,9178 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,33m² square meters,Yes,,Gas,Yes,230000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,33
2099,9174904,,,,Urban,61,1.0,13,,,1.0,1.0,16,,95.0,B,Not specified,5775 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,24m² square meters,Yes,,Gas,Yes,159500.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,24
2100,9174905,,,,Urban,96,2.0,15,13,,1.0,2.0,14,,87.0,B,Not specified,8219 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,33m² square meters,Yes,,Gas,Yes,228000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,33
2102,9174903,,,,Urban,111,2.0,17,12,,1.0,2.0,16,,84.0,A,Not specified,9275 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,39m² square meters,Yes,,Gas,Yes,240000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,39
