,ID,Floor,Covered parking spaces,Outdoor parking spaces,Surroundings type,Living area,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Terrace surface,Terrace orientation,Primary energy consumption,Energy class,CO₂ emission,Yearly theoretical total energy consumption,Tenement building,Address,Living room surface,Elevator,TV cable,Heating type,Double glazing,Price,Kitchen type,Kitchen surface,Construction year,Building condition,Basement,Thermic solar panels,Number of frontages,Swimming pool,Street frontage width,Dressing room,Laundry room,Planning permission obtained,Subdivision permit,Monthly charges,Cadastral income,Office,Heat pump,Photovoltaic solar panels,Common water heater,Garden,Terrace,Bedroom 4 surface,Jacuzzi,Sauna,Office surface,Number of annexes,Living room surfacea
656,9309055,3.0,,,Urban,,2.0,,,,1.0,1.0,,,,Not specified,Not specified,Not specified,No,Oudstrijderslaan 17 9600- Ronse,,Yes,No,Gas,Yes,399000.0,,,,,,,,No,,No,,Yes,Yes,,,No,,,,,Yes,,,,,,
657,9309057,2.0,,,Urban,,2.0,,,,1.0,1.0,,,,Not specified,Not specified,Not specified,No,Oudstrijderslaan 17 9600- Ronse,,Yes,No,Gas,Yes,233000.0,,,,,,,,No,,No,,Yes,Yes,,,No,,,,,Yes,,,,,,
658,9309058,2.0,,,Urban,,2.0,,,,1.0,1.0,,,,Not specified,Not specified,Not specified,No,Oudstrijderslaan 17 9600- Ronse,,Yes,No,Gas,Yes,233900.0,,,,,,,,No,,No,,Yes,Yes,,,No,,,,,Yes,,,,,,
660,9309062,1.0,,,Urban,,2.0,,,,1.0,1.0,,,,Not specified,Not specified,Not specified,No,Oudstrijderslaan 17 9600- Ronse,,Yes,No,Gas,Yes,232000.0,,,,,,,,No,,No,,Yes,Yes,,,No,,,,,Yes,,,,,,
662,9309059,2.0,,,,,2.0,,,,1.0,1.0,,,,Not specified,Not specified,Not specified,No,Oudstrijderslaan 17 9600- Ronse,,Yes,No,Gas,Yes,208000.0,,,,,,,,No,,No,,Yes,Yes,,,No,,,,,Yes,,,,,,
663,9309064,1.0,,,Urban,,2.0,,,,1.0,1.0,,,,Not specified,Not specified,Not specified,No,Oudstrijderslaan 17 9600- Ronse,,Yes,No,Gas,Yes,207750.0,,,,,,,,No,,No,,Yes,Yes,,,No,,,,,Yes,,,,,,
664,9309063,1.0,,,Urban,,2.0,,,,,,,,,Not specified,Not specified,Not specified,No,Oudstrijderslaan 17 9600- Ronse,,Yes,No,Gas,Yes,232800.0,,,,,,,,No,,No,,Yes,No,,,No,,,,,,,,,,,
666,9309335,2.0,1.0,1.0,Urban,99,2.0,,,,1.0,1.0,9,,,Not specified,Not specified,Not specified,No,Hondsstraat 21B1 3700- Tongeren,,Yes,,,Yes,262918.0,Installed,,,As new,Yes,,,No,,,,Yes,,,,,,,,,,,,,,,
672,9309153,7.0,1.0,,,36,1.0,,,,1.0,1.0,,,167.0,D,Not specified,Not specified,No,Avenue Eleonore 6 1150- Woluwe-St-Pierre,18m² square meters,Yes,,Gas,Yes,195000.0,,,1972.0,To be done up,Yes,,,,,,,,,,1.217,,,,,,Yes,,,,,,18
673,9309581,1.0,,,Urban,100,2.0,11,13,,1.0,2.0,18,,,Not specified,Not specified,Not specified,No,Frankrijklei 93 2000- Antwerpen,,Yes,,Gas,Yes,490000.0,USA hyper equipped,,2020.0,As new,Yes,,2.0,,9.16 m,,,,,,,,,,,,,,,,,,
677,9309583,3.0,,,,100,2.0,11,13,,1.0,,22,,,Not specified,Not specified,Not specified,No,Frankrijklei 93 2000- Antwerpen,,Yes,,Gas,Yes,490000.0,USA hyper equipped,,,As new,,,2.0,,916 m,,,,,,,,,,,,,,,,,,
678,9309582,2.0,,,,100,2.0,11,13,,1.0,2.0,18,,,Not specified,Not specified,Not specified,No,Frankrijklei 93 2000- Antwerpen,,Yes,,Gas,Yes,500000.0,USA hyper equipped,,2020.0,As new,Yes,,,,9.16 m,,,,,,,,,,,,,,,,,,
687,9309609,2.0,,,,69,3.0,,,,1.0,,7,,,Not specified,Not specified,Not specified,No,Basiliekstraat 135 1500- Halle,,,,,,289000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,9309618,2.0,,,,108,3.0,,,,1.0,,13,,,Not specified,Not specified,Not specified,No,Basiliekstraat 135 1500- Halle,,,,,,355000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,9309617,2.0,,,,67,1.0,,,,1.0,,7,,,Not specified,Not specified,Not specified,No,Basiliekstraat 135 1500- Halle,,,,,,215000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,9309615,2.0,,,,74,1.0,,,,1.0,,4,,,Not specified,Not specified,Not specified,No,Basiliekstraat 135 1500- Halle,,,,,,229000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,9309629,1.0,,,,96,2.0,,,,1.0,,4,,,Not specified,Not specified,Not specified,No,Basiliekstraat 135 1500- Halle,,,,,,285000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,9309630,1.0,,,,86,2.0,,,,1.0,,4,,,Not specified,Not specified,Not specified,No,Basiliekstraat 135 1500- Halle,,,,,,264000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,9309626,1.0,,,,110,2.0,,,,1.0,,5,,,Not specified,Not specified,Not specified,No,Basiliekstraat 135 1500- Halle,,,,,,321500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,9309632,2.0,,,,52,1.0,,,,1.0,,10,,,Not specified,Not specified,Not specified,No,Basiliekstraat 135 1500- Halle,,,,,,201000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,9309634,2.0,,,,127,2.0,,,,1.0,,9,,,Not specified,Not specified,Not specified,No,Basiliekstraat 135 1500- Halle,,,,,,341000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,9309640,1.0,,,,112,2.0,,,,1.0,,5,,,Not specified,Not specified,Not specified,No,Basiliekstraat 135 1500- Halle,,,,,,313000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,9310277,2.0,,,,,1.0,,,,1.0,1.0,,,,Not specified,Not specified,Not specified,No,Jan Palfijnstraat 1A 8500- Kortrijk,,,,Gas,No,215000.0,,,2015.0,As new,,,2.0,,,No,,,No,,,No,No,,,,,,,,,,
707,9310072,1.0,,,,82,2.0,9,10,,1.0,1.0,6,,,Not specified,Not specified,Not specified,No,Schoolstraat 28 8540- Deerlijk,35m² square meters,,,,Yes,255000.0,Installed,,,Good,,,2.0,,,,,Yes,Yes,,,No,,,,,,,,,,,35
716,9208993,2.0,1.0,1.0,"Living area (residential, urban or rural)",109,2.0,,,,1.0,1.0,14,,,Not specified,Not specified,Not specified,No,Moerkerkse Steenweg 1 8310- Brugge,,Yes,Yes,,Yes,303500.0,Hyper equipped,,2021.0,,Yes,,3.0,,,,,Yes,,,,,,,,,,,,,,,
720,9208996,3.0,1.0,1.0,"Living area (residential, urban or rural)",109,2.0,20,13,,1.0,1.0,10,,,Not specified,Not specified,Not specified,No,Moerkerkse Steenweg 1 8310- Brugge,27m² square meters,Yes,Yes,,Yes,369500.0,Hyper equipped,14,2021.0,,Yes,,3.0,,,,,Yes,,,,,,,,,,,,,,,27
721,9208997,3.0,1.0,1.0,"Living area (residential, urban or rural)",107,2.0,21,12,,1.0,1.0,11,,,Not specified,Not specified,Not specified,No,Moerkerkse Steenweg 1 8310- Brugge,26m² square meters,Yes,Yes,,Yes,369500.0,Hyper equipped,10,2021.0,,Yes,,3.0,,,,,Yes,,,,,,,,,,,,,,,26
724,9209478,1.0,,,,65,1.0,15,,,,1.0,15,South West,549.0,F,Not specified,Not specified,No,Molenstraat 74 9300- Aalst,25m² square meters,Yes,Yes,Gas,,120000.0,Installed,10,1965.0,To be done up,,,2.0,,,,,Yes,No,,340.34,,,,,,,,,,,,25
730,9210430,2.0,,,,73,1.0,,,,1.0,1.0,6,,,Not specified,Not specified,Not specified,No,Paalstraat 70 2900- Schoten,,,,,Yes,289500.0,Installed,,,,,,2.0,,,,,Yes,No,,,,,,,,,,,,,,
731,9210433,2.0,,,,77,1.0,,,,1.0,1.0,6,,,Not specified,Not specified,Not specified,No,Paalstraat 70 2900- Schoten,,Yes,,,Yes,299500.0,Installed,,,,Yes,,2.0,,,,,Yes,No,,,,,,,,,,,,,,
737,9212877,1.0,,1.0,,93,2.0,14,14,,1.0,2.0,12,,,Not specified,Not specified,Not specified,No,Avenue Zénobe Gramme 30 1er étage 1301- Wavre,31m² square meters,,,Gas,Yes,265000.0,Installed,,2020.0,,Yes,,4.0,,,,,,,,,,,,,,,,,,,,31
738,9213456,1.0,,,,93,2.0,,,,1.0,,7,,,Not specified,Not specified,Not specified,No,Vrijheid 147 2320- Hoogstraten,,Yes,Yes,Gas,Yes,315000.0,Hyper equipped,,2021.0,Good,,Yes,2.0,No,,,,Yes,No,,,,No,No,Yes,,,,No,No,,,
752,9214319,3.0,1.0,,,70,1.0,,,,1.0,,,,,Not specified,Not specified,Not specified,No,Museumstraat 50 2000- Antwerpen,,,,,,203000.0,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,
769,9214977,1.0,2.0,2.0,,89,2.0,12,9,,1.0,1.0,,,,Not specified,Not specified,Not specified,No,Prins Boudewijnlaan 218 2650- Edegem,,,,,,286500.0,,,,,,,2.0,,,,,,,,,,,,,,Yes,,,,,,
770,9214804,1.0,,,,88,2.0,13,11,,1.0,1.0,10,,,Not specified,Not specified,Not specified,No,Europalaan 68 3600- Genk,38m² square meters,Yes,Yes,Gas,Yes,237933.0,Installed,,2019.0,,,,,No,15 m,No,,,No,,,No,No,,,,,,,,,,38
771,9214981,1.0,2.0,2.0,,124,3.0,11,7,7,1.0,1.0,,,,Not specified,Not specified,Not specified,No,Prins Boudewijnlaan 218 2650- Edegem,,,,,,360000.0,,,,,,,3.0,,,,,,,,,,,,,,Yes,,,,,,
773,9214856,4.0,,,Landscape,54,2.0,11,9,,2.0,1.0,,,153.0,B,Not specified,Not specified,No,Albert plein 68300- Knokke,,Yes,,Gas,Yes,940000.0,Installed,,1970.0,As new,,,2.0,No,,,,,,,,,,,,,,,,,,,
777,9215072,4.0,,,,,2.0,12,5,,2.0,2.0,,,153.0,B,Not specified,Not specified,No,Zeedijk Zoute 792 8300- Knokke-Heist,,Yes,,,,940000.0,,,1970.0,As new,,,,No,,,,,,,,,,,,,,,,,,,
790,9311727,3.0,,,Urban,36,,,,,1.0,,,,628.0,F,Not specified,Not specified,No,Stationstraat 31 8790- Waregem,,Yes,,,,115000.0,Installed,,,Good,,,4.0,No,,,,Yes,No,,,,,,,,,,,,,,
793,9311828,1.0,,,,146,3.0,,,,1.0,,9,,,Not specified,Not specified,Not specified,No,Kempische Steenweg 398 3500- Hasselt,,No,Yes,,Yes,247500.0,,,2021.0,,,Yes,3.0,No,,,,Yes,No,,,,Yes,Yes,Yes,,,,No,No,,,
822,9312003,2.0,,1.0,,50,1.0,,,,1.0,1.0,2,,213.0,E,55 kg CO₂/m²,Not specified,No,Sint-Gisleinsstraat 53 1000- Bruxelles ville,,Yes,,Gas,Yes,210000.0,Installed,,,Good,Yes,,,,,,,,,€ 100 100 €,607.607,,,,,,,,,,,,
824,9312549,1.0,,,,95,2.0,17,10,,1.0,1.0,12,,89.0,B,Not specified,9357 kWh/year,No,Avenue Elisabeth 144 4800- Verviers,30m² square meters,,,Gas,Yes,205500.0,,7,,,,No,4.0,,,,,Yes,,,,,No,No,,,,,,,,,30
826,9312551,3.0,,,,96,2.0,17,17,,1.0,1.0,,,129.0,B,Not specified,10582 kWh/year,No,Avenue Elisabeth 144 4800- Verviers,36m² square meters,,,Gas,Yes,182000.0,,,,,,No,4.0,,,,,Yes,,,,,No,No,,,,,,,,,36
827,9312565,2.0,,,"Living area (residential, urban or rural)",,2.0,,,,,,,,,Not specified,Not specified,Not specified,No,"Avenue Herrmann-Debrouxlaan 42, 9 1160",,,,,,444000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,9312552,2.0,,,,130,3.0,17,16,10,1.0,2.0,10,,103.0,B,Not specified,14036 kWh/year,No,Avenue Elisabeth 144 4800- Verviers,21m² square meters,,,Gas,Yes,255500.0,,14,,,,No,4.0,,,,,Yes,,,,,No,No,,,,,,,,,21
829,9312554,2.0,,,,130,3.0,17,16,10,1.0,1.0,10,,103.0,B,Not specified,14096 kWh/year,No,Avenue Elisabeth 144 4800- Verviers,30m² square meters,,,Gas,Yes,285500.0,,14,,,,No,4.0,,,,,Yes,,,,,No,No,,,,,,,,,30
830,9312575,5.0,,,"Living area (residential, urban or rural)",,1.0,,,,,,,,,Not specified,Not specified,Not specified,No,"Avenue Herrmann-Debrouxlaan 42, 9 1160",,,,,,359000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,9313274,2.0,,,Urban,,2.0,,,,1.0,1.0,,,,Not specified,Not specified,Not specified,No,Oudstrijderslaan 17 9600- Ronse,,Yes,No,Gas,Yes,233000.0,,,,,,,,No,,No,,Yes,Yes,,,No,,,,,Yes,,,,,,
833,9312844,3.0,,,"Living area (residential, urban or rural)",101,3.0,,,,1.0,1.0,2,,,Not specified,Not specified,Not specified,No,Thonissenlaan 19 3500- Hasselt,,,,Gas,,275000.0,Hyper equipped,,,Just renovated,,,3.0,,,,,,,,,,,,,,,,,,,,
835,9313280,1.0,,,Urban,,2.0,,,,,,,,,Not specified,Not specified,Not specified,No,Oudstrijderslaan 17 9600- Ronse,,Yes,No,Gas,Yes,232800.0,,,,,,,,No,,No,,Yes,No,,,No,,,,,,,,,,,
836,9313273,2.0,,,,,2.0,,,,1.0,1.0,,,,Not specified,Not specified,Not specified,No,Oudstrijderslaan 17 9600- Ronse,,Yes,No,Gas,Yes,205000.0,,,,,,,,No,,No,,Yes,Yes,,,No,,,,,Yes,,,,,,
837,9313279,1.0,,,Urban,,2.0,,,,1.0,1.0,,,,Not specified,Not specified,Not specified,No,Oudstrijderslaan 17 9600- Ronse,,Yes,No,Gas,Yes,232000.0,,,,,,,,No,,No,,Yes,Yes,,,No,,,,,Yes,,,,,,
838,9313271,3.0,,,Urban,,2.0,,,,1.0,1.0,,,,Not specified,Not specified,Not specified,No,Oudstrijderslaan 17 9600- Ronse,,Yes,No,Gas,Yes,399000.0,,,,,,,,No,,No,,Yes,Yes,,,No,,,,,Yes,,,,,,
839,9313275,2.0,,,Urban,,2.0,,,,1.0,1.0,,,,Not specified,Not specified,Not specified,No,Oudstrijderslaan 17 9600- Ronse,,Yes,No,Gas,Yes,233900.0,,,,,,,,No,,No,,Yes,Yes,,,No,,,,,Yes,,,,,,
840,9313276,2.0,,,,,2.0,,,,1.0,1.0,,,,Not specified,Not specified,Not specified,No,Oudstrijderslaan 17 9600- Ronse,,Yes,No,Gas,Yes,208000.0,,,,,,,,No,,No,,Yes,Yes,,,No,,,,,Yes,,,,,,
841,9313281,1.0,,,Urban,,2.0,,,,1.0,1.0,,,,Not specified,Not specified,Not specified,No,Oudstrijderslaan 17 9600- Ronse,,Yes,No,Gas,Yes,207750.0,,,,,,,,No,,No,,Yes,Yes,,,No,,,,,Yes,,,,,,
843,9313883,1.0,,5.0,Urban,76,2.0,,,,1.0,1.0,10,,105.0,B,Not specified,7961 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,,Yes,,,,194000.0,,,,As new,,,,,,,,Yes,,,,,,,,,,,,,,,
847,9313287,2.0,,,,,2.0,,,,1.0,1.0,,,,Not specified,Not specified,Not specified,No,Oudstrijderslaan 17 9600- Ronse,,Yes,No,Gas,Yes,205000.0,,,,,,,,No,,No,,Yes,Yes,,,No,,,,,Yes,,,,,,
848,9313891,3.0,,5.0,Urban,76,2.0,,,,1.0,1.0,8,,100.0,B,Not specified,7639 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,,Yes,,,,194000.0,,,,As new,,,,,,,,Yes,,,,,,,,,,,,,,,
849,9313884,1.0,,5.0,Urban,59,1.0,,,,1.0,1.0,21,,102.0,B,Not specified,6038 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,,Yes,,,,155500.0,,,,As new,,,,,,,,Yes,,,,,,,,,,,,,,,
852,9313889,2.0,,5.0,Urban,91,2.0,,,,1.0,1.0,9,,84.0,A,Not specified,7624 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,,Yes,,,,204000.0,,,,As new,,,,,,,,Yes,,,,,,,,,,,,,,,
856,9215917,1.0,,,Urban,109,2.0,,,,1.0,,21,,,Not specified,Not specified,Not specified,No,Stationstraat 31 8790- Waregem,,Yes,,,,329500.0,,,2021.0,As new,,,4.0,No,,,,Yes,Yes,,,,,,,,,,,,,,
860,9215923,3.0,,,Urban,92,2.0,,,,1.0,,25,,,Not specified,Not specified,Not specified,No,Stationstraat 31 8790- Waregem,,Yes,,,,335500.0,,,2021.0,As new,,,4.0,No,,,,Yes,Yes,,,,,,,,,,,,,,
861,9215921,2.0,,,Urban,97,2.0,,,,1.0,,16,,,Not specified,Not specified,Not specified,No,Stationstraat 31 8790- Waregem,,Yes,,,,315000.0,,,2021.0,As new,,,4.0,No,,,,Yes,Yes,,,,,,,,,,,,,,
866,9216842,4.0,,,Urban,60,1.0,,,,1.0,1.0,,,,Not specified,Not specified,Not specified,No,Turnhoutsebaan 149/151 2970- Schilde,,Yes,Yes,,Yes,475000.0,,,2019.0,As new,Yes,,,Yes,,,,Yes,Yes,€ 120 120 €,,No,,,,,,,,,,,
872,9217363,2.0,1.0,2.0,Countryside,179,3.0,20,14,13,1.0,3.0,36,,,Not specified,Not specified,Not specified,No,Chaussée de Waterloo 1382 1180- Uccle,70m² square meters,Yes,,Gas,Yes,1350.0,USA hyper equipped,,2022.0,As new,Yes,,4.0,No,,,,,,,,,,,,,,,,,,,70
874,9218120,1.0,,,Urban,92,2.0,,,,,,17,,,Not specified,Not specified,Not specified,No,Boterstraat 47 8900- Ieper,,,,,,285000.0,,,2019.0,As new,,,2.0,,,,,,,,,,,,,,,,,,,,
876,9218121,2.0,,,Urban,92,2.0,,,,,,17,,,Not specified,Not specified,Not specified,No,Boterstraat 47 8900- Ieper,,,,,,290000.0,,,2019.0,As new,,,2.0,,,,,,,,,,,,,,,,,,,,
877,9218122,3.0,,,Urban,60,1.0,,,,,,6,,,Not specified,Not specified,Not specified,No,Boterstraat 47 8900- Ieper,,,,,,245000.0,,,,Good,,,4.0,,,,,,,,,,,,,,,,,,,,
878,9218126,5.0,,,Urban,122,3.0,,,,,,19,,,Not specified,Not specified,Not specified,No,Boterstraat 47 8900- Ieper,,,,,,530000.0,,,,Good,,,4.0,,,,,,,,,,,,,,,,,,,,
879,9218125,4.0,,,Urban,124,3.0,,,,,,19,,,Not specified,Not specified,Not specified,No,Boterstraat 47 8900- Ieper,,,,,,580000.0,,,,Good,,,4.0,,,,,,,,,,,,,,,,,,,,
880,9218123,3.0,,,Urban,93,2.0,,,,,,36,,,Not specified,Not specified,Not specified,No,Boterstraat 47 8900- Ieper,,,,,,399000.0,,,,Good,,,4.0,,,,,,,,,,,,,,,,,,,,
881,9217369,1.0,,2.0,Countryside,179,3.0,,,,2.0,,36,,65.0,B,55 kg CO₂/m²,Not specified,No,Chaussée de Waterloo 1382 1180- Uccle,,Yes,,Gas,Yes,1350.0,USA hyper equipped,,2022.0,As new,,,,No,,,,,,,,,,,,,,,,,,,
882,9218124,4.0,,,Urban,122,3.0,,,,,,19,,,Not specified,Not specified,Not specified,No,Boterstraat 47 8900- Ieper,,,,,,499000.0,,,,Good,,,4.0,,,,,,,,,,,,,,,,,,,,
883,9218134,4.0,,,,95,2.0,,,,,,17,,,Not specified,Not specified,Not specified,No,Boterstraat 47 8900- Ieper,,,,,,430000.0,,,2018.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
884,9218131,3.0,,,Urban,91,2.0,,,,,,17,,,Not specified,Not specified,Not specified,No,Boterstraat 47 8900- Ieper,,,,,,417000.0,,,2018.0,As new,,,2.0,,,,,,,,,,,,,,,,,,,,
885,9218127,3.0,,,Urban,95,2.0,,,,,,51,,,Not specified,Not specified,Not specified,No,Boterstraat 47 8900- Ieper,,,,,,530000.0,,,,Good,,,4.0,,,,,,,,,,,,,,,,,,,,
887,9218133,4.0,,,,102,3.0,,,,,,17,,,Not specified,Not specified,Not specified,No,Boterstraat 47 8900- Ieper,,,,,,499000.0,,,2018.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
888,9218251,4.0,,,,146,3.0,,,,1.0,2.0,,,,Not specified,Not specified,Not specified,No,"Chausse de St. Job, 546 1180- Bruxelles",30m² square meters,,,Gas,No,644800.0,Hyper equipped,,1922.0,,,No,2.0,,,,,,,,,,No,No,,,,,,,,,30
889,9218132,4.0,,,,95,2.0,,,,,,17,,,Not specified,Not specified,Not specified,No,Boterstraat 47 8900- Ieper,,,,,,445000.0,,,2020.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
890,9218128,5.0,,,Urban,124,3.0,,,,,,19,,,Not specified,Not specified,Not specified,No,Boterstraat 47 8900- Ieper,,,,,,599000.0,,,,Good,,,4.0,,,,,,,,,,,,,,,,,,,,
901,9219012,3.0,,,Urban,130,3.0,,,,2.0,,15,,,Not specified,Not specified,Not specified,No,Tour & Taxis - Havenlaan 86c 106c 1000- Brussels,,,,,,540000.0,,,,As new,,,4.0,,,,,,,,,,,,,,,,,,,,
902,9219018,1.0,,,Urban,130,3.0,,,,2.0,,15,,,Not specified,Not specified,Not specified,No,Tour & Taxis - Havenlaan 86c 106c 1000- Brussels,,,,,,515000.0,Hyper equipped,,,As new,,,4.0,,,,,,,,,,,,,,,,,,,,
939,9313900,1.0,,8.0,Urban,59,1.0,,,,1.0,1.0,7,,81.0,A,Not specified,4786 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,,No,,,,157500.0,,,,As new,,,,,,,,Yes,,,,,,,,,,,,,,,
941,9313899,1.0,,8.0,Urban,59,1.0,,,,1.0,1.0,7,,92.0,B,Not specified,5429 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,,No,,,,162500.0,,,,As new,,,,,,,,Yes,,,,,,,,,,,,,,,
942,9313901,1.0,,8.0,Urban,80,2.0,,,,1.0,1.0,8,,88.0,B,Not specified,7081 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,,No,,,,184000.0,,,,As new,,,,,,,,Yes,,,,,,,,,,,,,,,
943,9313902,2.0,,8.0,Urban,80,2.0,,,,1.0,1.0,8,,104.0,B,Not specified,8379 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,,No,,,,189000.0,,,,As new,,,,,,,,Yes,,,,,,,,,,,,,,,
944,9313903,2.0,,8.0,Urban,59,1.0,,,,1.0,1.0,7,,103.0,B,Not specified,6061 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,,No,,,,162500.0,,,,As new,,,,,,,,Yes,,,,,,,,,,,,,,,
945,9313904,2.0,,8.0,Urban,59,1.0,,,,1.0,1.0,7,,113.0,B,Not specified,6693 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,,No,,,,157500.0,,,,As new,,,,,,,,Yes,,,,,,,,,,,,,,,
952,9315296,2.0,,,"Living area (residential, urban or rural)",75,2.0,13,8,,1.0,1.0,,,273.0,C,Not specified,Not specified,No,Schurhoven 5 3800- Sint-Truiden,31m² square meters,Yes,,Gas,Yes,157000.0,Installed,9,1989.0,Good,Yes,,2.0,,,,,Yes,,,711.711,,,,,,,,,,,,31
960,9315595,6.0,,,,105,2.0,,,,1.0,1.0,27,,,Not specified,Not specified,Not specified,No,Visserskaai 8 8400- Oostende,,Yes,,,,535500.0,Installed,,2021.0,,,,,,,,,,No,,,,,,,,,,,,,,
962,9315594,5.0,,,,64,1.0,,,,1.0,1.0,6,,,Not specified,Not specified,Not specified,No,Visserskaai 8 8400- Oostende,,Yes,,,,269850.0,Installed,,2021.0,,,,,,,,,,No,,,,,,,,,,,,,,
964,9315603,4.0,,,,64,1.0,,,,1.0,1.0,6,,,Not specified,Not specified,Not specified,No,Visserskaai 8 8400- Oostende,,Yes,,,,259350.0,Installed,,2021.0,,,,,,,,,,No,,,,,,,,,,,,,,
965,9315605,1.0,,,,118,3.0,,,,1.0,1.0,10,,,Not specified,Not specified,Not specified,No,Vlaamse Kaai 90 2000- Anvers,,Yes,,,Yes,315000.0,Installed,,,,,,2.0,,,,,Yes,,,,,,,,,,,,,,,
966,9315598,6.0,,,,96,2.0,,,,1.0,1.0,48,,,Not specified,Not specified,Not specified,No,Visserskaai 8 8400- Oostende,,Yes,,,,509250.0,Installed,,2021.0,,,,,,,,,,No,,,,,,,,,,,,,,
974,9315604,5.0,,,,85,2.0,,,,1.0,1.0,9,,,Not specified,Not specified,Not specified,No,Visserskaai 8 8400- Oostende,,Yes,,,,359100.0,Installed,,2021.0,,,,,,,,,,No,,,,,,,,,,,,,,
977,9315611,2.0,,,,76,2.0,,,,1.0,1.0,8,,,Not specified,Not specified,Not specified,No,Vlaamse Kaai 90 2000- Anvers,,Yes,,,Yes,225000.0,Installed,,,,,,2.0,,,,,Yes,,,,,,,,,,,,,,,
979,9315612,3.0,,,,64,1.0,,,,1.0,1.0,6,,,Not specified,Not specified,Not specified,No,Visserskaai 8 8400- Oostende,,Yes,,,,248850.0,Installed,,2021.0,,,,,,,,,,No,,,,,,,,,,,,,,
980,9315621,2.0,,,,64,1.0,,,,1.0,1.0,6,,,Not specified,Not specified,Not specified,No,Visserskaai 8 8400- Oostende,,Yes,,,,238350.0,Installed,,2021.0,,,,,,,,,,No,,,,,,,,,,,,,,
981,9315614,2.0,,,,80,1.0,,,,1.0,1.0,9,,,Not specified,Not specified,Not specified,No,Vlaamse Kaai 90 2000- Anvers,,Yes,,,Yes,210000.0,Installed,,,,,,2.0,,,,,Yes,,,,,,,,,,,,,,,
985,9315617,2.0,,,,97,2.0,,,,1.0,1.0,7,,,Not specified,Not specified,Not specified,No,Vlaamse Kaai 90 2000- Anvers,,Yes,,,Yes,255000.0,Installed,,,,,,2.0,,,,,Yes,,,,,,,,,,,,,,,
993,9315627,1.0,,,,64,1.0,,,,1.0,1.0,4,,,Not specified,Not specified,Not specified,No,Visserskaai 8 8400- Oostende,,Yes,,,,227850.0,Installed,,2021.0,,,,,,,,,,No,,,,,,,,,,,,,,
999,9316926,5.0,,,,42,2.0,,,,,1.0,,,391.0,D,Not specified,Not specified,No,Zeedijk 127-128 8430- Middelkerke,,Yes,,Electric,Yes,265000.0,Installed,,2004.0,Good,,,2.0,,,,,,,,,,,,,,,,,,,,
1011,9221519,1.0,,,,95,2.0,11,9,,1.0,2.0,9,,,Not specified,Not specified,Not specified,No,Edingsesteenweg 144 1755- Gooik,36m² square meters,Yes,,Gas,Yes,266250.0,Installed,37,2021.0,,,,2.0,,,,,Yes,No,,,,,,,,,,,,,,36
1014,9221520,1.0,,,,99,2.0,10,7,,1.0,2.0,14,,,Not specified,Not specified,Not specified,No,Edingsesteenweg 144 1755- Gooik,41m² square meters,Yes,,Gas,Yes,278000.0,Installed,42,2021.0,,,,2.0,,,,,Yes,No,,,,,,,,,,,,,,41
1016,9221930,1.0,,,,70,1.0,,,,1.0,1.0,38,,,Not specified,Not specified,Not specified,No,"President Rooseveltplein, 9 8500- Kortrijk",,Yes,Yes,Gas,Yes,255000.0,Installed,,2021.0,,,,,No,,No,,Yes,No,,,No,,,,,,,,,,,
1025,9223658,4.0,,,,62,2.0,10,6,,2.0,1.0,,,153.0,B,Not specified,Not specified,No,Driehoeksplein 1 8300- Knokke,25m² square meters,,,Gas,Yes,940000.0,,,1971.0,As new,Yes,,2.0,,6.4 m,,,Yes,No,,,No,,,,,,,,,,,25
