,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Basement,Furnished,Surface of the plot,Garden,Garden orientation,Terrace surface,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Neighbourhood or locality,Street frontage width,Width of the lot on the street,"Gas, water &amp; electricity",Conformity certification for fuel tanks,Available date,Obligation to build,Covered parking spaces,Surroundings type,How many fireplaces?,Dressing room,Office,Professional space surface,Professional space,Basement surface,Attic surface,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,Garden surface,Terrace orientation,Caretaker,Elevator,Accessible for disabled people,Intercom,Secure access / alarm,Air conditioning,TV cable,Visio phone,Jacuzzi,Sauna,Swimming pool,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Bedroom 4 surface,Office surface,Dining room,Terrace,Virtual visit,Shower rooms,Total ground floor buildable,Laundry room,Attic,E-level (overall energy performance),Bedroom 5 surface,Living room,Isolated,Monthly charges,Percentage rented,Current monthly revenue,Property name,Number of annexes,Agent's name,EPC description,Extra information,Venue of the sale,Single session,Terms of visit,Starting price,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity,Age of annuitants,Date of the sale,Value of the property,Sea view
10054906,10054906,house,house,340000,forsale,2960,l,semiequipped,1977,tobedoneup,fueloil,1065,2,3322,,true,3210,true,,,,1,,Antwerp,Immediately,1977,To be done up,4,1,90m²square meters,19m²square meters,Semi equipped,,2,,,,1,1,Yes,No,3322m²square meters,,East,39m²square meters,1065 kWh/m²kilowatt hour per square meters,F,Certificaat-20220810-0002653470-RES-1,Not specified,Not specified,No,Fuel oil,,,No,No,No,Possible flood zone,Farming area,"€ 340,000340000 €",,No,Bredabaan 260 2930- Brasschaat,http://www.heylenvastgoed.be,5551 - BRA-22-GKE-02,Antwerp,,10 m,36 mmeters,Yes,,,,,,1,,,,,,,,,,,,,3210m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10091313,10091313,house,townhouse,345000,forsale,2150,l,semiequipped,1970,torenovate,fueloil,567,3,198,,true,90,,,,2,1,,Antwerp,After signing the deed,1970,To renovate,2,1,206m²square meters,37m²square meters,Semi equipped,,3,,,,1,2,Yes,No,198m²square meters,,South East,,567 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,No,Fuel oil,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 345,000345000 €","€ 1,0681068 €",No,Antwerpsestraat 292 2640- Mortsel,http://www.habicom.be,12187 - 11880,Antwerp,,,,Yes,"Yes, conform",,,2,,,,,,,,,,,,,,,90m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10035534,10035534,house,house,349000,forsale,2350,l,semiequipped,1969,torenovate,fueloil,597,3,624,,true,,true,,,1,1,,Antwerp,After signing the deed,1969,To renovate,4,1,178m²square meters,37m²square meters,Semi equipped,10m²square meters,3,12m²square meters,12m²square meters,7m²square meters,1,2,Yes,No,624m²square meters,Yes,North East,,597 kWh/m²kilowatt hour per square meters,F,20220714-0002641028-RES-1,Not specified,Not specified,No,Fuel oil,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 349,000349000 €","€ 1,1131113 €",No,Kempenlaan 32 2300- Turnhout,http://www.heylenvastgoed.be,63367 - TUR-22-JEF-0,Antwerp,,,,Yes,,,,1,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10083211,10083211,house,house,349000,forsale,2360,l,installed,1949,good,gas,337,3,470,,true,,true,,,,1,,Antwerp,To be defined,1949,Good,4,1,172m²square meters,57m²square meters,Installed,,3,15m²square meters,14m²square meters,14m²square meters,1,2,Yes,No,470m²square meters,Yes,South East,,337 kWh/m²kilowatt hour per square meters,D,2663402,Not specified,Not specified,No,Gas,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 349,000349000 €",€ 692692 €,No,Kempenlaan 32 2300- Turnhout,http://www.heylenvastgoed.be,64261 - TUR-22-GME-0,Antwerp,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10067416,10067416,house,house,349500,forsale,2630,l,semiequipped,1951,good,gas,270,2,102,,,,true,true,,,,,Antwerp,,1951,Good,2,,,,Semi equipped,,2,20m²square meters,12m²square meters,,1,3,,No,102m²square meters,,,7m²square meters,270 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,No,Gas,Yes,Yes,No,No,,Recognized flood zone,"Living area (residential, urban or rural)","€ 349,500349500 €",,No,"Fruithoflaan, 1 2600- Berchem",http://www.coprimmo.be,16612 - 374710,Antwerp,,6 m,,Yes,,,,,"Living area (residential, urban or rural)",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10035709,10035709,house,house,374900,forsale,2980,l,installed,1996,good,gas,631,1,639,,,400,,,,,,,Antwerp,To be defined,1996,Good,4,,104m²square meters,35m²square meters,Installed,13m²square meters,1,12m²square meters,,,1,2,,No,639m²square meters,,North,,631 kWh/m²kilowatt hour per square meters,F,20220711-0002637107-RES-2,Not specified,Not specified,No,Gas,,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 374,900374900 €",€ 934934 €,No,Lierselei 13/1 2390- Oostmalle,http://www.heylenvastgoed.be,63613 - MAL-22-JSM-0,Antwerp,,,17 mmeters,,,,,,,,,,,,,,,,,,,,400m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10035498,10035498,house,house,368000,forsale,2470,l,semiequipped,1966,tobedoneup,gas,539,3,1078,,,,true,,,1,1,,Antwerp,To be defined,1966,To be done up,4,1,136m²square meters,,Semi equipped,14m²square meters,3,16m²square meters,16m²square meters,7m²square meters,1,1,,No,1078m²square meters,Yes,North East,,539 kWh/m²kilowatt hour per square meters,F,20220422-0002588898-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 368,000368000 €",€ 617617 €,No,Kempenlaan 32 2300- Turnhout,http://www.heylenvastgoed.be,63357 - TUR-22-KWO-0,Antwerp,,,,Yes,,,,1,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9992426,9992426,house,house,369000,forsale,2070,l,installed,1963,good,fueloil,285,4,269,,,130,true,,,,3,,Antwerp,,1963,Good,2,3,133m²square meters,,Installed,,4,,,,1,,,No,269m²square meters,,,30m²square meters,285 kWh/m²kilowatt hour per square meters,C,2624930,Not specified,Not specified,,Fuel oil,,Yes,No,No,No,Recognized flood zone,"Living area (residential, urban or rural)","€ 369,000369000 €",€ 817817 €,No,Bazelstraat 32 9150- Kruibeke,http://www.dewaele.com,D9150-22051,Antwerp,,,,,,,,,Urban,,,,,,,,,,,,,,130m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10077540,10077540,house,house,375000,forsale,2990,l,installed,2002,good,,244,3,752,,,,true,,,,2,,Antwerp,,2002,Good,4,2,122m²square meters,,Installed,,3,,,,1,1,,No,752m²square meters,,,,244 kWh/m²kilowatt hour per square meters,C,20220602-0002614999-RES-2,Not specified,Not specified,,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 375,000375000 €",,No,Bredabaan 467a 2990- Wuustwezel,http://www.dewaele.com,D2990-22065,Antwerp,,,,,,,,,Countryside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999991,9999991,house,house,379000,forsale,2660,l,hyperequipped,1969,asnew,gas,265,3,199,,,,,,,,,,Antwerp,,1969,As new,2,,165m²square meters,,Hyper equipped,,3,,,,1,2,,No,199m²square meters,,,,265 kWh/m²kilowatt hour per square meters,C,20220622-0002626369-RES-1,Not specified,Not specified,,Gas,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 379,000379000 €",€ 768768 €,No,Kioskplaats 60/62 2660- Hoboken,http://www.dewaele.com,D2660-22031,Antwerp,,,,,,,,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10113245,10113245,house,apartmentblock,379000,forsale,2640,l,semiequipped,1949,good,gas,524,3,220,,true,,,,,,,,Antwerp,,1949,Good,2,,164m²square meters,,Semi equipped,,3,,,,2,3,Yes,No,220m²square meters,,,,524 kWh/m²kilowatt hour per square meters,F,2614479,Not specified,Not specified,No,Gas,Yes,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 379,000379000 €","€ 1,3351335 €",Yes,Antwerpsestraat 292 2640- Mortsel,http://www.habicom.be,12271 - 11581,Antwerp,,,10.5 mmeters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10068395,10068395,house,house,385000,forsale,2480,l,semiequipped,1994,tobedoneup,gas,289,4,522,,,,true,,,1,1,,Antwerp,After signing the deed,1994,To be done up,3,1,249m²square meters,42m²square meters,Semi equipped,18m²square meters,4,14m²square meters,9m²square meters,,1,2,,No,522m²square meters,Yes,East,,289 kWh/m²kilowatt hour per square meters,C,20220308-0000204265-RES-10,Not specified,Not specified,No,Gas,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 385,000385000 €",€ 837837 €,No,Kempenlaan 32 2300- Turnhout,http://www.heylenvastgoed.be,62110 - TUR-22-KWO-0,Antwerp,,,,Yes,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10048677,10048677,house,house,395000,forsale,2200,l,semiequipped,1930,torenovate,gas,717,3,440,,,,,,,,,,Antwerp,After signing the deed,1930,To renovate,2,,170m²square meters,,Semi equipped,,3,,,,1,1,,No,440m²square meters,Yes,North,,717 kWh/m²kilowatt hour per square meters,F,20220719-0002643564-RES-1,Not specified,Not specified,No,Gas,,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 395,000395000 €","€ 1,2851285 €",No,Grote Markt 10 2200- HERENTALS,http://www.heylenvastgoed.be,64245 - HER-22-PME-0,Antwerp,,,6.4 mmeters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10035592,10035592,house,manorhouse,399000,forsale,2370,l,semiequipped,1957,good,fueloil,386,3,1136,,,,,,,2,,,Antwerp,To be defined,1957,Good,4,,163m²square meters,35m²square meters,Semi equipped,10m²square meters,3,20m²square meters,,,1,1,,No,1136m²square meters,Yes,North West,,386 kWh/m²kilowatt hour per square meters,D,2630068,Not specified,Not specified,No,Fuel oil,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 399,000399000 €",€ 389389 €,No,Kempenlaan 32 2300- Turnhout,http://www.heylenvastgoed.be,63426 - TUR-22-AGH-0,Antwerp,,,,Yes,,December 31 2022 - 12:00 AM,,2,Countryside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131160,10131160,house,house,398000,forsale,2640,l,installed,1947,,gas,424,2,260,,true,170,true,,,,,,Antwerp,After signing the deed,1947,,2,,150m²square meters,46m²square meters,Installed,,2,20m²square meters,14m²square meters,,1,2,Yes,No,260m²square meters,,South East,30m²square meters,424 kWh/m²kilowatt hour per square meters,E,20220912-0002672740-RES-1,Not specified,Not specified,No,Gas,Yes,,,No,,Non flood zone,"Living area (residential, urban or rural)","€ 398,000398000 €",€ 889889 €,No,Kiliaanstraat 38 2570- Duffel,,1674 - 1677,Antwerp,,,6.5 mmeters,,,,,,,,,,,,,,,,,,,,170m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10065721,10065721,house,house,399000,forsale,2500,l,installed,1975,tobedoneup,gas,260,3,500,,,321,,,,1,,,Antwerp,To be defined,1975,To be done up,3,,185m²square meters,,Installed,,3,,,,1,2,,No,500m²square meters,,South,,260 kWh/m²kilowatt hour per square meters,C,20220726-0002646164-RES-1,Not specified,Not specified,No,Gas,,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 399,000399000 €",€ 924924 €,No,Antwerpsesteenweg 359 2500- Lier,http://www.heylenvastgoed.be,65018 - LIE-22-JLE-0,Antwerp,,,,Yes,,June 30 2023 - 12:00 AM,,1,,,,,,,,,,,,,,,321m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10035535,10035535,house,house,399000,forsale,2370,l,semiequipped,1957,good,fueloil,386,3,1136,,,,,,,2,,,Antwerp,To be defined,1957,Good,4,,163m²square meters,35m²square meters,Semi equipped,10m²square meters,3,20m²square meters,,,1,1,,No,1136m²square meters,Yes,North West,,386 kWh/m²kilowatt hour per square meters,D,2630068,Not specified,Not specified,No,Fuel oil,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 399,000399000 €",€ 389389 €,No,Kempenlaan 32 2300- Turnhout,http://www.heylenvastgoed.be,63425 - TUR-22-AGH-0,Antwerp,,,,Yes,,December 31 2022 - 12:00 AM,,2,Countryside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10013699,10013699,house,house,399500,forsale,2170,l,,1958,,gas,291,3,195,,true,,,,,1,,,Antwerp,After signing the deed,1958,,2,,202m²square meters,,,,3,,,,3,3,Yes,No,195m²square meters,,,,291 kWh/m²kilowatt hour per square meters,C,0002403543,Not specified,Not specified,No,Gas,Yes,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 399,500399500 €",€ 892892 €,No,"Bredabaan, 896 2170- Merksem",http://www.sinjoor.be,21250 - SIN/22/033,Antwerp,,6 m,6 mmeters,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10089264,10089264,house,house,399000,forsale,2900,l,semiequipped,1963,torenovate,fueloil,444,5,1982,,,1400,true,,,2,4,,Antwerp,To be defined,1963,To renovate,4,4,245m²square meters,,Semi equipped,,5,,,,2,2,,No,1982m²square meters,,North West,,444 kWh/m²kilowatt hour per square meters,E,20220820-0002658747-RES-1,Not specified,Not specified,No,Fuel oil,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 399,000399000 €","€ 2,6252625 €",No,Bredabaan 260 2930- Brasschaat,http://www.heylenvastgoed.be,61652 - BRA-22-PEY-0,Antwerp,,,20 mmeters,Yes,,,,2,"Living area (residential, urban or rural)",,,,,,,,,,,,,,1400m²square meters,,,,,,,,,,,,,,,,,,,,,,Yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9379327,9379327,house,exceptionalproperty,399900,forsale,2550,l,semiequipped,1952,tobedoneup,fueloil,621,3,187,,true,,,,,1,,,Antwerp,After signing the deed,1952,To be done up,2,,175m²square meters,,Semi equipped,,3,,,,1,1,Yes,No,187m²square meters,Yes,South West,,621 kWh/m²kilowatt hour per square meters,F,20210512-0002414414-RES-1,Not specified,Not specified,No,Fuel oil,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 399,900399900 €",,No,Antwerpsestraat 34 2640- Mortsel,http://www.heylenvastgoed.be,34156 - MOR-21-TLA-0,Antwerp,,7 m,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9892898,9892898,house,house,420000,forsale,2220,l,installed,1975,tobedoneup,fueloil,359,3,324,,,,true,,,1,1,,Antwerp,After signing the deed,1975,To be done up,3,1,337m²square meters,,Installed,,3,,,,1,2,,No,324m²square meters,,,,359 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,No,Fuel oil,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 420,000420000 €",,No,Theofiel De Biestraat 11 2220- Heist-op-den-Berg,http://www.heylenvastgoed.be,55810 - HEI-22-FVD-0,Antwerp,,9 m,,Yes,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10113226,10113226,house,house,409000,forsale,2340,l,semiequipped,1992,good,gas,349,3,682,,,,true,,,1,2,,Antwerp,Immediately,1992,Good,4,2,188m²square meters,40m²square meters,Semi equipped,,3,,,,1,2,,No,682m²square meters,Yes,South,,349 kWh/m²kilowatt hour per square meters,D,20220624-0002629148-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,Yes,No,No,Recognized flood zone,"Living area (residential, urban or rural)","€ 409,000409000 €","€ 1,3601360 €",No,Lierselei 13/1 2390- Oostmalle,http://www.heylenvastgoed.be,67109 - MAL-22-SVR-0,Antwerp,,,29.8 mmeters,Yes,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10126902,10126902,house,house,420000,forsale,2470,l,installed,1985,good,gas,334,4,1085,,true,,true,,,1,1,,Antwerp,After signing the deed,1985,Good,4,1,215m²square meters,40m²square meters,Installed,20m²square meters,4,28m²square meters,22m²square meters,10m²square meters,1,2,,No,1085m²square meters,Yes,North West,,334 kWh/m²kilowatt hour per square meters,D,20220617-0002624724-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 420,000420000 €","€ 1,1101110 €",No,Kempenlaan 32 2300- Turnhout,http://www.heylenvastgoed.be,67606 - TUR-22-KWO-0,Antwerp,,,,Yes,,,,1,"Living area (residential, urban or rural)",1,,,,,35m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,10m²square meters,,,Yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10027653,10027653,house,house,448000,forsale,2910,l,semiequipped,1959,tobedoneup,fueloil,568,4,1349,,true,,true,true,,1,,,Antwerp,After signing the deed,1959,To be done up,4,,135m²square meters,,Semi equipped,13m²square meters,4,16m²square meters,10m²square meters,10m²square meters,2,3,,No,1349m²square meters,Yes,East,,568 kWh/m²kilowatt hour per square meters,F,20220629-0002631965-RES-1,Not specified,Not specified,No,Fuel oil,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 448,000448000 €","€ 1,3331333 €",No,Heidestatiestraat 22 2920- Kalmthout,http://www.heylenvastgoed.be,59939 - KAL-22-JQU-0,Antwerp,,,,Yes,"Yes, conform",,,1,,,,Yes,,,12m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,9m²square meters,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9294455,9294455,house,apartmentblock,475000,forsale,2000,l,semiequipped,1859,tobedoneup,gas,393,0,75,,,,true,,,,,,Antwerp,,1859,To be done up,2,,170m²square meters,,Semi equipped,9m²square meters,,10m²square meters,10m²square meters,7m²square meters,4,4,,No,75m²square meters,,,9m²square meters,393 kWh/m²kilowatt hour per square meters,D,1443348,Not specified,Not specified,No,Gas,Yes,,,,,Non flood zone,,"€ 475,000475000 €",,Yes,Antwerpsestraat 292 2640- Mortsel,http://www.habicom.be,9504 - 6398,Antwerp,,,5.5 mmeters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10113243,10113243,house,apartmentblock,489000,forsale,2640,l,semiequipped,1949,good,gas,524,4,220,,true,,,,,,,,Antwerp,,1949,Good,2,,194m²square meters,,Semi equipped,,4,,,,3,4,Yes,No,220m²square meters,,,,524 kWh/m²kilowatt hour per square meters,F,2614479,Not specified,Not specified,No,Gas,Yes,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 489,000489000 €","€ 1,4831483 €",Yes,Antwerpsestraat 292 2640- Mortsel,http://www.habicom.be,12278 - 11581,Antwerp,,,10.5 mmeters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10091756,10091756,house,house,499000,forsale,2340,l,installed,1962,tobedoneup,gas,595,5,1976,,,,,,,2,,,Antwerp,,1962,To be done up,4,,350m²square meters,42m²square meters,Installed,,5,,,,1,2,,No,1976m²square meters,,,,595 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,No,Gas,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 499,000499000 €","€ 1,9081908 €",No,Parklaan 101 2300- Turnhout,http://www.bols.be,19645 - 126621725,Antwerp,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10111642,10111642,house,house,529000,forsale,2980,l,installed,1990,good,gas,163,3,1129,,,,,true,,,,,Antwerp,After signing the deed,1990,Good,4,,242m²square meters,60m²square meters,Installed,,3,,,,1,2,,No,1129m²square meters,Yes,South East,,163 kWh/m²kilowatt hour per square meters,B,20211224-0002516137-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 529,000529000 €","€ 1,9311931 €",No,Lierselei 13/1 2390- Oostmalle,http://www.heylenvastgoed.be,43821 - MAL-22-JTI-0,Antwerp,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10113987,10113987,house,house,575000,forsale,2900,l,semiequipped,1972,torenovate,gas,587,3,968,,,775,,,,1,3,,Antwerp,,1972,To renovate,4,3,165m²square meters,,Semi equipped,,3,,,,1,2,,No,968m²square meters,,West,,587 kWh/m²kilowatt hour per square meters,F,Certificaat-20220624-0002629100-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,No,No,No,,,"€ 575,000575000 €","€ 2,3572357 €",No,Antwerpsestraat 292 2640- Mortsel,http://www.habicom.be,12281 - 11679,Antwerp,,,,Yes,,December 1 2022 - 12:00 AM,,1,,,,,,,,,,,,,,,775m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10107029,10107029,house,house,549000,forsale,2600,l,semiequipped,1952,good,gas,353,4,203,,true,35,true,,,,,,Antwerp,Depending on the tenant,1952,Good,2,,231m²square meters,,Semi equipped,,4,,,,2,3,Yes,No,203m²square meters,,South West,2m²square meters,353 kWh/m²kilowatt hour per square meters,D,20210825-0002455859-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 549,000549000 €","€ 2,1662166 €",No,Italiëlei 207 2000- Antwerpen,http://www.heylenvastgoed.be,66797 - ANT-21-TON-0,Antwerp,,,5.5 mmeters,Yes,,,,,,,,,,,,,,,,,,,35m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131159,10131159,house,house,545000,forsale,2860,l,installed,,justrenovated,gas,293,4,599,,true,250,true,true,,2,2,,Antwerp,After signing the deed,,Just renovated,4,2,180m²square meters,40m²square meters,Installed,,4,16m²square meters,16m²square meters,14m²square meters,2,2,,No,599m²square meters,,South West,20m²square meters,293 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,No,Gas,,,,No,,Non flood zone,"Living area (residential, urban or rural)","€ 545,000545000 €","€ 1,1001100 €",No,Kiliaanstraat 38 2570- Duffel,,1673 - 1658,Antwerp,,,19.5 mmeters,Yes,,,,2,,,,Yes,,,90m²square meters,,,,,,,,250m²square meters,,,,,,,,,,,,,,,,,,,14m²square meters,10m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9921941,9921941,house,house,645000,forsale,2020,l,semiequipped,1902,torenovate,gas,677,4,629,,,,true,,,1,,,Antwerp,After signing the deed,1902,To renovate,2,,825m²square meters,,Semi equipped,,4,,,,2,3,,No,629m²square meters,,,8m²square meters,677 kWh/m²kilowatt hour per square meters,F,20210715-0002442149-RES-1,Not specified,Not specified,No,Gas,,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 645,000645000 €","€ 3,0463046 €",No,Italiëlei 207 2000- Antwerpen,http://www.heylenvastgoed.be,57550 - ANT-21-AGI-0,Antwerp,,,7.5 mmeters,Yes,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10116493,10116493,house,house,649000,forsale,2000,l,installed,1889,torenovate,gas,460,5,153,,true,,,,,,,,Antwerp,After signing the deed,1889,To renovate,2,,345m²square meters,,Installed,,5,,,,2,4,Yes,No,153m²square meters,,,,460 kWh/m²kilowatt hour per square meters,E,20210830-0002457651-RES-1,Not specified,Not specified,No,Gas,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 649,000649000 €","€ 1,9701970 €",No,Sint-Jansvliet 5 2000- Antwerpen,http://www.heylenvastgoed.be,67205 - ANT-21-THU-0,Antwerp,,,,Yes,,,,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10035234,10035234,house,house,595000,forsale,2801,l,installed,1981,good,gas,315,3,1453,,,,true,,,1,4,,Antwerp,To be defined,1981,Good,4,4,262m²square meters,,Installed,,3,,,,2,2,,No,1453m²square meters,Yes,South,,315 kWh/m²kilowatt hour per square meters,D,20220516-0002602920-RES-1,Not specified,Not specified,No,Gas,,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 595,000595000 €","€ 1,3381338 €",No,Korenmarkt 55 2800- Mechelen,http://www.heylenvastgoed.be,63539 - MEC-22-GMA-0,Antwerp,,,,Yes,,December 31 2023 - 12:00 AM,,1,Countryside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
