,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Basement,Furnished,Surface of the plot,Garden,Garden orientation,Terrace surface,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Neighbourhood or locality,Street frontage width,Width of the lot on the street,"Gas, water &amp; electricity",Conformity certification for fuel tanks,Available date,Obligation to build,Covered parking spaces,Surroundings type,How many fireplaces?,Dressing room,Office,Professional space surface,Professional space,Basement surface,Attic surface,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,Garden surface,Terrace orientation,Caretaker,Elevator,Accessible for disabled people,Intercom,Secure access / alarm,Air conditioning,TV cable,Visio phone,Jacuzzi,Sauna,Swimming pool,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Bedroom 4 surface,Office surface,Dining room,Terrace,Virtual visit,Shower rooms,Total ground floor buildable,Laundry room,Attic,E-level (overall energy performance),Bedroom 5 surface,Living room,Isolated,Monthly charges,Percentage rented,Current monthly revenue,Property name,Number of annexes,Agent's name,EPC description,Extra information,Venue of the sale,Single session,Terms of visit,Starting price,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity,Age of annuitants,Date of the sale,Value of the property,Sea view
9911454,9911454,housegroup,housegroup,340000-370000,forsale,2850,xl,,,,,,,,,,,,,,,,1,Antwerp,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,,,,,,,No,Grote Markt 16 2850- Boom,http://www.dewaele.com,D2850-21035,Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9214164,9214164,housegroup,housegroup,277500-337500,forsale,2440,xl,,,,,,,,,,,,,,,,1,Antwerp,At delivery,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,Yes,Yes,No,No,,,,,No,Markt 20 2440- Geel,http://www.heylenvastgoed.be,,Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9996848,9996848,housegroup,housegroup,356500-361500,forsale,2381,xl,,,,,,,,,,,,,,,,1,Antwerp,At delivery,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,Yes,No,No,No,,,,,No,Kempenlaan 32 2300- Turnhout,http://www.heylenvastgoed.be,,Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10091462,10091462,housegroup,housegroup,490000-499000,forsale,2250,xl,,,,,,,,,,,,,,,,1,Antwerp,At delivery,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,Yes,Yes,No,No,,,,,No,Grote Markt 10 2200- HERENTALS,http://www.heylenvastgoed.be,,Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10127053,10127053,housegroup,housegroup,359000-359000,forsale,2270,xl,,,,,,,,,,,,,,,,1,Antwerp,At delivery,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,Yes,No,,No,,,,,No,Grote Markt 10 2200- HERENTALS,http://www.heylenvastgoed.be,,Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131302,10131302,housegroup,housegroup,449500-461250,forsale,2860,xl,,,,,,,,,,,,,,,,1,Antwerp,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,Yes,Yes,No,No,,,,,No,Mechelsesteenweg 27 2860- St-Katelijne-Waver,,4157 -,Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9953126,9953126,housegroup,housegroup,573850-607489,forsale,2811,xl,,,,,,,,,,,,,,,,1,Antwerp,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,Yes,Yes,No,No,,,,,No,Tramlaan 249 1933- Sterrebeek,http://www.kasperkent.be,Eglegem Sunset - pro,Antwerp,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10058734,10058734,house,villa,699500,forsale,2550,xl,installed,1984,asnew,gas,240,3,799,true,true,656,true,,,1,1,,Antwerp,After signing the deed,1984,As new,4,1,235m²square meters,,Installed,15m²square meters,3,21m²square meters,17m²square meters,15m²square meters,2,2,,,799m²square meters,,South,8m²square meters,240 kWh/m²kilowatt hour per square meters,C,20220613-0002621622-RES-1,Not specified,Not specified,,Gas,Yes,Yes,Yes,,No,Non flood zone,"Living area (residential, urban or rural)","€ 699,500699500 €","€ 1,5491549 €",No,,,,Antwerp,,13 m,19 mmeters,Yes,,,,1,"Living area (residential, urban or rural)",1,Yes,No,10m²square meters,No,14m²square meters,88m²square meters,No,Yes,No,No,Yes,Connected,656m²square meters,South,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Villa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10156828,10156828,house,villa,629900,forsale,2390,xl,installed,1968,good,gas,404,4,1349,,,1000,,,,,,,Antwerp,After signing the deed,1968,Good,4,,240m²square meters,56m²square meters,Installed,20m²square meters,4,16m²square meters,16m²square meters,12m²square meters,2,3,,No,1349m²square meters,,South West,,404 kWh/m²kilowatt hour per square meters,E,20220505-0002597582-RES-1,Not specified,Not specified,No,Gas,,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 629,900629900 €","€ 1,8091809 €",No,Bredabaan 260 2930- Brasschaat,https://www.heylenexclusief.be/,69065 - MAL-22-JSM-0,Antwerp,,10 m,34.5 mmeters,,,,,,,,,,,,,,,,,,,,1000m²square meters,,,,,,,,,,,,,,,,,,,12m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10110568,10110568,house,villa,3250000,forsale,2930,xl,hyperequipped,1936,good,gas,300,5,10431,,true,8500,true,true,true,5,10,,Antwerp,After signing the deed,1936,Good,4,10,577m²square meters,56m²square meters,Hyper equipped,41m²square meters,5,66m²square meters,19m²square meters,15m²square meters,4,4,Yes,Yes,10431m²square meters,,North West,396m²square meters,300 kWh/m²kilowatt hour per square meters,C,Certificaat-20220901-0002666275-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,No,No,No,Non flood zone,Residential park,"€ 3,250,0003250000 €","€ 7,7567756 €",No,Bredabaan 260 2930- Brasschaat,https://www.heylenexclusief.be/,64836 - BRA-22-KHE-0,Antwerp,Vriesdonk,35 m,50 mmeters,Yes,,,,5,"Living area (residential, urban or rural)",1,,Yes,,,,,Yes,,,,Yes,,8500m²square meters,,,,,,Yes,,,Yes,,,Yes,,,,,,,11m²square meters,35m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
