,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Construction year,Building condition,Street frontage width,Number of frontages,Covered parking spaces,Outdoor parking spaces,Surroundings type,Virtual visit,Living area,Living room,Kitchen type,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bedroom 5 surface,Bathrooms,Toilets,Basement surface,Attic surface,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water &amp; electricity",Garden surface,Terrace,Elevator,Accessible for disabled people,TV cable,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Planning permission obtained,Total ground floor buildable,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Available date,Neighbourhood or locality,Living room surface,Dining room,Kitchen surface,Shower rooms,Office surface,Office,Professional space surface,Basement,Attic,Furnished,Terrace surface,Double glazing,Garden orientation,As built plan,Secure access / alarm,Garden,Intercom,E-level (overall energy performance),Thermic solar panels,Visio phone,How many fireplaces?,Conformity certification for fuel tanks,Agent's name,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity,Age of annuitants,Dressing room,Laundry room,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Caretaker,Heat pump,Photovoltaic solar panels,Common water heater,Value of the property,Current monthly revenue,Professional space,Terrace orientation,Jacuzzi,Sauna,Internet,Type of building,Obligation to build,Monthly charges,Air conditioning,Percentage rented,Venue of the sale,Single session,Terms of visit,Starting price,Isolated,Number of annexes,Property name,Monthly rental price
10154574,10154574,house,mixedusebuilding,219000,forsale,4430,xl,installed,1918,tobedoneup,fueloil,356,3,249,,true,100,,,,,,,Liege,After signing the deed,1918,To be done up,,2,,,Urban,,180m²square meters,,Installed,3,23m²square meters,13m²square meters,22m²square meters,,,2,2,19m²square meters,,249m²square meters,,Connected,No,100m²square meters,,No,No,,No,356 kWh/m²kilowatt hour per square meters,E,20220805002358,90 kg CO₂/m²,64133 kWh/year,Fuel oil,,,No,,,,"Living area (residential, urban or rural)","Make an offer starting from€ 219,000Make an offer starting from219000 €",€ 718718 €,Yes,Rue de l'Yser 425 4430- Ans,http://www.labelimmo.be,4968264,Liege,August 9 2022 - 12:00 AM,,15m²square meters,Yes,17m²square meters,,,,,,,No,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10166574,10166574,house,house,485000,forsale,4020,xl,installed,1930,good,gas,253,4,110,,true,,true,true,,,,,Liege,After signing the deed,1930,Good,,2,,,Urban,,260m²square meters,,Installed,4,18m²square meters,16m²square meters,13m²square meters,,,3,3,,,110m²square meters,,,Yes,,,,,,,253 kWh/m²kilowatt hour per square meters,C,20220926017927,46 kg CO₂/m²,66557 kWh/year,Gas,,,,,,,,"€ 485,000485000 €",,No,Rue Bonne Fortune 9 4000- Liège,https://www.engelvoelkers.com/fr-be/liege/,4971839,Liege,,,16m²square meters,Yes,15m²square meters,1,,Yes,,Yes,,No,20m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10143254,10143254,house,house,425000,forsale,4950,xl,semiequipped,1975,good,fueloil,482,3,991,true,true,,true,,,1,2,,Liege,After signing the deed,1975,Good,15 m,4,1,2,Isolated,,130m²square meters,,Semi equipped,3,14m²square meters,10m²square meters,12m²square meters,,,1,3,39m²square meters,66m²square meters,991m²square meters,60 mmeters,Not connected,No,,,No,No,Yes,No,482 kWh/m²kilowatt hour per square meters,F,20220820003559,51 kg CO₂/m²,70159 kWh/year,Fuel oil,Yes,,No,No,No,Non flood zone,,"€ 425,000425000 €",€ 780780 €,No,Chaussée de Liège 7 6900- Marche,https://honesty.be/,4961946,Liege,,Zone Province de Liège,35m²square meters,,14m²square meters,2,,,,,,No,14m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10154573,10154573,house,house,219000,forsale,4430,xl,installed,1918,tobedoneup,fueloil,356,3,249,,true,100,,,,,,,Liege,After signing the deed,1918,To be done up,,2,,,Urban,,180m²square meters,,Installed,3,23m²square meters,13m²square meters,22m²square meters,,,2,2,19m²square meters,,249m²square meters,,Connected,No,100m²square meters,,No,No,,No,356 kWh/m²kilowatt hour per square meters,E,20220805002358,90 kg CO₂/m²,64133 kWh/year,Fuel oil,,,No,,,,"Living area (residential, urban or rural)","Make an offer starting from€ 219,000Make an offer starting from219000 €",€ 718718 €,No,Rue de l'Yser 425 4430- Ans,http://www.labelimmo.be,4968242,Liege,August 9 2022 - 12:00 AM,,15m²square meters,Yes,17m²square meters,,,,,,,No,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161097,10161097,house,house,275000,forsale,4500,xl,notinstalled,1958,good,gas,265,3,1045,true,true,910,true,,,1,2,,Liege,After signing the deed,1958,Good,9 m,3,1,2,Urban,Link to the virtual visit,130m²square meters,,Not installed,3,10m²square meters,21m²square meters,14m²square meters,,,1,1,30m²square meters,50m²square meters,1045m²square meters,,Connected,Yes,910m²square meters,,,,,,265 kWh/m²kilowatt hour per square meters,D,20221007015108,49 kg CO₂/m²,41017 kWh/year,Gas,,85m²square meters,No,,,,"Living area (residential, urban or rural)","Make an offer starting from€ 275,000Make an offer starting from275000 €","€ 1,3601360 €",No,Chaussée Napoléon 3 4500- Huy,http://www.labelimmo.be,4963193,Liege,,,23m²square meters,Yes,14m²square meters,,,,,,,No,10m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9985953,9985953,house,house,99000,forsale,4100,xl,notinstalled,1918,good,gas,315,2,25,true,,,,true,,,,,Liege,After signing the deed,1918,Good,5 m,2,,,Urban,Link to the virtual visit,76m²square meters,,Not installed,2,17m²square meters,17m²square meters,,,,1,1,,,25m²square meters,5 mmeters,Connected,Yes,,,No,No,Yes,No,315 kWh/m²kilowatt hour per square meters,D,20160429011535,58 kg CO₂/m²,23878 kWh/year,Gas,,25m²square meters,No,No,No,Non flood zone,"Living area (residential, urban or rural)","Make an offer starting from€ 99,000Make an offer starting from99000 €",€ 310310 €,No,Rue de la Wallonie 2A 4680- Oupeye,http://www.nigel-immo.be,4800772,Liege,August 1 2022 - 12:00 AM,,17m²square meters,,17m²square meters,1,17m²square meters,Yes,,,Yes,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10140833,10140833,house,house,300000,forsale,4350,xl,installed,1996,good,fueloil,377,2,714,,,540,true,,,1,3,,Liege,To be defined,1996,Good,37 m,4,1,3,Countryside,,125m²square meters,,Installed,2,19m²square meters,15m²square meters,,,,1,2,,,714m²square meters,,Connected,No,540m²square meters,,,No,,No,377 kWh/m²kilowatt hour per square meters,E,20220914009141,93 kg CO₂/m²,49142 kWh/year,Fuel oil,Yes,113m²square meters,,,,,"Living area (residential, urban or rural)","€ 300,000300000 €",€ 691691 €,No,Chaussée de Tirlemont 15/1 4260- Braives,http://www.immodemarneffe.be,4958503,Liege,,Waremme et 5 kms,31m²square meters,,13m²square meters,,,,,,,No,20m²square meters,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9846450,9846450,house,house,99000,forsale,4051,xl,notinstalled,1918,tobedoneup,fueloil,705,1,236,,true,160,true,true,,2,1,,Liege,After signing the deed,1918,To be done up,10 m,4,2,1,Countryside,Link to the virtual visit,99m²square meters,,Not installed,1,16m²square meters,,,,,1,1,,,236m²square meters,10 mmeters,Connected,Yes,160m²square meters,,No,No,Yes,No,705 kWh/m²kilowatt hour per square meters,G,20220311000234,175 kg CO₂/m²,58628 kWh/year,Fuel oil,,40m²square meters,No,No,No,Recognized flood zone,"Living area (residential, urban or rural)","Make an offer starting from€ 99,000Make an offer starting from99000 €",€ 504504 €,No,Rue de la Wallonie 2A 4680- Oupeye,http://www.nigel-immo.be,4678220,Liege,May 31 2022 - 12:00 AM,,14m²square meters,Yes,13m²square meters,1,6m²square meters,Yes,,Yes,,Yes,28m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130207,10130207,house,house,120000,forsale,4420,xl,installed,1900,good,pellet,1181,2,43,,,,true,,,,,,Liege,After signing the deed,1900,Good,6 m,3,,,Urban,,93m²square meters,,Installed,2,16m²square meters,18m²square meters,,,,1,1,,,43m²square meters,,Connected,No,,Yes,No,Yes,,No,1181 kWh/m²kilowatt hour per square meters,G,20130416024148,13 kg CO₂/m²,188037 kWh/year,Pellet,Yes,39m²square meters,No,,,,"Living area (residential, urban or rural)","Make an offer starting from€ 120,000Make an offer starting from120000 €",€ 228228 €,No,Rue de l'Yser 425 4430- Ans,http://www.labelimmo.be,4956611,Liege,,,18m²square meters,,18m²square meters,1,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10115903,10115903,house,house,120000,forsale,4480,xl,notinstalled,1899,torestore,carbon,569,3,156,true,true,35,,,,1,,,Liege,After signing the deed,1899,To restore,22 m,3,1,,"Living area (residential, urban or rural)",,108m²square meters,,Not installed,3,7m²square meters,17m²square meters,14m²square meters,,,1,1,70m²square meters,70m²square meters,156m²square meters,,Connected,No,35m²square meters,,,,,,569 kWh/m²kilowatt hour per square meters,G,20210710001090,182 kg CO₂/m²,71817 kWh/year,Carbon,,70m²square meters,No,,,,"Living area (residential, urban or rural)","Make an offer starting from€ 120,000Make an offer starting from120000 €",€ 446446 €,No,Chaussée Napoléon 3 4500- Huy,http://www.labelimmo.be,4931692,Liege,,,29m²square meters,Yes,10m²square meters,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
