,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Building condition,Number of frontages,Covered parking spaces,Living room,Bedrooms,Bathrooms,Basement,Garden surface,Terrace,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Available as of,Available date,Construction year,Street frontage width,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Shower rooms,Toilets,Attic,Furnished,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water &amp; electricity",Terrace surface,Elevator,Accessible for disabled people,Secure access / alarm,TV cable,Swimming pool,Heating type,Double glazing,Flood zone type,Virtual visit,How many fireplaces?,Kitchen surface,Garden,Garden orientation,As built plan,Dining room,Bedroom 4 surface,Latest land use designation,Planning permission obtained,Subdivision permit,Office surface,Office,Intercom,Total ground floor buildable,Possible priority purchase right,Bedroom 5 surface,Dressing room,Laundry room,Professional space,Basement surface,Attic surface,Isolated,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Terrace orientation,Caretaker,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Obligation to build,Neighbourhood or locality,Conformity certification for fuel tanks,Number of annexes,Property name,Professional space surface,Proceedings for breach of planning regulations,Extra information,E-level (overall energy performance),Agent's name,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Type of building,Venue of the sale,Single session,Terms of visit,Starting price,Monthly charges,Age of annuitants,Age of annuitant,Minimum overbid,Price after higher bid,Current monthly revenue,Maximum duration of annuity,Percentage rented,EPC description
10159340,10159340,house,villa,645000,forsale,7910,xl,installed,1979,good,fueloil,282,4,2901,,,,true,,,2,,,Hainaut,Good,4,2,,4,2,,,Yes,282 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,"€ 645,000645000 €","€ 1,3871387 €",No,Porte d'Ogy 78 7860- Lessines,http://www.immobeguin.be,20786 - VK 3887,Hainaut,,,1979,,,,260m²square meters,,Installed,20m²square meters,20m²square meters,16m²square meters,1,2,,No,2901m²square meters,,,,,,,,,,Fuel oil,Yes,Non flood zone,,,26m²square meters,Yes,West,No,,15m²square meters,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10121703,10121703,housegroup,housegroup,359000-377000,forsale,7060,xl,,,,,90,,,,,,,,,,,1,Hainaut,,,,,,,,,,90 kWh/m²kilowatt hour per square meters,B,Not specified,Not specified,Not specified,,€ 11 €,No,Rue du fond Cattelain 1 bt1 1435- Mont St Guibert,http://www.aboreal.be,3798 -,Hainaut,,October 15 2023 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10162086,10162086,housegroup,housegroup,279000-305000,forsale,7100,xl,,,,,,,,,,,,,,,,1,Hainaut,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,Rue Seutin 2 1400- Nivelles,,,Hainaut,At delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non flood zone,Link to the virtual visit,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA MALOGNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10066108,10066108,house,house,395000,forsale,7800,xl,installed,1875,asnew,fueloil,250,5,1500,,true,,true,true,,2,6,,Hainaut,As new,4,2,,5,2,,,,250 kWh/m²kilowatt hour per square meters,C,Not specified,49 kg CO₂/m²,54086 kWh/year,"Make an offer starting from€ 395,000Make an offer starting from395000 €",€ 515515 €,No,"Chaussée de Mons, 303 1480- Tubize",http://www.bestpartner.be,10817 - 4,Hainaut,After signing the deed,,1875,,6,Countryside,200m²square meters,38m²square meters,Installed,20m²square meters,19m²square meters,16m²square meters,,3,,No,1500m²square meters,,,Yes,25m²square meters,,,,,,Fuel oil,Yes,Non flood zone,,,13m²square meters,Yes,South West,No,,15m²square meters,,,,19m²square meters,Yes,,,,15m²square meters,,,,13m²square meters,,,,,,,,,,,,,,,,,,,,Campagnard,"Yes, conform",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10091994,10091994,house,villa,435000,forsale,7880,xl,installed,1974,good,fueloil,355,3,1160,,true,,true,,,1,,,Hainaut,Good,4,1,,3,1,Yes,,Yes,355 kWh/m²kilowatt hour per square meters,E,20140613006074,Not specified,Not specified,"€ 435,000435000 €","€ 1,2021202 €",No,Porte d'Ogy 78 7860- Lessines,http://www.immobeguin.be,20201 - VK 3968,Hainaut,After signing the deed,,1974,,,,215m²square meters,,Installed,21m²square meters,16m²square meters,14m²square meters,,2,,No,1160m²square meters,,,,,,,,,,Fuel oil,Yes,,,,26m²square meters,,,No,,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10119582,10119582,house,villa,525000,forsale,7880,xl,installed,1973,good,fueloil,619,4,6430,,,,true,,,,,,Hainaut,Good,4,,,4,1,,,Yes,619 kWh/m²kilowatt hour per square meters,G,Not specified,Not specified,Not specified,"€ 525,000525000 €","€ 1,1271127 €",No,Porte d'Ogy 78 7860- Lessines,http://www.immobeguin.be,20485 - VK 4217,Hainaut,,,1973,,,,120m²square meters,,Installed,10m²square meters,6m²square meters,6m²square meters,,1,,No,6430m²square meters,,,,,,,,,,Fuel oil,Yes,,,,6m²square meters,,,No,,6m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10159408,10159408,house,house,185000,forsale,6000,xl,semiequipped,,good,gas,423,3,115,,true,,,,,,,,Hainaut,Good,3,,,3,1,Yes,,,423 kWh/m²kilowatt hour per square meters,E,20131124006243,Not specified,87320 kWh/year,"€ 185,000185000 €",€ 803803 €,No,Chaussée de Charleroi 226 6220- Fleurus,http://www.davidrobin.be,5738 - 2381,Hainaut,After signing the deed,,,,,,150m²square meters,40m²square meters,Semi equipped,19m²square meters,17m²square meters,8m²square meters,,1,,No,115m²square meters,,,,,,,,,,Gas,Yes,,,,14m²square meters,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10159341,10159341,house,villa,280000,forsale,7910,xl,semiequipped,1969,tobedoneup,fueloil,325,4,470,,,,,,,1,,,Hainaut,To be done up,4,1,,4,,,,,325 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,"€ 280,000280000 €",€ 570570 €,No,Porte d'Ogy 78 7860- Lessines,http://www.immobeguin.be,20782 - VK 4156,Hainaut,,,1969,,,,165m²square meters,,Semi equipped,16m²square meters,14m²square meters,14m²square meters,,,,No,470m²square meters,,,,,,,,,,Fuel oil,,,,,12m²square meters,,,No,,12m²square meters,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, conform",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160614,10160614,house,house,297500,forsale,7830,xl,installed,1977,good,electric,510,3,1167,,,718,true,,,1,1,,Hainaut,Good,4,1,,3,1,,718m²square meters,Yes,510 kWh/m²kilowatt hour per square meters,F,20220502006260,146 kg CO₂/m²,71653 kWh/year,"€ 297,500297500 €",€ 800800 €,,Pavé d'Ath 46/1 7830- Bassilly,,,Hainaut,After signing the deed,,1977,15 m,1,"Living area (residential, urban or rural)",124m²square meters,31m²square meters,Installed,10m²square meters,10m²square meters,16m²square meters,,1,,No,1167m²square meters,27 mmeters,,,,,,,,,Electric,Yes,,,,13m²square meters,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10147764,10147764,house,villa,1795000,forsale,7060,xl,hyperequipped,2006,tobedoneup,fueloil,190,4,4202,,true,,true,true,,2,5,,Hainaut,To be done up,4,2,,4,2,Yes,,Yes,190 kWh/m²kilowatt hour per square meters,C,20120801004626,48 kg CO₂/m²,Not specified,"€ 1,795,0001795000 €",,,Rue de Saintes 11/3 1400- Nivelles,,,Hainaut,After signing the deed,,2006,,5,"Living area (residential, urban or rural)",530m²square meters,75m²square meters,Hyper equipped,20m²square meters,45m²square meters,18m²square meters,,,,No,4202m²square meters,,,,,,,Yes,,,Fuel oil,Yes,,,1,22m²square meters,,,,Yes,19m²square meters,"Living area (residential, urban or rural)",,,150m²square meters,Yes,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10127410,10127410,house,mixedusebuilding,1295000,forsale,7730,xl,installed,2008,asnew,gas,295,5,3700,,,,,,,,,,Hainaut,As new,4,,,5,2,,,,295 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,"€ 1,295,0001295000 €",,Yes,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20535 - VK 4124,Hainaut,After signing the deed,,2008,,,,555m²square meters,,Installed,62m²square meters,35m²square meters,29m²square meters,,5,,No,3700m²square meters,,,,,,,Yes,,,Gas,Yes,,,,22m²square meters,,,No,Yes,20m²square meters,Industrial commercial area,Yes,,,,,,No,18m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10087090,10087090,house,house,289000,forsale,6530,xl,installed,2021,,gas,109,3,274,,,,,,,,2,1,Hainaut,,3,,,3,1,,,,109 kWh/m²kilowatt hour per square meters,B,20220603503278,1000 kg CO₂/m²,15592 kWh/year,"€ 289,000289000 €",,No,Rue Chalmagne 2 6120- Marbaix (Ht.),http://www.burima.be,1882 - 1686,Hainaut,After signing the deed,,2021,8 m,2,,114m²square meters,30m²square meters,Installed,17m²square meters,12m²square meters,12m²square meters,1,2,,No,274m²square meters,11 mmeters,,Yes,,,,,Yes,,Gas,Yes,Non flood zone,Link to the virtual visit,,12m²square meters,Yes,North East,No,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Thuin ville haute Bois du Grand Bon Dieu,,,,,,,,,,,,,,,,,,,,,,,,,,
10087089,10087089,house,house,299000,forsale,6530,xl,installed,2022,,gas,111,3,317,,,250,true,,,,2,1,Hainaut,,4,,,3,2,,250m²square meters,,111 kWh/m²kilowatt hour per square meters,B,20220603503447,21 kg CO₂/m²,16140 kWh/year,"€ 299,000299000 €",,No,Rue Chalmagne 2 6120- Marbaix (Ht.),http://www.burima.be,1878 - 1683,Hainaut,After signing the deed,,2022,8 m,2,,114m²square meters,30m²square meters,Installed,17m²square meters,12m²square meters,12m²square meters,,2,,No,317m²square meters,11 mmeters,,Yes,25m²square meters,,,,Yes,,Gas,Yes,Non flood zone,Link to the virtual visit,,12m²square meters,,North East,No,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Lotissement du Paradis Ville Haute,,,,,,,,,,,,,,,,,,,,,,,,,,
10127406,10127406,house,villa,1295000,forsale,7730,xl,installed,2008,asnew,gas,295,5,3700,,,,,,,,,,Hainaut,As new,4,,,5,2,,,,295 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,"€ 1,295,0001295000 €",,No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20533 - VK 4124,Hainaut,After signing the deed,,2008,,,,555m²square meters,,Installed,62m²square meters,35m²square meters,29m²square meters,,5,,No,3700m²square meters,,,,,,,Yes,,,Gas,Yes,,,,22m²square meters,,,No,Yes,20m²square meters,Industrial commercial area,Yes,,,,,,No,18m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10140811,10140811,house,house,249000,forsale,6230,xl,installed,,tobedoneup,fueloil,543,3,1250,true,true,1000,true,,,,2,,Hainaut,To be done up,4,,,3,1,Yes,1000m²square meters,Yes,543 kWh/m²kilowatt hour per square meters,G,20220927013630,136 kg CO₂/m²,102260 kWh/year,"Make an offer starting from€ 249,000Make an offer starting from249000 €",€ 540540 €,No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4960842,Hainaut,After signing the deed,,,7 m,2,Countryside,190m²square meters,38m²square meters,Installed,13m²square meters,13m²square meters,13m²square meters,1,2,Yes,No,1250m²square meters,21 mmeters,,No,,No,No,,Yes,No,Fuel oil,Yes,Non flood zone,,,8m²square meters,,,,Yes,,,,,,,,95m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161031,10161031,house,villa,220000,forsale,7080,xl,semiequipped,1980,good,fueloil,813,2,495,,true,,true,,,1,2,,Hainaut,Good,4,1,,2,1,Yes,,Yes,813 kWh/m²kilowatt hour per square meters,G,20220929005187,201 kg CO₂/m²,83194 kWh/year,"€ 220,000220000 €",€ 884884 €,No,Rue de Blaugies 31 7080- Sars-la-Bruyère,,300 - 1475,Hainaut,After signing the deed,,1980,,2,,102m²square meters,41m²square meters,Semi equipped,,,,,1,,No,495m²square meters,,,Yes,,,,,,,Fuel oil,,,Link to the virtual visit,,,Yes,North West,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10138458,10138458,house,house,149000,forsale,6210,xl,installed,1950,tobedoneup,fueloil,319,2,640,,,490,,,,,,,Hainaut,To be done up,3,,Yes,2,1,,490m²square meters,,319 kWh/m²kilowatt hour per square meters,D,20220917000966,79 kg CO₂/m²,32065 kWh/year,"Make an offer starting from€ 149,000Make an offer starting from149000 €",€ 330330 €,No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4957792,Hainaut,Depending on the tenant,April 1 2023 - 12:00 AM,1950,7 m,,Isolated,105m²square meters,,Installed,21m²square meters,9m²square meters,,1,2,,No,640m²square meters,12 mmeters,Connected,No,,No,No,,Yes,No,Fuel oil,,,,,,,,,,,,,,,,,80m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9763757,9763757,house,house,119000,forsale,6031,xl,semiequipped,1950,tobedoneup,gas,479,3,127,,true,,,true,,1,,,Hainaut,To be done up,2,1,,3,2,Yes,,,479 kWh/m²kilowatt hour per square meters,F,20210529007317,90 kg CO₂/m²,84515 kWh/year,"Make an offer starting from€ 119,000Make an offer starting from119000 €","€ 1,0411041 €",No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4662128,Hainaut,To be defined,,1950,6 m,,Urban,161m²square meters,40m²square meters,Semi equipped,25m²square meters,18m²square meters,16m²square meters,2,2,,No,127m²square meters,26 mmeters,Connected,Yes,,No,No,,Yes,No,Gas,Yes,,,,,,,,,,,,,14m²square meters,Yes,,127m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,
9722779,9722779,house,house,160000,forsale,6182,xl,installed,1930,good,gas,187,4,950,,,950,true,,,,,,Hainaut,Good,2,,,4,1,,950m²square meters,,187 kWh/m²kilowatt hour per square meters,C,20211126000174,34 kg CO₂/m²,25164 kWh/year,"Make an offer starting from€ 160,000Make an offer starting from160000 €",€ 271271 €,No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4632644,Hainaut,After signing the deed,March 15 2022 - 12:00 AM,1930,5 m,,Isolated,125m²square meters,14m²square meters,Installed,16m²square meters,13m²square meters,14m²square meters,1,1,,No,950m²square meters,5 mmeters,Connected,Yes,40m²square meters,No,No,,Yes,No,Gas,Yes,Non flood zone,,,8m²square meters,,,,Yes,16m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9414230,9414230,housegroup,housegroup,519900-565582,forsale,7181,xl,,,,,105,,,,,,,,,,,1,Hainaut,,,,,,,,,,105 kWh/m²kilowatt hour per square meters,B,Not specified,Not specified,Not specified,,,No,"Avenue Franklin Roosevelt 104/29, 1330- Rixensart",http://www.millenium-properties.be,559 -,Hainaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10134626,10134626,house,house,205000,forsale,7860,xl,installed,,asnew,gas,286,2,320,,true,,true,,,1,,,Hainaut,As new,2,1,,2,1,,,Yes,286 kWh/m²kilowatt hour per square meters,D,20220929009935,53 kg CO₂/m²,36398 kWh/year,"€ 205,000205000 €",€ 536536 €,,Pavé d'Ath 46/1 7830- Bassilly,,,Hainaut,After signing the deed,,,4.2 m,,"Living area (residential, urban or rural)",101m²square meters,33m²square meters,Installed,17m²square meters,19m²square meters,,,1,,No,320m²square meters,4.2 mmeters,,Yes,,,,,,,Gas,Yes,,,,18m²square meters,,,,,,,,,,,,,,,,Yes,,15m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
