,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Construction year,Building condition,Number of frontages,Covered parking spaces,Outdoor parking spaces,Surroundings type,Living area,How many fireplaces?,Kitchen type,Bedrooms,Bathrooms,Toilets,Basement,Furnished,Surface of the plot,Width of the lot on the street,"Gas, water &amp; electricity",Garden surface,Garden orientation,Terrace,Secure access / alarm,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Tenement building,Address,Website,External reference,Province,Available date,Street frontage width,Virtual visit,Living room surface,Dining room,Kitchen surface,Bedroom 1 surface,Bedroom 2 surface,Shower rooms,Office surface,Office,Attic,Connection to sewer network,Terrace surface,Elevator,Accessible for disabled people,TV cable,Total ground floor buildable,Cadastral income,Bedroom 3 surface,Bedroom 4 surface,Garden,Property name,Basement surface,Type of building,Obligation to build,Living room,Attic surface,E-level (overall energy performance),Dressing room,Terrace orientation,Heat pump,Agent's name,Bedroom 5 surface,Professional space surface,Conformity certification for fuel tanks,Thermic solar panels,Laundry room,Professional space,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Number of annexes,Caretaker,Intercom,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Photovoltaic solar panels,Common water heater,Isolated,Neighbourhood or locality,Venue of the sale,Single session,Terms of visit,Starting price,Current monthly revenue,Monthly charges,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant
10078666,10078666,house,house,265000,forsale,3582,l,,1965,torenovate,,695,3,791,,true,450,,,,1,3,,Limburg,,1965,To renovate,,1,3,,163m²square meters,,,3,1,2,,No,791m²square meters,20.75 mmeters,No,450m²square meters,North East,,,,695 kWh/m²kilowatt hour per square meters,F,20220817-0002657135-RES-1,Not specified,Not specified,,,Yes,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 265,000265000 €",No,Koolmijnlaan 38 3550- Heusden-Zolder,http://www.swevers.be,5570,Limburg,,8.75 m,,26m²square meters,Yes,10m²square meters,15m²square meters,15m²square meters,,,No,,Connected,,,,,,€ 988988 €,13m²square meters,,,,12m²square meters,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9955210,9955210,house,house,229000,forsale,3530,l,installed,1972,,fueloil,686,3,724,,,,true,,,,,,Limburg,,1972,,4,,,,175m²square meters,,Installed,3,1,,,No,724m²square meters,,Yes,,,Yes,,,686 kWh/m²kilowatt hour per square meters,F,20220518-000260606143-RES-1,Not specified,Not specified,,Fuel oil,No,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 229,000229000 €",No,Kempische Steenweg 398 3500- Hasselt,http://www.era.be/era-nobis,,Limburg,,,,,,,,,,,,,Not connected,,,,,,€ 902902 €,,,,,,,,,,686,,,No,,,,,No,,,No,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,
10083039,10083039,house,house,410000,forsale,3500,l,installed,1953,good,,137,4,215,,true,,true,,,1,,,Limburg,,1953,Good,,1,,,254m²square meters,,Installed,4,2,3,,No,215m²square meters,,No,,,,,,137 kWh/m²kilowatt hour per square meters,B,20220815-0002656118-RES-1,Not specified,Not specified,,,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 410,000410000 €",No,Sint-Truidersteenweg 66 3500- Hasselt,,TK/175,Limburg,,,,24m²square meters,,35m²square meters,15m²square meters,19m²square meters,,,No,,Connected,23m²square meters,,,,,"€ 1,1701170 €",21m²square meters,19m²square meters,,,35m²square meters,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10094079,10094079,house,house,435000,forsale,3940,l,,2019,,gas,27,3,751,,,600,true,,,,,,Limburg,,2019,,4,,,,155m²square meters,,,3,2,2,,,751m²square meters,,Yes,600m²square meters,,,No,No,27 kWh/m²kilowatt hour per square meters,A,72038-G-OMV_2019038030/EP06282/A001/D02/SD001,Not specified,Not specified,,Gas,Yes,,,,,Non flood zone,,"€ 435,000435000 €",No,,,,Limburg,,,,,Yes,,,,,,No,,,30m²square meters,No,No,Yes,,,,,,,,,,Yes,,14,Yes,,No,,,,,No,,No,No,No,No,No,No,,No,No,No,No,No,No,Yes,Yes,No,,,,,,,,,,,,,,,,
10116911,10116911,house,house,495000,forsale,3580,l,installed,2015,,gas,129,4,550,,,,,,,1,4,,Limburg,,2015,,4,1,4,,216m²square meters,,Installed,4,,,,No,550m²square meters,,,,South East,,,,129 kWh/m²kilowatt hour per square meters,B,Not specified,Not specified,Not specified,,Gas,No,Yes,No,No,No,,"Living area (residential, urban or rural)","€ 495,000495000 €",No,Schootstraat 254 3550- Heusden-Zolder,http://www.immofusion.be,spir5108,Limburg,,,,,,,,,,,No,,,,,,,,,,,Yes,,,,No,,,,No,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10066245,10066245,house,villa,749000,forsale,3840,l,installed,2009,good,,112,4,2583,,,,,,true,,,,Limburg,,2009,Good,,,,Countryside,298m²square meters,,Installed,4,4,2,,No,2583m²square meters,,Yes,,South East,,No,Yes,112 kWh/m²kilowatt hour per square meters,B,20220512-0002599072-RES-2,Not specified,Not specified,,,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 749,000749000 €",No,Kolonel Dusaertplein 28b 3500- Hasselt,http://www.hillewaere.be,10/1139,Limburg,,,,61m²square meters,,,,,,,No,,Connected,,No,No,No,,"€ 1,5231523 €",,,Yes,,,Villa,,,,,,,,,,,,,,,No,,,,,,,No,,No,,,,,,,,,,,,,,,,,,,,,
9734558,9734558,house,mixedusebuilding,2600000,forsale,3650,l,hyperequipped,2010,good,gas,90,4,4367,,,1225,,,true,1,10,,Limburg,,2010,Good,4,1,10,,965m²square meters,,Hyper equipped,4,,,,No,4367m²square meters,,,1225m²square meters,East,,Yes,Yes,90 kWh/m²kilowatt hour per square meters,A,20140515-0001592935-00000017-7,Not specified,Not specified,,Gas,Yes,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 2,600,0002600000 €",Yes,Stationsstraat 109 3620- Lanaken,http://www.erikbessems.be,spir1132,Limburg,,,Link to the virtual visit,,,,,,,,No,,,,Yes,No,No,,,,,,,,,No,,,,No,,No,,,,No,,,,,,,,,,No,No,,No,,,,,,,,,,,,,,,,,,,,,
10104319,10104319,house,villa,785000,forsale,3511,l,,1962,good,,,3,1180,,,,,,,1,,,Limburg,,1962,Good,4,1,,,264m²square meters,,,3,1,2,,No,1180m²square meters,,No,,,,Yes,No,Not specified,Not specified,20220827-0002663036-RES-1,Not specified,Not specified,,,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 785,000785000 €",No,Kolonel Dusaertplein 28b 3500- Hasselt,http://www.hillewaere.be,10/1149,Limburg,,,,,Yes,,,,,,No,,Not connected,,No,No,Yes,,"€ 1,4271427 €",,,,,,Villa,,Yes,,,,,,,,,,,,,No,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,
10044734,10044734,house,villa,995000,forsale,3580,l,,2014,good,gas,132,0,1352,,true,,,,,1,,,Limburg,,2014,Good,4,1,,,619m²square meters,,,,,,Yes,No,1352m²square meters,,Yes,,,,,,132 kWh/m²kilowatt hour per square meters,B,20201209-0002348880-RES-1,Not specified,Not specified,,Gas,Yes,Yes,No,No,No,Non flood zone,Extended residential area,"€ 995,000995000 €",No,Kolonel Dusaertplein 28b 3500- Hasselt,http://www.hillewaere.be,10/1090,Limburg,,,,,,,,,,,No,,Connected,,,,,,"€ 3,8483848 €",,,,,,Villa,,Yes,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9883195,9883195,housegroup,housegroup,335000-450000,forsale,3580,l,,,,,,,,,,,,,,,,1,Limburg,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,Yes,No,No,No,Non flood zone,,,No,Pas 96/A 2440- Geel,http://www.immovl.be,4613832,Limburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10015284,10015284,house,house,397501,forsale,3500,l,hyperequipped,2021,good,gas,,3,170,,,,true,,,,,1,Limburg,At delivery,2021,Good,2,,,,169m²square meters,,Hyper equipped,3,1,,,No,170m²square meters,,Yes,,,Yes,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 397,501397501 €",No,Kempische Steenweg 398 3500- Hasselt,http://www.era.be/era-nobis,,Limburg,,,,,Yes,,,,,,,,Not connected,,No,No,Yes,,€ 745745 €,,,,,,,,,,,,,No,,,,,No,,,No,,,,,,,,,,No,No,,No,No,,,,,,,,,,,,,,,,
9827169,9827169,house,house,465000,forsale,3520,l,hyperequipped,2022,good,gas,,3,400,,,,true,true,,,,1,Limburg,At delivery,2022,Good,3,,,,177m²square meters,,Hyper equipped,3,1,,,No,400m²square meters,,Yes,,,Yes,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,No,Yes,No,No,No,,"Living area (residential, urban or rural)","€ 465,000465000 €",No,Kempische Steenweg 398 3500- Hasselt,http://www.era.be/era-nobis,,Limburg,,,,,Yes,,,,,,Yes,,Connected,,No,No,Yes,,,,,,,,,,,,,,,No,,,,,Yes,,Yes,No,,,,,,,,,,No,No,,Yes,No,,,,,,,,,,,,,,,,
8956199,8956199,housegroup,housegroup,330520-391921,forsale,3720,l,,,,,,,,,,,,,,,,1,Limburg,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,,,,,,No,Koning Albertlaan 6 3680- Maaseik,http://www.nicolejanssen.be,Hof van Printhagen,Limburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10155817,10155817,house,house,235000,forsale,3511,l,installed,1960,tobedoneup,,,4,0,true,true,1,,,,,,,Limburg,Immediately,1960,To be done up,3,,,,,1,Installed,4,1,1,Yes,,,,No,1m²square meter,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,,,,,,,"€ 235,000235000 €",No,,,,Limburg,,,,,Yes,,,,,,No,Yes,,,,,,,€ 536536 €,,,,,,,,Yes,,,No,,No,,,,"Yes, conform",No,Yes,No,No,No,No,No,No,,,,,,,,,No,No,,,,,,,,,,,,,,,,
10164956,10164956,house,house,340640,forsale,3680,l,,2020,,,,3,384,,,384,,,,1,,1,Limburg,,2020,,4,1,,,178m²square meters,,,3,1,2,,No,384m²square meters,12 mmeters,,384m²square meters,North,,,,Not specified,Not specified,EPB in aanvraag,Not specified,Not specified,No,,Yes,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 340,640340640 €",No,Koning Albertlaan 13 3680- Maaseik,,905 - 79,Limburg,,,,24m²square meters,,29m²square meters,54m²square meters,18m²square meters,,,,,,,,,,,,13m²square meters,12m²square meters,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9720837,9720837,house,house,290000,forsale,3980,l,hyperequipped,1985,good,fueloil,370,5,1215,,,,true,,,2,4,,Limburg,,1985,Good,3,2,4,Urban,,,Hyper equipped,5,2,2,,No,1215m²square meters,,No,,,Yes,,,370 kWh/m²kilowatt hour per square meters,D,20191014-0002206252-RES-1,Not specified,Not specified,,Fuel oil,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 290,000290000 €",No,Markt 6 3980- Tessenderlo,http://www.immovl.be,4632251,Limburg,,,,,,,,,2,,,,Connected,,,,,,"€ 1,6621662 €",,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10145800,10145800,house,countrycottage,638000,forsale,3971,l,,1980,asnew,gas,,1,3655,,true,,,true,,2,3,,Limburg,After signing the deed,1980,As new,4,2,3,,,1,,1,1,3,Yes,,3655m²square meters,,Yes,,,,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,,,,,Non flood zone,,"€ 638,000638000 €",No,,,,Limburg,,,,,Yes,,,,1,,Yes,,Connected,,No,No,Yes,,"€ 1,6271627 €",,,,,,All kind,,Yes,,,No,,Yes,,,,,Yes,Yes,Yes,No,No,No,No,No,2,No,No,Yes,Yes,No,No,Yes,Yes,No,,,,,,,,,,,,,,,,
10071236,10071236,house,countrycottage,320000,forsale,3550,l,installed,1949,,gas,194,4,1543,,,,,,,,,,Limburg,After signing the deed,1949,,3,,,,198m²square meters,,Installed,4,1,2,,No,1543m²square meters,,,,,,,,194 kWh/m²kilowatt hour per square meters,B,20220817-0002656991-RES-1,Not specified,Not specified,,Gas,Yes,Yes,,,No,Non flood zone,"Living area (residential, urban or rural)","€ 320,000320000 €",No,Dorpsstraat 9 3560- Lummen,http://www.immobennysimons.be,spir626,Limburg,,,,16m²square meters,Yes,24m²square meters,16m²square meters,16m²square meters,,,No,,,,,,,,€ 597597 €,15m²square meters,11m²square meters,,,,,No,,,,No,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8447010,8447010,house,house,395000,forsale,3680,l,,1986,good,,873,3,6461,,true,,,,,1,,,Limburg,,1986,Good,4,1,,,147m²square meters,,,3,1,1,Yes,No,6461m²square meters,,No,,,,,,873 kWh/m²kilowatt hour per square meters,F,20191104-0002214527-RES-1,Not specified,Not specified,,,Yes,Yes,No,No,No,Possible flood zone,"Living area (residential, urban or rural)","€ 395,000395000 €",No,Koning Albertlaan 6 3680- Maaseik,http://www.nicolejanssen.be,WON1374,Limburg,,,,,,,,,,,No,,Connected,,,,,,€ 719719 €,,,,,,,,Yes,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104316,10104316,house,house,379000,forsale,3960,l,,1899,,gas,196,3,631,,true,,,,,,,,Limburg,,1899,,4,,,,154m²square meters,,,3,2,2,Yes,No,631m²square meters,12.7 mmeters,No,,North,,,,196 kWh/m²kilowatt hour per square meters,B,20220220-0002549761-RES-1,Not specified,Not specified,,Gas,Yes,Yes,No,No,No,Non flood zone,Extended residential area,"€ 379,000379000 €",No,Kolonel Dusaertplein 28b 3500- Hasselt,http://www.hillewaere.be,10/1122,Limburg,,10 m,,33m²square meters,,15m²square meters,,,,,No,,Not connected,,,,,103m²square meters,€ 741741 €,,,Yes,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10015657,10015657,house,villa,590000,forsale,3550,l,,1973,good,,460,3,2640,,,2522,,,,2,5,,Limburg,,1973,Good,4,2,5,,228m²square meters,,,3,1,2,,No,2640m²square meters,,No,2522m²square meters,,,,,460 kWh/m²kilowatt hour per square meters,E,20211116-0002488065-RES-1,Not specified,Not specified,,,No,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 590,000590000 €",No,Kolonel Dusaertplein 28b 3500- Hasselt,http://www.hillewaere.be,10/1070,Limburg,,,,,,,,,,,No,,Connected,,,,,178m²square meters,"€ 1,2461246 €",,,,,,Villa,,Yes,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10119991,10119991,house,house,450000,forsale,3581,l,hyperequipped,1976,asnew,fueloil,181,4,1088,true,true,,true,true,,1,2,,Limburg,After signing the deed,1976,As new,4,1,2,Isolated,,,Hyper equipped,4,1,3,Yes,,1088m²square meters,20 mmeters,No,,,Yes,Yes,,181 kWh/m²kilowatt hour per square meters,B,20220914-0002674643-RES-1,Not specified,Not specified,,Fuel oil,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 450,000450000 €",No,Guido Gezellelaan 16/5 3550- Heusden,http://www.immovl.be,4927781,Limburg,,,,,,,,,,,Yes,Yes,Connected,,No,,Yes,,€ 932932 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9911679,9911679,house,manorhouse,650000,forsale,3530,l,,,tobedoneup,,370,6,6789,,,,,,,2,,,Limburg,,,To be done up,4,2,,,562m²square meters,1,,6,3,4,,No,6789m²square meters,,Yes,,,,,,370 kWh/m²kilowatt hour per square meters,D,20220512-0002602739-RES-1,Not specified,Not specified,,,No,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 650,000650000 €",No,Kolonel Dusaertplein 28b 3500- Hasselt,http://www.hillewaere.be,10/0937,Limburg,,,,,,,,,,,No,,Connected,,,,,205m²square meters,"€ 1,3411341 €",,,,,,,,Yes,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10068279,10068279,house,house,974000,forsale,3700,l,installed,2010,asnew,gas,136,4,2178,,true,,,,true,1,,,Limburg,,2010,As new,,1,,,320m²square meters,,Installed,4,2,,,No,2178m²square meters,24.4 mmeters,Yes,,,,Yes,Yes,136 kWh/m²kilowatt hour per square meters,B,20220810-0002653289-RES-1,Not specified,Not specified,,Gas,Yes,Yes,No,No,No,Possible flood zone,"Living area (residential, urban or rural)","€ 974,000974000 €",No,Kolonel Dusaertplein 28b 3500- Hasselt,http://www.hillewaere.be,10/1138,Limburg,,,,70m²square meters,,35m²square meters,,,,,No,,Connected,,Yes,No,No,,,,,,,245m²square meters,,,,,,,,,,,,,,,,No,,,,,,,No,,Yes,,,,,,,,,,,,,,,,,,,,,
10085217,10085217,house,house,372000,forsale,3870,l,installed,,,gas,,3,664,,,,,,,1,,1,Limburg,,,,3,1,,,,,Installed,3,1,,,No,664m²square meters,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Gas,Yes,Yes,Yes,No,,Non flood zone,"Living area (residential, urban or rural)","€ 372,000372000 €",No,Tiensesteenweg 227/101 3800- Sint-Truiden,http://www.dewoonmakers.be,412 - 1625,Limburg,,,,,Yes,13m²square meters,16m²square meters,15m²square meters,,,,,,,,,,,,14m²square meters,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10145682,10145682,house,apartmentblock,498000,forsale,3800,l,installed,,,gas,,2,0,,true,,true,,,,,,Limburg,,,,2,,,,120m²square meters,,Installed,2,1,1,,No,,,Yes,,,,,,Not specified,Not specified,20210510-0002413360-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,No,No,,Non flood zone,,"€ 498,000498000 €",Yes,Luikerstraat 81 3800- Sint-Truiden,http://www.immohaven.be,7937 - 511206206,Limburg,,,,,,16m²square meters,15m²square meters,14m²square meters,,,,,,24m²square meters,Yes,,,,,,,,PAULIES,4m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10095525,10095525,house,house,332000,forsale,3540,l,,2022,asnew,,,3,408,,,1,true,,,1,1,,Limburg,,2022,As new,2,1,1,,180m²square meters,,,3,1,2,,,408m²square meters,,Yes,1m²square meter,,,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,Yes,Yes,Yes,No,No,,,"€ 332,000332000 €",No,,,,Limburg,,,,,Yes,,,,1,,No,,,1m²square meter,No,No,Yes,,,,,,,,,No,Yes,,,No,,No,,,,,Yes,Yes,No,No,No,No,No,No,,No,No,No,Yes,No,No,Yes,No,No,,,,,,,,,,,,,,,,
10085216,10085216,house,house,372000,forsale,3870,l,installed,,,gas,,3,682,,,,,,,12,,1,Limburg,,,,3,12,,,,,Installed,3,1,,,No,682m²square meters,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Gas,Yes,Yes,Yes,No,,Non flood zone,"Living area (residential, urban or rural)","€ 372,000372000 €",No,Tiensesteenweg 227/101 3800- Sint-Truiden,http://www.dewoonmakers.be,411 - 1624,Limburg,,,,,Yes,13m²square meters,16m²square meters,15m²square meters,,,,,,,,,,,,14m²square meters,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10163755,10163755,house,house,235000,forsale,3550,l,installed,1960,,,420,3,1187,,,,,,,,3,,Limburg,,1960,,4,,3,,151m²square meters,,Installed,3,1,,,No,1187m²square meters,,,,,,,,420 kWh/m²kilowatt hour per square meters,E,Not specified,Not specified,Not specified,,,No,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 235,000235000 €",No,Schootstraat 254 3550- Heusden-Zolder,http://www.immofusion.be,spir5147,Limburg,,,Link to the virtual visit,,,,,,,,No,,,,,,,,,,,,,,,No,,,,No,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165986,10165986,house,house,499500,forsale,3670,l,,2001,,,147,3,1391,,true,,,,,2,,,Limburg,,2001,,4,2,,,314m²square meters,,,3,2,,Yes,No,1391m²square meters,,No,,,,Yes,No,147 kWh/m²kilowatt hour per square meters,B,20220807-0002651879-RES-1,Not specified,Not specified,,,Yes,Yes,No,No,No,Non flood zone,Residential park,"€ 499,500499500 €",No,Koning Albertlaan 6 3680- Maaseik,http://www.nicolejanssen.be,WON1556,Limburg,August 31 2023 - 12:00 AM,,,,,,,,,,No,,Connected,,No,No,No,,"€ 1,0601060 €",,,,,,,,Yes,,,,,,,,,,,,,No,,,,,,,No,,No,,,,,,,,,,,,,,,,,,,,,
9969672,9969672,house,house,320000,forsale,3960,l,,1899,,,309,5,206,,true,,,,,1,,,Limburg,,1899,,2,1,,,208m²square meters,,,5,1,,Yes,No,206m²square meters,,No,,,,,,309 kWh/m²kilowatt hour per square meters,D,20220615-0002623413-RES-1,Not specified,Not specified,,,No,Yes,No,No,No,,Residential area with cultural historical aesthetic value,"€ 320,000320000 €",No,Koning Albertlaan 6 3680- Maaseik,http://www.nicolejanssen.be,WON1547,Limburg,,,,,,,,,,,No,,Connected,,,,,,€ 659659 €,,,,,,,,Yes,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10163475,10163475,house,house,399000,forsale,3650,l,,1991,,,274,4,1830,,true,,,,,1,,,Limburg,,1991,,4,1,,,219m²square meters,,,4,2,,Yes,No,1830m²square meters,,No,,,,,,274 kWh/m²kilowatt hour per square meters,C,20221009-0002692979-RES-1,Not specified,Not specified,,,Yes,Yes,Yes,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 399,000399000 €",No,Koning Albertlaan 6 3680- Maaseik,http://www.nicolejanssen.be,WON1571,Limburg,,,,,,,,,,,No,,Connected,,,,,,"€ 1,3311331 €",,,,,,,,Yes,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10121287,10121287,house,house,288951,forsale,3660,l,,2022,,solar,44,3,330,,,,,,,,,,Limburg,,2022,,3,,,,148m²square meters,,,3,1,,,No,330m²square meters,11 mmeters,Yes,,,,,,44 kWh/m²kilowatt hour per square meters,A,72042GOMV2020044079/EP15119SVA001D02SD001,Not specified,Not specified,,Solar,Yes,Yes,No,No,No,Recognized flood zone,Another type of area,"€ 288,951288951 €",No,Kempische Steenweg 398 3500- Hasselt,http://www.era.be/era-nobis,,Limburg,,8 m,,,,,,,,,,,Connected,,,,,,,,,,,,,,,,44,,,Yes,,,,,Yes,,,No,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,
9908088,9908088,house,house,165000,forsale,3945,l,hyperequipped,1935,,fueloil,,3,315,,,235,true,true,,1,3,,Limburg,After signing the deed,1935,,3,1,3,Urban,130m²square meters,,Hyper equipped,3,1,1,,,315m²square meters,10.5 mmeters,,235m²square meters,,Yes,,,Not specified,Not specified,Not specified,Not specified,Not specified,,Fuel oil,Yes,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 165,000165000 €",No,Belgïelaan 4 2200- Herentals,,4644670,Limburg,,,,,,,,,1,,Yes,,,,,Yes,,149m²square meters,€ 329329 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000247,10000247,house,house,299500,forsale,3650,l,,1972,,,360,4,1358,,,1204,,,,1,,,Limburg,,1972,,,1,,,332m²square meters,,,4,,2,,No,1358m²square meters,23 mmeters,No,1204m²square meters,West,,,,360 kWh/m²kilowatt hour per square meters,D,20220315-0002564378-RES-1,Not specified,Not specified,,,No,Yes,No,No,No,Possible flood zone,"Living area (residential, urban or rural)","€ 299,500299500 €",No,Kolonel Dusaertplein 28b 3500- Hasselt,http://www.hillewaere.be,10/1111,Limburg,,,,,,,,,,,No,,Not connected,,,,,,€ 941941 €,,,,,,,,Yes,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10063225,10063225,house,house,335000,forsale,3980,l,,1976,,fueloil,531,3,1096,,,,true,,,1,,,Limburg,To be defined,1976,,4,1,,,190m²square meters,,,3,1,,,,1096m²square meters,,No,,,Yes,,,531 kWh/m²kilowatt hour per square meters,F,20220530-0002613202-RES-1,Not specified,Not specified,,Fuel oil,Yes,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 335,000335000 €",No,Markt 6 3980- Tessenderlo,http://www.immovl.be,4769581,Limburg,,,,,,,,,,,,,Connected,,,,,,"€ 1,2541254 €",,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101072,10101072,house,house,187500,forsale,3550,l,,1968,,gas,631,3,440,,,,true,,,,,,Limburg,After signing the deed,1968,,4,,,,182m²square meters,,,3,1,,,No,440m²square meters,,Yes,,,Yes,No,No,631 kWh/m²kilowatt hour per square meters,F,20220729-0002647876-RES-1,Not specified,Not specified,,Gas,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 187,500187500 €",No,Kempische Steenweg 398 3500- Hasselt,http://www.era.be/era-nobis,,Limburg,,,,,Yes,,,,,,,,Not connected,,No,No,Yes,,€ 837837 €,,,,,,,,,,631,,,No,,,,,No,,,No,,,,,,,,,,No,No,,No,No,,,,,,,,,,,,,,,,
10127828,10127828,house,house,350000,forsale,3520,l,,1987,,gas,125,3,1044,,true,,,,true,,1,,Limburg,After signing the deed,1987,,4,,1,,410m²square meters,,,3,1,,Yes,No,1044m²square meters,,Yes,,,,No,Yes,125 kWh/m²kilowatt hour per square meters,B,20210708-0002439363-RES-1,Not specified,Not specified,,Gas,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 350,000350000 €",No,Kempische Steenweg 398 3500- Hasselt,http://www.era.be/era-nobis,,Limburg,,,,,,,,,,,,,Not connected,,No,No,No,,€ 723723 €,,,,,,,,,,125,,,No,,,,,Yes,,,No,,,,,,,,,,No,No,,No,No,,,,,,,,,,,,,,,,
