,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Available date,Neighbourhood or locality,Construction year,Building condition,Street frontage width,Number of frontages,Covered parking spaces,Outdoor parking spaces,Surroundings type,Virtual visit,Living area,Living room surface,Dining room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Basement,Attic,Furnished,Surface of the plot,Connection to sewer network,"Gas, water &amp; electricity",Garden surface,Terrace surface,Elevator,Accessible for disabled people,Intercom,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Price,Tenement building,Address,Website,External reference,Province,Armored door,Width of the lot on the street,TV cable,Double glazing,Total ground floor buildable,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Cadastral income,Bedroom 4 surface,Living room,Terrace,Planning permission obtained,Bedroom 5 surface,Secure access / alarm,Professional space surface,Conformity certification for fuel tanks,Subdivision permit,As built plan,How many fireplaces?,Garden orientation,Basement surface,Attic surface,Dressing room,Laundry room,Land is facing street,Wooded land,Plot at rear,Flat land,Caretaker,Visio phone,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Professional space,Isolated,Type of building,Terrace orientation,Air conditioning,Jacuzzi,Sauna,Internet,E-level (overall energy performance),Monthly charges,Property name,Agent's name,Current monthly revenue,Garden,Obligation to build,Number of annexes,Venue of the sale,Single session,Terms of visit,Starting price,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Percentage rented,Extra information,EPC description,Age of annuitant
10164029,10164029,house,house,475000,forsale,1200,xl,notinstalled,1951,torenovate,gas,831,3,270,true,true,150,true,,,1,2,,Brussels,After signing the deed,January 1 2023 - 12:00 AM,Les Woluwes,1951,To renovate,6.5 m,3,1,2,Isolated,Link to the virtual visit,140m²square meters,,Yes,Not installed,,3,13m²square meters,13m²square meters,6m²square meters,1,1,1,,,Yes,Yes,No,270m²square meters,Connected,Yes,150m²square meters,33m²square meters,No,Yes,,No,831 kWh/m²kilowatt hour per square meters,G,Not specified,167 kg CO₂/m²,Not specified,Gas,"€ 475,000475000 €",No,"Avenue des Cerisiers, 212 1200- Woluwe-St-Lambert",http://www.expertissimmo.eu,4964659,Brussels,,,,,,,,,,"€ 1,4201420 €",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164035,10164035,house,house,695000,forsale,1150,xl,semiequipped,1932,good,gas,434,5,360,,true,215,true,true,,1,1,,Brussels,To be defined,December 1 2022 - 12:00 AM,Les Woluwes,1932,Good,7.5 m,2,1,1,Urban,Link to the virtual visit,340m²square meters,50m²square meters,Yes,Semi equipped,11m²square meters,5,11m²square meters,19m²square meters,20m²square meters,2,2,3,10m²square meters,Yes,Yes,,No,360m²square meters,Connected,Yes,215m²square meters,20m²square meters,,,,,434 kWh/m²kilowatt hour per square meters,G,434,87 kg CO₂/m²,Not specified,Gas,"€ 695,000695000 €",No,"Avenue des Cerisiers, 212 1200- Woluwe-St-Lambert",http://www.expertissimmo.eu,4970456,Brussels,,,,,,,,,,"€ 2,4642464 €",19m²square meters,,,,20m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165341,10165341,house,villa,1490000,forsale,1160,xl,hyperequipped,1969,asnew,gas,207,4,486,,true,200,true,true,,1,1,,Brussels,To be defined,January 1 2023 - 12:00 AM,Est de Bruxelles + VL,1969,As new,,3,1,1,Countryside,Link to the virtual visit,270m²square meters,51m²square meters,,Hyper equipped,20m²square meters,4,55m²square meters,15m²square meters,14m²square meters,2,1,3,14m²square meters,Yes,Yes,,No,486m²square meters,,No,200m²square meters,30m²square meters,No,No,,No,207 kWh/m²kilowatt hour per square meters,D,Not specified,41 kg CO₂/m²,Not specified,Gas,"€ 1,490,0001490000 €",No,"Val des Seigneurs, 9a 1150- Woluwe-St-Pierre",http://www.sorimo.be,4973085,Brussels,,,,Yes,350m²square meters,,,,,"€ 4,7974797 €",12m²square meters,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10163054,10163054,house,mixedusebuilding,1795000,forsale,1030,xl,notinstalled,1899,torenovate,gas,388,39,450,,true,,,,,,,,Brussels,After signing the deed,September 29 2022 - 12:00 AM,,1899,To renovate,13 m,2,,,Isolated,,1500m²square meters,60m²square meters,,Not installed,,39,20m²square meters,20m²square meters,20m²square meters,15,1,14,,,Yes,,No,450m²square meters,Connected,Yes,,,No,No,Yes,No,388 kWh/m²kilowatt hour per square meters,G,Not specified,95 kg CO₂/m²,Not specified,Gas,"€ 1,795,0001795000 €",Yes,avenue Brugmann 63 1190- Forest,http://www.propertylab.be,4961453,Brussels,,13 mmeters,Yes,Yes,450m²square meters,,,Non flood zone,"Living area (residential, urban or rural)","€ 4,4344434 €",20m²square meters,,,,20m²square meters,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10166537,10166537,house,apartmentblock,2890000,forsale,1180,xl,usahyperequipped,1927,justrenovated,gas,246,8,230,,true,,,,,1,1,,Brussels,After signing the deed,January 5 2023 - 12:00 AM,R Etterbeek Ixelles,1927,Just renovated,,2,1,1,Urban,,550m²square meters,22m²square meters,,USA hyper equipped,18m²square meters,8,16m²square meters,13m²square meters,9m²square meters,7,7,2,,,Yes,,No,230m²square meters,,Yes,,,No,No,Yes,No,246 kWh/m²kilowatt hour per square meters,E,Not specified,49 kg CO₂/m²,Not specified,Gas,"€ 2,890,0002890000 €",Yes,Bld. Brand Whitlock 108 1200- Woluwe-Saint-Lambert,,4972422,Brussels,,,,Yes,,,,,,,16m²square meters,,,,13m²square meters,,,,,"Yes, conform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158111,10158111,house,house,495000,forsale,1150,xl,usainstalled,1950,good,gas,307,3,97,true,true,,true,,,,,,Brussels,Depending on the tenant,,Est de Bruxelles + VL,1950,Good,,2,,,Countryside,,110m²square meters,26m²square meters,,USA installed,8m²square meters,3,14m²square meters,10m²square meters,16m²square meters,1,,1,,,Yes,Yes,No,97m²square meters,,,,25m²square meters,,,,,307 kWh/m²kilowatt hour per square meters,F,Not specified,61 kg CO₂/m²,Not specified,Gas,"€ 495,000495000 €",No,"Val des Seigneurs, 9a 1150- Woluwe-St-Pierre",http://www.sorimo.be,4969798,Brussels,,,,,,,,,,"€ 1,0531053 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10157542,10157542,house,house,675000,forsale,1150,xl,semiequipped,1965,good,gas,315,4,243,true,,100,,true,,1,1,,Brussels,After signing the deed,October 31 2022 - 12:00 AM,Est de Bruxelles + VL,1965,Good,,3,1,1,Countryside,,155m²square meters,40m²square meters,,Semi equipped,,4,14m²square meters,14m²square meters,14m²square meters,1,,2,9m²square meters,Yes,,Yes,No,243m²square meters,,No,100m²square meters,,,,,,315 kWh/m²kilowatt hour per square meters,F,Not specified,63 kg CO₂/m²,Not specified,Gas,"€ 675,000675000 €",No,"Val des Seigneurs, 9a 1150- Woluwe-St-Pierre",http://www.sorimo.be,4958814,Brussels,,,,Yes,195m²square meters,,,,,"€ 2,5632563 €",8m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146862,10146862,house,villa,895000,forsale,1150,xl,installed,1961,torenovate,fueloil,274,3,300,true,,200,true,true,,1,1,,Brussels,After signing the deed,,Omgeving Kraainem,1961,To renovate,7 m,3,1,1,"Living area (residential, urban or rural)",,200m²square meters,45m²square meters,,Installed,7m²square meters,3,20m²square meters,16m²square meters,10m²square meters,1,1,2,10m²square meters,Yes,,Yes,,300m²square meters,Connected,No,200m²square meters,12m²square meters,No,No,,No,274 kWh/m²kilowatt hour per square meters,E,20220815­-0000618777-­01-­8,68 kg CO₂/m²,Not specified,Fuel oil,"€ 895,000895000 €",No,"Wezembeeklaan, 120 1950- Kraainem",http://www.keystones.be,4964425,Brussels,,10 mmeters,Yes,Yes,,,,Non flood zone,,"€ 2,6272627 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10156593,10156593,house,house,1800000,forsale,1030,xl,,1923,torenovate,fueloil,414,9,1050,,true,715,true,,,2,1,,Brussels,After signing the deed,,Diamant,1923,To renovate,13 m,2,2,1,Urban,,700m²square meters,80m²square meters,,,15m²square meters,9,31m²square meters,29m²square meters,26m²square meters,1,,4,,,Yes,,No,1050m²square meters,,Yes,715m²square meters,6m²square meters,,,,,414 kWh/m²kilowatt hour per square meters,G,Not specified,108 kg CO₂/m²,Not specified,Fuel oil,"€ 1,800,0001800000 €",No,Rue de Tenbosch 85/117 1050- Ixelles,,2268 - 2298,Brussels,,13 mmeters,,Yes,,,,,,"€ 3,5693569 €",25m²square meters,,,,25m²square meters,Yes,,,,No,1,East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158359,10158359,house,house,750000,forsale,1030,xl,,1930,tobedoneup,gas,560,6,282,,true,110,true,,,1,1,,Brussels,,,Diamant,1930,To be done up,6 m,2,1,1,Urban,,270m²square meters,46m²square meters,,,16m²square meters,6,30m²square meters,23m²square meters,16m²square meters,4,,4,,,Yes,,No,282m²square meters,,Yes,110m²square meters,20m²square meters,,,,,560 kWh/m²kilowatt hour per square meters,G,Not specified,111 kg CO₂/m²,Not specified,Gas,"€ 750,000750000 €",No,Rue de Tenbosch 85/117 1050- Ixelles,,2273 - 2298,Brussels,,6 mmeters,,Yes,,,,,,"€ 1,9881988 €",15m²square meters,,,,13m²square meters,,,,,No,1,East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164627,10164627,house,apartmentblock,2890000,forsale,1050,xl,usahyperequipped,1927,justrenovated,gas,246,8,230,,true,,,,,1,1,,Brussels,After signing the deed,January 5 2023 - 12:00 AM,R Etterbeek Ixelles,1927,Just renovated,,2,1,1,Urban,,550m²square meters,22m²square meters,,USA hyper equipped,18m²square meters,8,16m²square meters,13m²square meters,9m²square meters,7,7,2,,,Yes,,No,230m²square meters,,Yes,,,No,No,Yes,No,246 kWh/m²kilowatt hour per square meters,E,Not specified,49 kg CO₂/m²,Not specified,Gas,"€ 2,890,0002890000 €",Yes,Bld. Brand Whitlock 108 1200- Woluwe-Saint-Lambert,,4972417,Brussels,,,,Yes,,,,,,,16m²square meters,,,,13m²square meters,,,,,"Yes, conform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10163196,10163196,house,apartmentblock,1175000,forsale,1080,xl,hyperequipped,2012,good,gas,122,0,120,,,,,,,,1,,Brussels,,,,2012,Good,,2,,1,Urban,,410m²square meters,,,Hyper equipped,,,,,,,,,,,,,No,120m²square meters,,,,,Yes,No,,No,122 kWh/m²kilowatt hour per square meters,C,406768-N-1-3-2-1,Not specified,Not specified,Gas,"€ 1,175,0001175000 €",Yes,Tour &amp; Taxis - Havenlaan 86c 106c 1000- Brussels,http://www.dewaele.com/,D1000-22153,Brussels,,,,,,,,,,"€ 6,2096209 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10151618,10151618,house,mixedusebuilding,455000,forsale,1020,xl,hyperequipped,1890,good,gas,549,4,187,true,true,119,true,true,,,,,Brussels,After signing the deed,,Bruxelles Nord et Ouest,1890,Good,,2,,,"Living area (residential, urban or rural)",Link to the virtual visit,242m²square meters,49m²square meters,,Hyper equipped,16m²square meters,4,17m²square meters,16m²square meters,12m²square meters,1,,3,,Yes,,,No,187m²square meters,Connected,Yes,119m²square meters,20m²square meters,,,,,549 kWh/m²kilowatt hour per square meters,G,Not specified,110 kg CO₂/m²,Not specified,Gas,"€ 455,000455000 €",Yes,Avenue de Tervueren 446 1150- Bruxelles,http://www.jj-properties.be,4967185,Brussels,,,,Yes,,,,,,"€ 23,30423304 €",12m²square meters,,,,,,52m²square meters,,,,,,5m²square meters,15m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10039330,10039330,house,mansion,710000,forsale,1000,xl,hyperequipped,1899,torenovate,gas,294,5,241,,true,130,true,,,,,,Brussels,After signing the deed,,Ambiorix,1899,To renovate,6 m,,,,,Link to the virtual visit,310m²square meters,36m²square meters,,Hyper equipped,,5,,,,1,1,3,,,Yes,,No,241m²square meters,,,130m²square meters,25m²square meters,,,,,294 kWh/m²kilowatt hour per square meters,F,Not specified,58 kg CO₂/m²,Not specified,Gas,"€ 710,000710000 €",No,Place des chasseurs Ardennais 24-26 1030- Schaerbeek,http://www.eventimmo.be,8744 - 654658353,Brussels,,,,,,,,,,"€ 1,7441744 €",,,,,,,,,,No,,South West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10142887,10142887,house,house,750000,forsale,1150,xl,installed,1936,torenovate,gas,424,4,360,true,true,,true,,,1,1,,Brussels,After signing the deed,January 1 2023 - 12:00 AM,,1936,To renovate,8 m,3,1,1,Isolated,Link to the virtual visit,200m²square meters,33m²square meters,Yes,Installed,11m²square meters,4,19m²square meters,15m²square meters,13m²square meters,1,1,3,,,Yes,Yes,No,360m²square meters,Connected,No,,,,,,,424 kWh/m²kilowatt hour per square meters,G,20220531-0000613819-01-6,85 kg CO₂/m²,Not specified,Gas,"€ 750,000750000 €",No,Avenue Baron Albert d'Huart 130 1950- Kraainem,http://www.latouretpetit.be,4962685,Brussels,,,,Yes,,,,,,"€ 2,6252625 €",16m²square meters,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10152241,10152241,house,house,1780000,forsale,1180,xl,installed,1900,good,gas,373,7,450,,true,300,true,true,,3,,,Brussels,To be defined,,,1900,Good,,2,3,,,,540m²square meters,35m²square meters,Yes,Installed,,7,,,,5,,6,,Yes,Yes,,No,450m²square meters,Connected,No,300m²square meters,,No,No,No,No,373 kWh/m²kilowatt hour per square meters,G,2021-1008-test,74 kg CO₂/m²,Not specified,Gas,"€ 1,780,0001780000 €",No,Avenue Louise 404a 1050- Ixelles,http://www.barnes-brussels.com,5163681,Brussels,No,7.2 mmeters,No,Yes,540m²square meters,No,No,,,"€ 4,8134813 €",,,Yes,,,No,,No,Yes,No,1,,,,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10145907,10145907,house,apartmentblock,800000,forsale,1190,xl,installed,1924,tobedoneup,fueloil,445,4,263,,true,140,true,true,,,,,Brussels,Depending on the tenant,,Brussels,1924,To be done up,7 m,2,,,,Link to the virtual visit,350m²square meters,,,Installed,,4,,,,3,,3,,Yes,Yes,,No,263m²square meters,,,140m²square meters,,No,No,Yes,,445 kWh/m²kilowatt hour per square meters,G,G,114 kg CO₂/m²,Not specified,Fuel oil,"€ 800,000800000 €",Yes,Rue Emile Bouilliot 61 1050- Ixelles,http://www.caron-realestate.be,4964294,Brussels,,7 mmeters,,Yes,120m²square meters,No,,,,"€ 2,6622662 €",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161786,10161786,house,mixedusebuilding,1450000,forsale,1200,xl,hyperequipped,1900,good,gas,571,4,83,,,,,,,,,,Brussels,To be defined,September 1 2022 - 12:00 AM,1 - Bruxelles Est,1900,Good,,2,,,Mall,Link to the virtual visit,283m²square meters,,Yes,Hyper equipped,,4,16m²square meters,16m²square meters,14m²square meters,3,3,4,,,,,No,83m²square meters,,No,,,,,,,571 kWh/m²kilowatt hour per square meters,G,Not specified,114 kg CO₂/m²,Not specified,Gas,"€ 1,450,0001450000 €",Yes,Avenue Baron Albert d'Huart 130 1950- Kraainem,http://www.latouretpetit.be,4971178,Brussels,,,,Yes,,,,,,,14m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
