,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Neighbourhood or locality,Construction year,Building condition,Number of frontages,Covered parking spaces,Outdoor parking spaces,Surroundings type,Virtual visit,Living area,Living room surface,Dining room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bedroom 5 surface,Bathrooms,Toilets,Office,Basement surface,Furnished,Armored door,Surface of the plot,"Gas, water &amp; electricity",Terrace,Elevator,Secure access / alarm,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Double glazing,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Available date,Street frontage width,Shower rooms,Office surface,Attic,Width of the lot on the street,Connection to sewer network,Garden surface,Terrace surface,Accessible for disabled people,Intercom,TV cable,Flood zone type,How many fireplaces?,Garden orientation,As built plan,Living room,Dressing room,Laundry room,Professional space,Basement,Land is facing street,Wooded land,Plot at rear,Flat land,Terrace orientation,Number of annexes,Caretaker,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Possible priority purchase right,Proceedings for breach of planning regulations,Latest land use designation,Garden,Planning permission obtained,Subdivision permit,Total ground floor buildable,Attic surface,Obligation to build,Conformity certification for fuel tanks,Professional space surface,E-level (overall energy performance),Agent's name,Property name,Isolated,Extra information,Venue of the sale,Single session,Terms of visit,Starting price,Current monthly revenue,Monthly charges,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Percentage rented,EPC description,Maximum duration of annuity
10057470,10057470,house,villa,570000,forsale,1730,l,installed,1984,good,,212,3,1182,true,,700,true,,,1,4,,Flemish Brabant,After signing the deed,,1984,Good,4,1,4,"Living area (residential, urban or rural)",,200m²square meters,22m²square meters,Yes,Installed,15m²square meters,3,26m²square meters,20m²square meters,13m²square meters,,,2,2,,,No,,1182m²square meters,Yes,,No,Yes,No,212 kWh/m²kilowatt hour per square meters,C,20220724-0002639398-RES-1,Not specified,Not specified,,Yes,"€ 570,000570000 €","€ 1,4571457 €",No,Ninoofsesteenweg 1036 1703- Schepdaal,http://www.hetwoonburo.be,4849534,Flemish Brabant,,9.72 m,1,,Yes,15.3 mmeters,Connected,700m²square meters,35m²square meters,,,Yes,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,"Living area (residential, urban or rural)",,Yes,No,225m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
10108784,10108784,house,house,275000,forsale,3201,l,installed,1956,tobedoneup,fueloil,667,4,1272,,true,,true,true,,3,8,,Flemish Brabant,,,1956,To be done up,4,3,8,,,220m²square meters,,,Installed,,4,,,,,,1,2,Yes,,No,No,1272m²square meters,Yes,Yes,,,,667 kWh/m²kilowatt hour per square meters,F,20220818-0002657574-RES-1,Not specified,Not specified,Fuel oil,Yes,"€ 275,000275000 €",€ 723723 €,No,Veldonkstraat 5 3120- Tremelo,http://www.immomarina.com,T1416,Flemish Brabant,,,,,,19.8 mmeters,Connected,,,,,,Non flood zone,,East,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,No,No,"Living area (residential, urban or rural)",Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
10067030,10067030,house,house,269000,forsale,1730,l,semiequipped,1932,tobedoneup,gas,435,3,270,,,,true,true,,,,,Flemish Brabant,After signing the deed,,1932,To be done up,2,,,,,142m²square meters,28m²square meters,,Semi equipped,8m²square meters,3,12m²square meters,12m²square meters,8m²square meters,,,1,1,Yes,,,,270m²square meters,,,,,,435 kWh/m²kilowatt hour per square meters,E,20220728-0002647199-RES-1,Not specified,Not specified,Gas,Yes,"€ 269,000269000 €",€ 466466 €,No,Brusselsesteenweg 594 1731- Zellik,http://www.immodavid.be,4856838,Flemish Brabant,,5 m,,,,5 mmeters,,,15m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10010160,10010160,house,house,295000,forsale,1500,l,installed,1930,tobedoneup,fueloil,466,3,390,true,true,,,,,,,,Flemish Brabant,Immediately,Essenbeek,1930,To be done up,2,,,"Living area (residential, urban or rural)",,196m²square meters,,Yes,Installed,,3,,,,,,1,1,,,,,390m²square meters,Yes,,,,,466 kWh/m²kilowatt hour per square meters,E,0002580087-Res-1,Not specified,Not specified,Fuel oil,Yes,"€ 295,000295000 €",€ 986986 €,,Albertstraat 1 1500- Halle,,,Flemish Brabant,,,,,Yes,,,,,,,,Non flood zone,,,No,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,"Living area (residential, urban or rural)",,Yes,No,,,,,,,Destryker Wim,,,,,,,,,,,,,,,,,,,,
10097195,10097195,house,house,275000,forsale,3270,l,installed,1850,asnew,gas,237,2,90,true,,,,,,1,,,Flemish Brabant,After signing the deed,,1850,As new,2,1,,"Living area (residential, urban or rural)",,143m²square meters,,,Installed,,2,19m²square meters,13m²square meters,,,,1,2,,,No,,90m²square meters,Yes,,,,,237 kWh/m²kilowatt hour per square meters,C,20220728-0002644719-RES-1,Not specified,Not specified,Gas,Yes,"€ 275,000275000 €",€ 416416 €,No,Geldenaaksebaan 176 C 3001- Heverlee,http://www.immomentor.be,,Flemish Brabant,,4 m,,,,4 mmeters,Connected,,,,,,Non flood zone,,,No,,,,,,,,,,,,,,,,,,,,,,,No,No,"Living area (residential, urban or rural)",,Yes,No,,40m²square meters,,,,,Herman,,,,,,,,,,,,,,,,,,,,
10036613,10036613,house,house,318000,forsale,1770,l,installed,1952,tobedoneup,fueloil,860,3,370,true,,70,true,,,1,2,,Flemish Brabant,After signing the deed,,1952,To be done up,3,1,2,"Living area (residential, urban or rural)",,116m²square meters,34m²square meters,,Installed,26m²square meters,3,14m²square meters,18m²square meters,13m²square meters,,,1,2,,,No,,370m²square meters,No,Yes,,,No,860 kWh/m²kilowatt hour per square meters,F,20220712-0002632647-RES-1,Not specified,Not specified,Fuel oil,Yes,"€ 318,000318000 €",€ 752752 €,No,Ninoofsesteenweg 1036 1703- Schepdaal,http://www.hetwoonburo.be,4847963,Flemish Brabant,,4.5 m,,,Yes,9 mmeters,Connected,70m²square meters,,,,Yes,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,"Living area (residential, urban or rural)",,,No,226m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
10008340,10008340,house,house,325000,forsale,3290,l,installed,1920,good,gas,176,3,650,,true,286,true,true,,,1,,Flemish Brabant,After signing the deed,,1920,Good,2,,1,,,176m²square meters,19m²square meters,Yes,Installed,12m²square meters,3,15m²square meters,38m²square meters,37m²square meters,,,1,1,Yes,,,No,650m²square meters,Yes,,No,No,No,176 kWh/m²kilowatt hour per square meters,B,20180918-0002091518-1,36511 kg CO₂/m²,Not specified,Gas,Yes,"€ 325,000325000 €",,No,,,,Flemish Brabant,,7 m,,20m²square meters,,,Connected,286m²square meters,66m²square meters,No,No,Yes,Non flood zone,,North West,,,No,Yes,Yes,Yes,Yes,No,No,No,North West,,No,No,No,No,No,Yes,No,No,No,No,All kind,,No,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
10126306,10126306,house,house,319000,forsale,1745,l,usasemiequipped,1961,good,fueloil,480,3,285,true,true,,true,,,1,3,,Flemish Brabant,After signing the deed,,1961,Good,3,1,3,Isolated,Link to the virtual visit,,14m²square meters,Yes,USA semi equipped,15m²square meters,3,7m²square meters,12m²square meters,14m²square meters,,,1,2,,,No,,285m²square meters,,Yes,,,,480 kWh/m²kilowatt hour per square meters,E,Not specified,Not specified,Not specified,Fuel oil,Yes,"€ 319,000319000 €",€ 795795 €,No,Nieuwstraat 32b1 1730- Asse,http://www.kantoorleemans.be,4937220,Flemish Brabant,,6.5 m,1,,Yes,11 mmeters,,,,,,,Non flood zone,,,No,,,,,Yes,,,,,,,,,,,,,,,,,,No,No,Extended residential area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9874806,9874806,house,house,330000,forsale,1910,l,installed,,good,gas,511,4,970,true,,,,,,,1,,Flemish Brabant,To be defined,,,Good,,,1,,,178m²square meters,31m²square meters,,Installed,11m²square meters,4,18m²square meters,11m²square meters,10m²square meters,24m²square meters,,,,,,No,,970m²square meters,Yes,,,,,511 kWh/m²kilowatt hour per square meters,F,20220421-0002588117-RES-1,Not specified,Not specified,Gas,Yes,"€ 330,000330000 €",,No,Dr. V. Dewalsplein 23 3070- Kortenberg,http://www.aefimmo.be,,Flemish Brabant,,,,,Yes,,Connected,,,,,,Non flood zone,,North West,,,No,,,,,,,,,,,,,,,,No,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10072471,10072471,house,mixedusebuilding,338500,forsale,3202,l,installed,1980,tobedoneup,gas,396,5,532,,,,,,,4,2,,Flemish Brabant,After signing the deed,,1980,To be done up,3,4,2,"Living area (residential, urban or rural)",,363m²square meters,,,Installed,,5,23m²square meters,19m²square meters,15m²square meters,14m²square meters,13m²square meters,2,3,,,No,,532m²square meters,Yes,,,,,396 kWh/m²kilowatt hour per square meters,D,20211203-0002502846-RES-2,Not specified,Not specified,Gas,,"€ 338,500338500 €","€ 1,6931693 €",Yes,Geldenaaksebaan 176 C 3001- Heverlee,http://www.immomentor.be,,Flemish Brabant,,13 m,1,,,13 mmeters,Connected,,,,,,Non flood zone,,,No,,,Yes,,,,,,,,,,,,,,,,,,,,No,No,"Living area (residential, urban or rural)",,Yes,No,,,,,,,Herman,,,,,,,,,,,,,,,,,,,,
10047377,10047377,house,house,348000,forsale,3300,l,installed,1953,good,gas,438,2,360,true,,,true,,,1,,,Flemish Brabant,After signing the deed,,1953,Good,4,1,,Urban,,121m²square meters,15m²square meters,Yes,Installed,12m²square meters,2,17m²square meters,15m²square meters,,,,1,1,,,No,,360m²square meters,Yes,Yes,,,,438 kWh/m²kilowatt hour per square meters,E,20220803-0002649609-RES-1,Not specified,Not specified,Gas,Yes,"€ 348,000348000 €",€ 865865 €,No,Brusselsestraat 41 3000- Leuven,http://www.hmvastgoed.be,4862953,Flemish Brabant,,13.88 m,1,,Yes,14.35 mmeters,Connected,,,,,Yes,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,No,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10072452,10072452,house,house,338500,forsale,3202,l,installed,1980,tobedoneup,gas,396,5,532,,,,,,,4,2,,Flemish Brabant,After signing the deed,,1980,To be done up,3,4,2,"Living area (residential, urban or rural)",,363m²square meters,,,Installed,,5,23m²square meters,19m²square meters,15m²square meters,14m²square meters,13m²square meters,2,3,,,No,,532m²square meters,Yes,,,,,396 kWh/m²kilowatt hour per square meters,D,20211203-0002502846-RES-2,Not specified,Not specified,Gas,,"€ 338,500338500 €","€ 1,6931693 €",Yes,Geldenaaksebaan 176 C 3001- Heverlee,http://www.immomentor.be,,Flemish Brabant,,13 m,1,,,13 mmeters,Connected,,,,,,Non flood zone,,,No,,,Yes,,,,,,,,,,,,,,,,,,,,No,No,"Living area (residential, urban or rural)",,Yes,No,,,,,,,Herman,,,,,,,,,,,,,,,,,,,,
10058745,10058745,house,house,349000,forsale,1650,l,hyperequipped,1958,good,fueloil,424,3,657,true,true,,true,,,1,,,Flemish Brabant,After signing the deed,,1958,Good,3,1,,Urban,,118m²square meters,22m²square meters,,Hyper equipped,7m²square meters,3,12m²square meters,7m²square meters,15m²square meters,,,1,1,,,No,,657m²square meters,Yes,Yes,No,,No,424 kWh/m²kilowatt hour per square meters,E,Not specified,Not specified,Not specified,Fuel oil,Yes,"€ 349,000349000 €",€ 981981 €,No,Winderickxplein 25 1652- Alsemberg,,4868504,Flemish Brabant,,9 m,,,Yes,9 mmeters,Connected,,,No,,Yes,Possible flood zone,,,No,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
10058744,10058744,house,house,349000,forsale,1652,l,hyperequipped,1958,good,fueloil,424,3,657,true,true,,true,,,1,,,Flemish Brabant,Depending on the tenant,,1958,Good,3,1,,Urban,,118m²square meters,22m²square meters,,Hyper equipped,7m²square meters,3,12m²square meters,7m²square meters,15m²square meters,,,1,1,,,No,,657m²square meters,Yes,Yes,No,,No,424 kWh/m²kilowatt hour per square meters,E,Not specified,Not specified,Not specified,Fuel oil,Yes,"€ 349,000349000 €",€ 981981 €,No,Winderickxplein 25 1652- Alsemberg,,4868505,Flemish Brabant,,9 m,,,Yes,9 mmeters,Connected,,,No,,Yes,Possible flood zone,,,No,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
10004621,10004621,house,house,375000,forsale,3191,l,installed,1965,good,fueloil,1272,3,1623,,true,1623,,,,1,2,,Flemish Brabant,,,1965,Good,4,1,2,,,121m²square meters,26m²square meters,,Installed,8m²square meters,3,,,,,,1,,No,99m²square meters,No,No,1623m²square meters,No,,No,Yes,No,1272 kWh/m²kilowatt hour per square meters,F,20211104-0002488357-RES-1,Not specified,Not specified,Fuel oil,Yes,"€ 375,000375000 €",€ 701701 €,No,Onze-Lieve-Vrouwstraat 129B 3020- Herent,,TK/22056,Flemish Brabant,,11 m,,,,20 mmeters,Connected,1623m²square meters,,No,No,Yes,Possible flood zone,,North East,,,,,,,,,,,,,,,No,,,,,,,,,Yes,No,"Living area (residential, urban or rural)",,Yes,No,139m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
9995685,9995685,house,house,349000,forsale,1731,l,installed,1952,tobedoneup,gas,411,3,225,true,true,131,true,,,,,,Flemish Brabant,After signing the deed,Zellik,1952,To be done up,2,,,Urban,,,35m²square meters,,Installed,8m²square meters,3,7m²square meters,17m²square meters,18m²square meters,,,1,2,,,No,,225m²square meters,Yes,Yes,No,,,411 kWh/m²kilowatt hour per square meters,E,20210608-0002421578-RES-2,15 kg CO₂/m²,Not specified,Gas,Yes,"Make an offer starting from€ 349,000Make an offer starting from349000 €","€ 1,1471147 €",No,Brusselsesteenweg 594 1731- Zellik,http://www.immodavid.be,4812040,Flemish Brabant,,7.19 m,,,Yes,7.19 mmeters,Connected,131m²square meters,,No,,Yes,Non flood zone,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,No,"Living area (residential, urban or rural)",,Yes,Yes,186m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
10073520,10073520,house,house,380000,forsale,1830,l,installed,,asnew,gas,202,3,260,,true,66,true,,,,,,Flemish Brabant,To be defined,,,As new,3,,,"Living area (residential, urban or rural)",,155m²square meters,,Yes,Installed,12m²square meters,3,14m²square meters,10m²square meters,16m²square meters,,,1,2,No,,,No,260m²square meters,Yes,,No,No,No,202 kWh/m²kilowatt hour per square meters,C,20220119-0002529238-RES-1,Not specified,Not specified,Gas,Yes,"€ 380,000380000 €",€ 876876 €,No,,,,Flemish Brabant,,510 m,,,,,Connected,66m²square meters,35m²square meters,No,No,Yes,Non flood zone,,South,,Yes,Yes,Yes,No,Yes,No,No,No,No,South,,No,No,No,No,No,Yes,No,No,No,No,All kind,,No,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9899204,9899204,house,house,385000,forsale,3071,l,installed,,good,gas,623,5,590,true,true,,,,,,,,Flemish Brabant,To be defined,,,Good,,,,,,300m²square meters,,,Installed,,5,,,,,,,,,,No,,590m²square meters,Yes,,,,,623 kWh/m²kilowatt hour per square meters,F,20191018-0002208376-RES-1,Not specified,Not specified,Gas,Yes,"€ 385,000385000 €",,No,Dr. V. Dewalsplein 23 3070- Kortenberg,http://www.aefimmo.be,,Flemish Brabant,,,,,Yes,,Connected,,,,,,Non flood zone,,South West,,,No,,,Yes,,,,,,,,,,,,,No,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10121468,10121468,house,apartmentblock,395000,forsale,1745,l,,1960,asnew,fueloil,140,4,409,true,,,true,,,3,3,,Flemish Brabant,After signing the deed,,1960,As new,2,3,3,Fitted out,,155m²square meters,,,,,4,12m²square meters,11m²square meters,14m²square meters,13m²square meters,,2,2,No,,,No,409m²square meters,Yes,,,,,140 kWh/m²kilowatt hour per square meters,B,20150731-0001781413-1,Not specified,Not specified,Fuel oil,Yes,"€ 395,000395000 €","€ 1,8491849 €",Yes,,,,Flemish Brabant,,11 m,,,,,Connected,,15m²square meters,,,,,,,,,No,Yes,No,,Yes,No,No,Yes,South,,,,,,,,No,No,No,Yes,Apartment building,,,,,,,,80m²square meters,,"Yes, conform",,,,,Yes,,,,,,,,,,,,,,,,,,
10070461,10070461,house,house,395000,forsale,3190,l,hyperequipped,,asnew,gas,123,3,200,true,,,,,,,,,Flemish Brabant,To be defined,,,As new,,,,,,150m²square meters,33m²square meters,,Hyper equipped,12m²square meters,3,18m²square meters,15m²square meters,13m²square meters,,,,,,,No,,200m²square meters,Yes,,,,,123 kWh/m²kilowatt hour per square meters,B,20211025-0002478664-RES-1,Not specified,Not specified,Gas,Yes,"€ 395,000395000 €",,No,Dr. V. Dewalsplein 23 3070- Kortenberg,http://www.aefimmo.be,,Flemish Brabant,,,,,Yes,,Connected,,,,,,Non flood zone,,,,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10043573,10043573,house,house,396000,forsale,1730,l,hyperequipped,1985,good,fueloil,411,3,326,true,true,135,true,,,1,3,,Flemish Brabant,After signing the deed,,1985,Good,3,1,3,Urban,Link to the virtual visit,,20m²square meters,Yes,Hyper equipped,15m²square meters,3,16m²square meters,10m²square meters,10m²square meters,,,1,2,,,No,,326m²square meters,,Yes,,,,411 kWh/m²kilowatt hour per square meters,E,Not specified,Not specified,Not specified,Fuel oil,Yes,"€ 396,000396000 €","€ 1,2961296 €",No,Nieuwstraat 32b1 1730- Asse,http://www.kantoorleemans.be,4851612,Flemish Brabant,,7 m,1,,Yes,7 mmeters,,135m²square meters,,,,,Possible flood zone,,,"Yes, conform",,,,,Yes,,,,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10034327,10034327,house,house,399000,forsale,1840,l,usahyperequipped,1977,good,gas,238,2,425,true,,,true,true,,1,2,,Flemish Brabant,To be defined,,1977,Good,3,1,2,"Living area (residential, urban or rural)",Link to the virtual visit,153m²square meters,24m²square meters,,USA hyper equipped,8m²square meters,2,10m²square meters,13m²square meters,,,,1,2,Yes,,No,,425m²square meters,Yes,Yes,No,,No,238 kWh/m²kilowatt hour per square meters,C,2583371,Not specified,Not specified,Gas,Yes,"€ 399,000399000 €",€ 696696 €,No,Stationstraat 79 1861- Wolvertem,http://www.colorcasa.be,4851692,Flemish Brabant,March 31 2023 - 12:00 AM,10 m,,6m²square meters,,14 mmeters,Connected,,,No,,Yes,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,Yes,,,No,No,Extended residential area,,Yes,No,,33m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,
10022513,10022513,house,house,399000,forsale,1910,l,installed,,good,fueloil,484,2,808,true,true,,,,,1,1,,Flemish Brabant,To be defined,,,Good,,1,1,,,150m²square meters,36m²square meters,,Installed,14m²square meters,2,13m²square meters,17m²square meters,,,,,,,,No,,808m²square meters,Yes,,,,,484 kWh/m²kilowatt hour per square meters,E,20220714-0002640941-RES-1,Not specified,Not specified,Fuel oil,Yes,"€ 399,000399000 €",,No,Dr. V. Dewalsplein 23 3070- Kortenberg,http://www.aefimmo.be,,Flemish Brabant,,,,,Yes,,Connected,,,,,,Non flood zone,,East,,,No,,,Yes,,,,,,,,,,,,,No,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10084649,10084649,house,apartmentblock,420000,forsale,1755,l,installed,1968,good,gas,1,4,464,,true,,,,,1,,,Flemish Brabant,,,1968,Good,3,1,,,,277m²square meters,,Yes,Installed,11m²square meters,4,17m²square meters,16m²square meters,16m²square meters,10m²square meters,,3,3,,,No,,464m²square meters,Yes,,,,,1 kWh/m²kilowatt hour per square meters,A,0000000,Not specified,Not specified,Gas,Yes,"€ 420,000420000 €","€ 1,6751675 €",Yes,Edingsesteenweg 341 1755- Kester,http://www.c21atg.be,3567 - 123654924,Flemish Brabant,,,,,,,,,,,,,Non flood zone,,,No,,,,,Yes,,,,,,,,,,,,,,,,,,No,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10084783,10084783,house,house,420000,forsale,1755,l,installed,1968,good,gas,1,4,464,,true,,,,,1,,,Flemish Brabant,,,1968,Good,3,1,,,,277m²square meters,,Yes,Installed,11m²square meters,4,17m²square meters,16m²square meters,16m²square meters,10m²square meters,,3,3,,,No,,464m²square meters,Yes,,,,,1 kWh/m²kilowatt hour per square meters,A,000000000,Not specified,Not specified,Gas,Yes,"€ 420,000420000 €","€ 1,6751675 €",No,Edingsesteenweg 341 1755- Kester,http://www.c21atg.be,3568 - 123654924,Flemish Brabant,,,,,,,,,,,,,Non flood zone,,,No,,,,,Yes,,,,,,,,,,,,,,,,,,No,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10133606,10133606,house,house,430000,forsale,3440,l,installed,2004,asnew,gas,196,3,800,,,400,true,,,,,,Flemish Brabant,To be defined,,2004,As new,4,,,Fitted out,,,,,Installed,18m²square meters,3,14m²square meters,15m²square meters,12m²square meters,,,1,2,No,,,No,800m²square meters,Yes,,No,Yes,No,196 kWh/m²kilowatt hour per square meters,B,20220916-0002665759-RES-1,Not specified,Not specified,Gas,Yes,"€ 430,000430000 €","€ 1,1061106 €",No,,,,Flemish Brabant,,8 m,,,,,Connected,400m²square meters,27m²square meters,No,No,Yes,Non flood zone,1,,,,No,,No,,No,No,No,No,,,No,No,No,No,No,Yes,No,Yes,No,No,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9974465,9974465,house,townhouse,448000,forsale,1853,l,installed,1953,asnew,gas,268,3,224,true,true,105,true,,,1,2,,Flemish Brabant,After signing the deed,,1953,As new,3,1,2,"Living area (residential, urban or rural)",,154m²square meters,30m²square meters,Yes,Installed,8m²square meters,3,15m²square meters,15m²square meters,6m²square meters,,,1,3,No,35m²square meters,,No,224m²square meters,Yes,,No,No,No,268 kWh/m²kilowatt hour per square meters,C,20220225-0002553456-RES-1,Not specified,Not specified,Gas,Yes,"€ 448,000448000 €","€ 1,2541254 €",No,,,,Flemish Brabant,,6 m,,,,,Connected,105m²square meters,25m²square meters,No,Yes,Yes,Non flood zone,,South West,,,No,Yes,No,,No,No,No,No,South West,,No,No,No,No,No,Yes,No,No,No,No,,,No,"Living area (residential, urban or rural)",,,,,54m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,
10124010,10124010,house,house,449000,forsale,1730,l,hyperequipped,1986,good,electric,487,3,390,true,true,,true,true,,1,2,,Flemish Brabant,To be defined,,1986,Good,3,1,2,Urban,,,32m²square meters,,Hyper equipped,9m²square meters,3,14m²square meters,10m²square meters,11m²square meters,,,1,2,Yes,,No,,390m²square meters,No,Yes,,,,487 kWh/m²kilowatt hour per square meters,E,Not specified,Not specified,Not specified,Electric,Yes,"€ 449,000449000 €","€ 1,0211021 €",No,Nieuwstraat 32b1 1730- Asse,http://www.kantoorleemans.be,4935217,Flemish Brabant,,7 m,1,,Yes,7 mmeters,,,,,,,Possible flood zone,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,No,"Living area (residential, urban or rural)",,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
10086040,10086040,house,house,475000,forsale,3470,l,hyperequipped,2018,asnew,,59,4,391,true,,,true,,,,2,,Flemish Brabant,After signing the deed,Regio Leuven - Tienen,2018,As new,3,,2,Isolated,,177m²square meters,43m²square meters,,Hyper equipped,21m²square meters,4,12m²square meters,13m²square meters,10m²square meters,,,2,2,,,No,,391m²square meters,Yes,Yes,No,,No,59 kWh/m²kilowatt hour per square meters,A,24054-2015/00072/EP02527/A001/D01/SD001,Not specified,Not specified,,Yes,"€ 475,000475000 €",€ 776776 €,No,Dirk Boutslaan 4 3000- Leuven,http://www.immogve.be,4897363,Flemish Brabant,,,2,,Yes,,,,,No,,Yes,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,Yes,,,No,,"Living area (residential, urban or rural)",,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
9951458,9951458,house,villa,525000,forsale,1500,l,installed,1954,justrenovated,fueloil,390,3,935,,true,,true,,,1,4,,Flemish Brabant,After signing the deed,,1954,Just renovated,4,1,4,"Living area (residential, urban or rural)",,165m²square meters,36m²square meters,,Installed,17m²square meters,3,10m²square meters,14m²square meters,20m²square meters,,,1,2,,15m²square meters,,,935m²square meters,Yes,,,,,390 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,Fuel oil,Yes,"€ 525,000525000 €",€ 857857 €,,Winderickxplein 9 1652- Alsemberg,http://www.immoroosens.be,,Flemish Brabant,,,,,,,,,20m²square meters,,,,Possible flood zone,,South,No,,,,,,,,,,South,1,,,,,,,,,,,,No,No,"Living area (residential, urban or rural)",Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
9950865,9950865,house,villa,525000,forsale,1501,l,installed,1954,justrenovated,fueloil,390,3,935,,true,,true,,,1,4,,Flemish Brabant,After signing the deed,,1954,Just renovated,4,1,4,"Living area (residential, urban or rural)",,165m²square meters,36m²square meters,,Installed,17m²square meters,3,10m²square meters,14m²square meters,20m²square meters,,,1,2,,15m²square meters,,,935m²square meters,Yes,,,,,390 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,Fuel oil,Yes,"€ 525,000525000 €",€ 857857 €,,Winderickxplein 9 1652- Alsemberg,http://www.immoroosens.be,,Flemish Brabant,,,,,,,,,20m²square meters,,,Yes,Possible flood zone,,South,No,,,,,,,,Yes,,South,1,,,,,,,,,,,,No,No,"Living area (residential, urban or rural)",Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
9916098,9916098,house,house,495000,forsale,1700,l,hyperequipped,1971,asnew,gas,349,4,252,,,,true,,,2,2,,Flemish Brabant,After signing the deed,,1971,As new,3,2,2,,,204m²square meters,40m²square meters,,Hyper equipped,7m²square meters,4,13m²square meters,13m²square meters,13m²square meters,13m²square meters,,1,2,,,,,252m²square meters,Yes,Yes,,,,349 kWh/m²kilowatt hour per square meters,D,2572503,Not specified,Not specified,Gas,Yes,"€ 495,000495000 €","€ 1,3551355 €",No,Assesteenweg 2281742- Ternat,http://www.immovanmiddelem.be,4764438,Flemish Brabant,,6 m,,,,,Connected,,,,,Yes,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,"Living area (residential, urban or rural)",,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
