,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Available date,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Furnished,Surface of the plot,Connection to sewer network,"Gas, water &amp; electricity",Garden surface,Elevator,Accessible for disabled people,TV cable,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Covered parking spaces,Bedroom 3 surface,Bedroom 4 surface,Basement,Attic,Width of the lot on the street,Terrace surface,Double glazing,Total ground floor buildable,Virtual visit,Bedroom 5 surface,Conformity certification for fuel tanks,Terrace,Neighbourhood or locality,Dining room,Secure access / alarm,Dressing room,Basement surface,Land is facing street,Wooded land,Plot at rear,Flat land,Garden,Garden orientation,Caretaker,Intercom,Visio phone,Type of building,Obligation to build,E-level (overall energy performance),Thermic solar panels,How many fireplaces?,Laundry room,Professional space surface,Professional space,Attic surface,Armored door,Terrace orientation,Number of annexes,Air conditioning,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Common water heater,Living room,Agent's name,Current monthly revenue,Isolated,Venue of the sale,Single session,Terms of visit,Starting price,Property name,Percentage rented,Monthly charges,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Date of the sale
10157751,10157751,house,house,770000,forsale,9700,xl,installed,1962,good,gas,177,4,735,,,,true,true,,1,6,,East Falnders,To be defined,January 16 2023 - 12:00 AM,1962,Good,3,6,Urban,525m²square meters,,Installed,,4,15m²square meters,15m²square meters,2,1,4,35m²square meters,Yes,No,735m²square meters,Connected,Yes,,No,No,Yes,No,177 kWh/m²kilowatt hour per square meters,B,20220906-0002666490,6854 kg CO₂/m²,Not specified,,Gas,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 770,000770000 €",,No,Stationstraat 30 9600- Ronse,,4894847,East Falnders,18 m,1,15m²square meters,15m²square meters,,,23 mmeters,38m²square meters,,375m²square meters,,,,,Vlaamse Ardennen,,,,,,,,,,,,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10166680,10166680,house,house,425000,forsale,9050,xl,semiequipped,1957,tobedoneup,gas,356,3,238,true,true,115,true,,,,1,,East Falnders,After signing the deed,,1957,To be done up,2,1,Urban,137m²square meters,28m²square meters,Semi equipped,13m²square meters,3,14m²square meters,13m²square meters,1,,2,,,No,238m²square meters,Connected,Yes,115m²square meters,No,No,Yes,No,356 kWh/m²kilowatt hour per square meters,D,20210821-0002454324-RES-1,Not specified,Not specified,,Gas,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 425,000425000 €",€ 669669 €,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4967461,East Falnders,6.4 m,,7m²square meters,,Yes,Yes,6.4 mmeters,18m²square meters,,,,,,,Gent en omstreken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165299,10165299,house,house,395000,forsale,9220,xl,hyperequipped,1997,good,gas,145,2,257,,,,true,,,3,,,East Falnders,,,1997,Good,2,,,230m²square meters,,Hyper equipped,,2,,,1,,2,,,No,257m²square meters,,,,,,,,145 kWh/m²kilowatt hour per square meters,B,20221006-0002690801-RES-1,Not specified,Not specified,No,Gas,Yes,,,No,Non flood zone,"Living area (residential, urban or rural)","€ 395,000395000 €",€ 876876 €,No,Zuidlaan 2 9200- Dendermonde,http://www.immotwins.be,15841 - 114121404,East Falnders,,3,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10151862,10151862,housegroup,housegroup,365000-555000,forsale,9040,xl,,,,,,,,,,,,,,,,1,East Falnders,At delivery,February 28 2025 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,,No,No,Non flood zone,,,,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4966777,East Falnders,,,,,,,,,,,,,,,Gent en omstreken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164685,10164685,house,villa,435000,forsale,9500,xl,semiequipped,1979,torenovate,fueloil,592,4,936,,,,,,,1,,,East Falnders,After signing the deed,,1979,To renovate,4,,,350m²square meters,41m²square meters,Semi equipped,17m²square meters,4,37m²square meters,20m²square meters,2,,3,,,No,936m²square meters,,,,,,,,592 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,No,Fuel oil,,,,,Non flood zone,,"€ 435,000435000 €",,No,Grote Markt 35 9600- Ronse,http://www.immobeguin.be/,20807 - VK,East Falnders,,1,17m²square meters,15m²square meters,,,,,,,,,"Yes, conform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10166781,10166781,house,house,145000,forsale,9600,xl,hyperequipped,1900,tobedoneup,gas,579,3,51,true,,,,,,,,,East Falnders,After signing the deed,December 1 2022 - 12:00 AM,1900,To be done up,2,,Urban,110m²square meters,16m²square meters,Hyper equipped,10m²square meters,3,15m²square meters,15m²square meters,1,,2,,,No,51m²square meters,Connected,Yes,,No,No,Yes,No,579 kWh/m²kilowatt hour per square meters,F,RES-1,9999 kg CO₂/m²,Not specified,,Gas,,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 145,000145000 €",€ 327327 €,No,Stationstraat 30 9600- Ronse,,4972706,East Falnders,8 m,,26m²square meters,,,Yes,8 mmeters,,,50m²square meters,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164217,10164217,house,villa,1150000,forsale,9551,xl,hyperequipped,2013,asnew,gas,93,6,1154,true,,700,true,,true,1,6,,East Falnders,After signing the deed,August 1 2022 - 12:00 AM,2013,As new,4,6,Isolated,,45m²square meters,Hyper equipped,39m²square meters,6,25m²square meters,18m²square meters,3,,3,,,No,1154m²square meters,Connected,Yes,700m²square meters,No,No,Yes,Yes,93 kWh/m²kilowatt hour per square meters,A,20220306-0002557739-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","Make an offer starting from€ 1,150,000Make an offer starting from1150000 €","€ 1,1861186 €",No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4971274,East Falnders,18 m,1,17m²square meters,15m²square meters,,Yes,26 mmeters,40m²square meters,Yes,,,14m²square meters,,,Oost-Vlaanderen,,Yes,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10154806,10154806,house,house,245000,forsale,9700,xl,installed,1961,tobedoneup,gas,319,3,176,true,true,40,true,,,,2,,East Falnders,After signing the deed,December 31 2022 - 12:00 AM,1961,To be done up,2,2,"Living area (residential, urban or rural)",137m²square meters,27m²square meters,Installed,,3,13m²square meters,11m²square meters,1,,2,,,No,176m²square meters,Connected,Yes,40m²square meters,No,No,Yes,No,319 kWh/m²kilowatt hour per square meters,D,20221005-0002689861-RES-1,7262 kg CO₂/m²,Not specified,No,Gas,,,No,No,Possible flood zone,"Living area (residential, urban or rural)","€ 245,000245000 €",€ 359359 €,No,Stationstraat 30 9600- Ronse,,4960866,East Falnders,,,8m²square meters,,Yes,Yes,6.8 mmeters,,,88m²square meters,,,,Yes,Vlaamse Ardennen,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10143136,10143136,house,apartmentblock,450000,forsale,9600,xl,installed,1885,good,gas,217,6,460,true,,215,true,,,,,,East Falnders,After signing the deed,December 20 2022 - 12:00 AM,1885,Good,2,,Urban,306m²square meters,,Installed,,6,10m²square meters,11m²square meters,5,,5,,,No,460m²square meters,Connected,Yes,215m²square meters,No,No,Yes,No,217 kWh/m²kilowatt hour per square meters,C,2223752,1632 kg CO₂/m²,Not specified,,Gas,,No,Yes,No,Non flood zone,Residential area with cultural historical aesthetic value,"€ 450,000450000 €","€ 1,6901690 €",Yes,Stationstraat 30 9600- Ronse,,4862197,East Falnders,6.5 m,,8m²square meters,8m²square meters,,Yes,6.5 mmeters,12m²square meters,Yes,195m²square meters,,10m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10140837,10140837,house,house,129000,forsale,9600,xl,notinstalled,1936,torenovate,gas,649,3,610,,,430,,,,,3,,East Falnders,After signing the deed,December 12 2022 - 12:00 AM,1936,To renovate,2,3,Countryside,165m²square meters,22m²square meters,Not installed,25m²square meters,3,14m²square meters,10m²square meters,1,,1,,,No,610m²square meters,Connected,Yes,430m²square meters,No,No,Yes,No,649 kWh/m²kilowatt hour per square meters,F,2550943,627 kg CO₂/m²,Not specified,,Gas,,No,No,No,Non flood zone,Area of landscape interest,"€ 129,000129000 €",€ 349349 €,No,Stationstraat 30 9600- Ronse,,4961494,East Falnders,6 m,,8m²square meters,,,,6 mmeters,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10163512,10163512,house,house,449000,forsale,9170,xl,installed,1996,good,gas,198,3,653,,,,true,,,1,2,,East Falnders,After signing the deed,,1996,Good,4,2,,172m²square meters,45m²square meters,Installed,,3,,,2,,3,,,No,653m²square meters,,Yes,,,,,,198 kWh/m²kilowatt hour per square meters,B,20220529-0002612614-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 449,000449000 €","€ 1,0981098 €",No,Kerkstraat 2 9170- St-Gillis-Waas,http://www.finehomes.be,1189 - 2009,East Falnders,12 m,1,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10084879,10084879,house,house,325000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,3,193,,,37,true,true,,,,1,East Falnders,At delivery,,2021,As new,2,,Urban,144m²square meters,23m²square meters,Hyper equipped,16m²square meters,3,15m²square meters,13m²square meters,2,,2,,Yes,No,193m²square meters,Connected,Yes,37m²square meters,No,,Yes,No,1 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,No,Gas,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 325,000325000 €",€ 11 €,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4897366,East Falnders,,,11m²square meters,,,,,12m²square meters,Yes,,,,,,Gent en omstreken,Yes,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10138446,10138446,housegroup,housegroup,395000-395000,forsale,9230,xl,,,,,,,,,,,,,,,,1,East Falnders,At delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,,No,No,Non flood zone,,,,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4959533,East Falnders,,,,,,,,,,,,,,,Oost-Vlaanderen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10084878,10084878,house,house,325000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,3,195,,,39,true,true,,,,1,East Falnders,At delivery,,2021,As new,2,,Urban,144m²square meters,23m²square meters,Hyper equipped,16m²square meters,3,15m²square meters,13m²square meters,2,,2,,Yes,No,195m²square meters,Connected,Yes,39m²square meters,No,,Yes,No,1 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,No,Gas,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 325,000325000 €",€ 11 €,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4897364,East Falnders,,,11m²square meters,,,,,12m²square meters,Yes,,,,,,Gent en omstreken,Yes,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10084880,10084880,house,house,339000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,3,191,,,35,true,true,,,,1,East Falnders,At delivery,,2021,As new,3,,Urban,144m²square meters,23m²square meters,Hyper equipped,16m²square meters,3,15m²square meters,13m²square meters,2,,2,,Yes,No,191m²square meters,Connected,Yes,35m²square meters,No,,Yes,No,1 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,No,Gas,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 339,000339000 €",€ 11 €,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4897367,East Falnders,,,11m²square meters,,,,,12m²square meters,Yes,,,,,,Gent en omstreken,Yes,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10138497,10138497,house,house,359000,forsale,9600,xl,hyperequipped,1956,asnew,fueloil,178,4,1424,true,true,952,true,,,1,8,,East Falnders,To be defined,May 1 2023 - 12:00 AM,1956,As new,3,8,"Living area (residential, urban or rural)",182m²square meters,26m²square meters,Hyper equipped,13m²square meters,4,14m²square meters,11m²square meters,1,,2,,,No,1424m²square meters,Connected,Yes,952m²square meters,No,No,Yes,No,178 kWh/m²kilowatt hour per square meters,B,2438028,5149 kg CO₂/m²,Not specified,No,Fuel oil,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 359,000359000 €",€ 907907 €,No,Stationstraat 30 9600- Ronse,,4854993,East Falnders,6 m,1,12m²square meters,11m²square meters,Yes,Yes,11 mmeters,25m²square meters,Yes,170m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10084877,10084877,house,house,345000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,3,208,,,44,true,true,,,,1,East Falnders,At delivery,,2021,As new,3,,Urban,152m²square meters,23m²square meters,Hyper equipped,16m²square meters,3,15m²square meters,13m²square meters,2,,2,,Yes,No,208m²square meters,Connected,Yes,44m²square meters,No,,Yes,No,1 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,No,Gas,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 345,000345000 €",€ 11 €,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4897362,East Falnders,,,11m²square meters,,,,,12m²square meters,Yes,,,,,,Gent en omstreken,Yes,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10099203,10099203,house,house,159000,forsale,9600,xl,semiequipped,1930,tobedoneup,gas,346,2,300,,,230,,,,,,,East Falnders,After signing the deed,December 1 2022 - 12:00 AM,1930,To be done up,2,,Isolated,145m²square meters,20m²square meters,Semi equipped,6m²square meters,2,12m²square meters,16m²square meters,2,1,2,,,No,300m²square meters,Connected,Yes,230m²square meters,No,No,Yes,No,346 kWh/m²kilowatt hour per square meters,D,20220627-0002630711-RES-1,8176 kg CO₂/m²,Not specified,,Gas,,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 159,000159000 €",€ 340340 €,No,Stationstraat 30 9600- Ronse,,4904555,East Falnders,5 m,,,,,,5 mmeters,,Yes,15m²square meters,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10008305,10008305,house,house,225000,forsale,9600,xl,installed,1948,asnew,gas,141,4,190,true,,85,true,,,,,,East Falnders,After signing the deed,October 5 2022 - 12:00 AM,1948,As new,2,,"Living area (residential, urban or rural)",169m²square meters,14m²square meters,Installed,12m²square meters,4,14m²square meters,11m²square meters,1,,1,,,No,190m²square meters,Connected,Yes,85m²square meters,No,No,Yes,No,141 kWh/m²kilowatt hour per square meters,B,20221003-0002687645-RES-1,4558 kg CO₂/m²,Not specified,"Yes, conform",Gas,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 225,000225000 €",€ 739739 €,No,Stationstraat 30 9600- Ronse,,4812966,East Falnders,5 m,,11m²square meters,19m²square meters,,Yes,5 mmeters,25m²square meters,Yes,80m²square meters,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10004225,10004225,house,house,185000,forsale,9600,xl,hyperequipped,1900,good,gas,247,2,140,true,,56,true,,,,,,East Falnders,Depending on the tenant,,1900,Good,2,,"Living area (residential, urban or rural)",138m²square meters,,Hyper equipped,,2,19m²square meters,14m²square meters,1,1,2,,,No,140m²square meters,Connected,Yes,56m²square meters,No,No,Yes,No,247 kWh/m²kilowatt hour per square meters,C,0001689137,8569 kg CO₂/m²,Not specified,,Gas,,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 185,000185000 €",€ 262262 €,No,Stationstraat 30 9600- Ronse,,4770748,East Falnders,4.25 m,,,,,Yes,4.16 mmeters,10m²square meters,,80m²square meters,,,,,Vlaamse Ardennen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
