,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province
10152801,10152801,house,house,1350000,forsale,1325,xl,usahyperequipped,2016,justrenovated,fueloil,157,4,10320,true,true,10320,true,true,true,3,5,,Waloon Brabant
9718451,9718451,house,villa,995000,forsale,1420,xl,usahyperequipped,1991,asnew,,184,3,1600,true,true,900,true,true,,2,4,,Waloon Brabant
9866877,9866877,house,house,600000,forsale,1400,xl,hyperequipped,1900,asnew,gas,220,6,490,,true,200,true,true,,,,,Waloon Brabant
9844758,9844758,house,house,699000,forsale,1330,xl,usahyperequipped,2022,,gas,74,6,459,,,,true,true,,1,1,1,Waloon Brabant
10143810,10143810,house,house,425000,forsale,1350,xl,installed,1850,good,gas,226,6,1750,true,true,1600,true,true,,2,6,,Waloon Brabant
10164165,10164165,house,house,975000,forsale,1325,xl,usahyperequipped,1996,asnew,fueloil,199,5,3169,true,true,,true,true,,2,6,,Waloon Brabant
10163287,10163287,house,house,385000,forsale,1435,xl,usasemiequipped,1920,good,gas,319,3,288,,true,,true,,,1,1,,Waloon Brabant
10151016,10151016,house,house,480000,forsale,1310,xl,hyperequipped,2005,asnew,gas,,4,145,,,,true,,,1,1,,Waloon Brabant
10144680,10144680,house,house,549000,forsale,1300,xl,installed,1989,,gas,119,4,330,,true,,true,true,,3,2,,Waloon Brabant
10155860,10155860,house,villa,795000,forsale,1410,xl,usahyperequipped,1997,asnew,fueloil,221,4,1006,,,360,true,true,true,1,4,,Waloon Brabant
10094725,10094725,house,villa,515000,forsale,1400,xl,installed,1999,good,fueloil,198,4,1248,true,,,true,true,,,5,,Waloon Brabant
10094624,10094624,house,villa,1295000,forsale,1440,xl,hyperequipped,1960,good,fueloil,288,6,49814,,true,,true,true,true,3,10,,Waloon Brabant
10134715,10134715,house,countrycottage,875000,forsale,1400,xl,hyperequipped,1999,good,fueloil,173,5,6347,true,true,,true,true,true,2,6,,Waloon Brabant
10150870,10150870,house,house,595000,forsale,1370,xl,installed,2009,good,fueloil,152,5,1241,,true,626,true,true,,2,2,,Waloon Brabant
10094630,10094630,house,villa,1295000,forsale,1480,xl,hyperequipped,1960,good,fueloil,288,6,49814,,,,true,true,true,3,10,,Waloon Brabant
10146648,10146648,house,house,375000,forsale,1390,xl,semiequipped,,tobedoneup,gas,428,5,1004,true,true,,true,true,,,,,Waloon Brabant
10151578,10151578,house,villa,360000,forsale,1360,xl,semiequipped,1920,torenovate,fueloil,551,4,990,true,true,750,true,,,1,4,,Waloon Brabant
10154859,10154859,house,house,385000,forsale,1370,xl,installed,,asnew,,139,2,870,,,,true,,,,,,Waloon Brabant
10166834,10166834,house,exceptionalproperty,1400000,forsale,1380,xl,hyperequipped,1920,asnew,fueloil,205,5,3230,,true,2945,true,true,true,1,15,,Waloon Brabant
10080286,10080286,house,house,250000,forsale,1350,xl,installed,1850,good,fueloil,443,4,275,,,,true,true,,1,,,Waloon Brabant
10160540,10160540,house,house,370000,forsale,1420,xl,notinstalled,1959,torenovate,gas,305,4,233,true,true,60,true,,,1,,,Waloon Brabant
10123590,10123590,house,house,265000,forsale,1350,xl,installed,1957,,fueloil,221,2,663,,true,,true,,,,4,,Waloon Brabant
10016576,10016576,house,house,250000,forsale,1400,xl,installed,1800,torenovate,gas,386,4,196,,,,,,,,,,Waloon Brabant
9769110,9769110,house,house,250000,forsale,1400,xl,semiequipped,1979,torenovate,wood,761,2,986,,,700,true,true,,2,,,Waloon Brabant
10109581,10109581,house,house,305000,forsale,1300,xl,semiequipped,1920,good,gas,212,3,280,,true,280,true,true,,,1,,Waloon Brabant
10113995,10113995,house,house,295000,forsale,1400,xl,,1800,justrenovated,gas,181,3,40,true,true,,true,,,,,,Waloon Brabant
10003165,10003165,house,house,275000,forsale,1350,xl,installed,1950,justrenovated,fueloil,403,3,1729,true,,1653,true,,true,1,2,,Waloon Brabant
9508122,9508122,house,apartmentblock,325000,forsale,1400,xl,semiequipped,1958,good,fueloil,474,3,170,,true,,,,,,,,Waloon Brabant
9779846,9779846,house,house,325000,forsale,1390,xl,installed,,good,fueloil,454,2,770,true,,,true,,,,1,,Waloon Brabant
9958348,9958348,house,house,345000,forsale,1390,xl,installed,,good,fueloil,317,4,388,,true,,true,true,,,,,Waloon Brabant
9976985,9976985,house,house,345000,forsale,1340,xl,,1930,good,gas,294,4,280,true,true,,true,true,,,,,Waloon Brabant
10137905,10137905,house,house,379000,forsale,1450,xl,installed,,good,gas,298,3,1660,,,1100,true,,,1,1,,Waloon Brabant
9794950,9794950,house,house,445000,forsale,1330,xl,usainstalled,1990,tobedoneup,fueloil,296,3,1005,,true,,true,,,2,1,,Waloon Brabant
10133497,10133497,house,house,365000,forsale,1300,xl,usainstalled,,good,gas,336,5,450,true,,,true,true,,1,1,,Waloon Brabant
10019791,10019791,house,house,450000,forsale,1310,xl,semiequipped,,torenovate,gas,232,3,758,,true,618,true,,,1,2,,Waloon Brabant
9919912,9919912,house,house,470000,forsale,1390,xl,installed,,good,fueloil,234,6,980,true,true,,true,,,1,4,,Waloon Brabant
9909908,9909908,house,house,550000,forsale,1300,xl,installed,1969,tobedoneup,fueloil,777,3,2255,,true,2000,true,true,,3,3,,Waloon Brabant
10037626,10037626,house,villa,550000,forsale,1350,xl,usahyperequipped,2020,asnew,gas,110,4,1078,true,,,true,true,,,4,,Waloon Brabant
9590643,9590643,house,house,590000,forsale,1400,xl,hyperequipped,1965,asnew,gas,215,4,726,,,400,true,true,,1,,,Waloon Brabant
10009446,10009446,house,house,599000,forsale,1300,xl,semiequipped,1890,good,fueloil,314,4,620,true,true,620,true,true,true,1,1,,Waloon Brabant
9962405,9962405,house,house,595000,forsale,1435,xl,semiequipped,1929,good,fueloil,289,4,2710,,true,,,,,2,5,,Waloon Brabant
10099001,10099001,house,house,599000,forsale,1301,xl,installed,1988,good,fueloil,264,5,815,true,true,815,true,true,,2,2,,Waloon Brabant
10089668,10089668,house,mansion,690000,forsale,1430,xl,usahyperequipped,1896,,gas,181,5,1111,,true,,true,true,,,,,Waloon Brabant
9891571,9891571,house,villa,875000,forsale,1342,xl,usainstalled,1985,asnew,electric,262,5,4842,,,4600,true,,true,2,4,,Waloon Brabant
10140918,10140918,house,house,115000,forsale,1470,xl,notinstalled,1875,torenovate,,364,2,140,true,true,88,,,,,,,Waloon Brabant
10108159,10108159,house,villa,895000,forsale,1410,xl,notinstalled,,asnew,fueloil,255,4,817,,true,500,true,true,,2,2,,Waloon Brabant
9485493,9485493,house,house,650000,forsale,1470,xl,hyperequipped,1981,asnew,electric,314,4,2470,,,1500,true,true,,,4,,Waloon Brabant
10119978,10119978,house,villa,699000,forsale,1300,xl,usahyperequipped,,good,fueloil,253,5,3215,true,true,3067,true,true,,,6,,Waloon Brabant
10165433,10165433,house,villa,690000,forsale,1400,xl,,1985,asnew,electric,286,4,2667,,true,2667,true,true,,2,5,,Waloon Brabant
10147796,10147796,house,villa,635000,forsale,1410,xl,,1972,torenovate,gas,,4,674,,,,,true,,,,,Waloon Brabant
10157775,10157775,house,villa,570000,forsale,1420,xl,usahyperequipped,1988,good,pellet,276,3,684,true,,500,true,true,,1,3,,Waloon Brabant
10164304,10164304,house,villa,745000,forsale,1410,xl,installed,1975,good,fueloil,257,4,1350,,,1350,true,,,1,,,Waloon Brabant
9733287,9733287,house,mixedusebuilding,900000,forsale,1370,xl,installed,1996,good,fueloil,263,4,2513,,,,true,true,,2,13,,Waloon Brabant
10157504,10157504,house,house,299000,forsale,1370,xl,installed,,good,fueloil,389,4,409,,true,,,true,,,1,,Waloon Brabant
10156750,10156750,house,house,495000,forsale,1450,xl,installed,1930,good,gas,217,4,886,,,,true,true,,1,2,,Waloon Brabant
10159121,10159121,house,house,700000,forsale,1348,xl,hyperequipped,2010,good,gas,116,7,276,,true,128,true,,,1,3,,Waloon Brabant
9318809,9318809,house,house,425000,forsale,1400,xl,hyperequipped,1985,asnew,electric,324,3,735,,true,500,true,,,1,,,Waloon Brabant
10132301,10132301,house,house,335000,forsale,1490,xl,installed,1932,,gas,399,3,370,,true,370,true,true,,3,,,Waloon Brabant
10006216,10006216,house,villa,298000,forsale,1470,xl,semiequipped,1978,tobedoneup,gas,207,3,686,,true,,true,,,1,1,,Waloon Brabant
10101637,10101637,house,apartmentblock,569000,forsale,1300,xl,usahyperequipped,2022,asnew,gas,93,2,0,,true,,true,,,,12,1,Waloon Brabant
10099801,10099801,house,house,650000,forsale,1430,xl,installed,1850,,,466,3,8643,,true,400,true,,,,15,,Waloon Brabant
10126203,10126203,house,house,755000,forsale,1410,xl,usahyperequipped,2022,asnew,,93,4,511,true,,511,true,,,1,1,1,Waloon Brabant
10163152,10163152,house,house,295000,forsale,1350,xl,installed,1969,good,fueloil,587,4,830,true,true,745,true,true,,1,4,,Waloon Brabant
10151902,10151902,house,villa,625000,forsale,1435,xl,installed,2007,good,gas,202,5,1262,,,,true,true,,1,3,,Waloon Brabant
10152411,10152411,house,house,225000,forsale,1495,xl,installed,1996,justrenovated,gas,348,3,230,,,150,true,,,2,,,Waloon Brabant
9972972,9972972,house,house,360000,forsale,1340,xl,usainstalled,2004,good,gas,278,3,166,true,,166,true,true,,1,2,,Waloon Brabant
10143248,10143248,house,exceptionalproperty,695000,forsale,1400,xl,installed,1900,good,gas,235,7,650,true,true,,true,,true,,1,,Waloon Brabant
10091981,10091981,house,house,350000,forsale,1325,xl,usasemiequipped,1968,torenovate,fueloil,717,2,635,,true,560,true,,,1,2,,Waloon Brabant
10162076,10162076,house,house,670000,forsale,1332,xl,installed,1920,good,gas,374,6,940,,true,,,,,1,2,,Waloon Brabant
10124225,10124225,house,house,395000,forsale,1457,xl,notinstalled,1900,good,fueloil,544,4,790,true,true,790,true,,,1,2,,Waloon Brabant
