,Available as of,Neighbourhood or locality,Construction year,Building condition,Number of frontages,Covered parking spaces,Surroundings type,Virtual visit,Living area,Living room surface,Dining room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Basement surface,Attic surface,Furnished,Surface of the plot,Connection to sewer network,"Gas, water &amp; electricity",Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Double glazing,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Outdoor parking spaces,Attic,Width of the lot on the street,Terrace,Total ground floor buildable,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Elevator,Accessible for disabled people,TV cable,Swimming pool,Basement,Garden surface,Terrace surface,Living room,Planning permission obtained,Bedroom 5 surface,As built plan,Available date,Secure access / alarm,Intercom,Professional space,Armored door,Jacuzzi,Sauna,E-level (overall energy performance),Conformity certification for fuel tanks,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Garden,Garden orientation,Dressing room,Laundry room,Land is facing street,Wooded land,Plot at rear,Flat land,Terrace orientation,Extra information,Professional space surface,How many fireplaces?,Obligation to build,Venue of the sale,Single session,Terms of visit,Starting price,Agent's name,Caretaker,Air conditioning,Visio phone,Internet,Type of building,Isolated,Number of annexes,Current monthly revenue,Property name,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Percentage rented,Monthly charges,Architectural style,Construction delay,Energy performance,Is architect included in sale price,Is blower door test included,Kitchen included,Is outskirts arrangements included,Is safety coordinator included in sale price,Is soil investigation included in price,Is stability engineer included
10067663,After signing the deed,,1970,As new,4,2,,Link to the virtual visit,350m²square meters,,Yes,Installed,21m²square meters,9,26m²square meters,18m²square meters,18m²square meters,17m²square meters,,6,6,,,24m²square meters,,No,,,,239 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,,Yes,"€ 650,000650000 €",,No,Route Saint-Gérard 35100- Namur,http://www.goimmobilier.be,7118 - 5646,Belgian Luxembourg,,2,,,,,,,,,,,,,,,,,,,17m²square meters,No,,,,,,,,,,,,,,Yes,North East,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10144727,After signing the deed,,,To renovate,3,,,,100m²square meters,,,,14m²square meters,2,19m²square meters,14m²square meters,,,1,,1,,No,16m²square meters,33m²square meters,No,260m²square meters,,,693 kWh/m²kilowatt hour per square meters,G,20220927011216,Not specified,Not specified,Fuel oil,No,"€ 175,000175000 €",€ 691691 €,No,"En Charotte, 10 6940- Barvaux-sur-Ourthe",http://www.antoineimmo.be/fr/,spir2356,Belgian Luxembourg,,,,,,,,,,Non flood zone,Extended residential area,,,,,,,,Yes,,,,,,,,,,,,No,No,,,,,,No,Yes,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10143919,Depending on the tenant,,,,2,,,,142m²square meters,27m²square meters,,Installed,,3,,,,,1,,2,,,,,No,,,,139 kWh/m²kilowatt hour per square meters,B,20220321002696,26 kg CO₂/m²,26914 kWh/year,Gas,Yes,"€ 239,000239000 €",,No,Rue De Behogne 39 5580- Rochefort,,18746 - 04021/594,Belgian Luxembourg,,1,,,Yes,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9912707,After signing the deed,,1850,Good,3,,,,114m²square meters,27m²square meters,,Not installed,15m²square meters,3,12m²square meters,10m²square meters,15m²square meters,,1,,1,,,,60m²square meters,No,140m²square meters,Connected,No,310 kWh/m²kilowatt hour per square meters,D,20180110016163,Not specified,42660 kWh/year,,Yes,"€ 179,000179000 €",€ 565565 €,No,Rue du Centre 5 5590- Ciney,http://www.bc-immo.be,4757637,Belgian Luxembourg,6.5 m,1,,18 mmeters,,75m²square meters,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,,,,4m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10050043,After signing the deed,,,Good,4,,Isolated,,79m²square meters,34m²square meters,,,11m²square meters,2,6m²square meters,14m²square meters,,,1,1,1,,,,,No,940m²square meters,,No,457 kWh/m²kilowatt hour per square meters,F,20220722011514,Not specified,34954 kWh/year,,Yes,"€ 179,000179000 €",€ 518518 €,No,Borchamps 24 6900- Marche-en-Famenne,http://www.easyhome-immo.be,4847957,Belgian Luxembourg,8 m,2,,15 mmeters,,91m²square meters,Yes,,,,Residential recreation area,,,,,,849m²square meters,40m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9974710,After signing the deed,,,,,1,,,116m²square meters,,,Installed,,2,,,,,1,,1,,No,,,No,105m²square meters,Connected,No,289 kWh/m²kilowatt hour per square meters,D,20160314009377,Not specified,33455 kWh/year,Fuel oil,Yes,"€ 199,000199000 €",€ 322322 €,No,Grand Place 5 6792- Halanzy,http://www.cp-immo.be,7160764,Belgian Luxembourg,,,,,Yes,116m²square meters,No,No,No,,,,,,,,,,Yes,,,No,,,,,No,,,,No,No,No,No,No,,,No,,No,No,No,No,,,,,,,,,,Antoine DONNEAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10011834,After signing the deed,,,,,,,,156m²square meters,,Yes,Installed,,3,,,,,1,,1,,No,,,No,324m²square meters,Connected,No,631 kWh/m²kilowatt hour per square meters,G,20220706008906,Not specified,98247 kWh/year,Wood,Yes,"€ 279,000279000 €",€ 332332 €,No,Grand Place 5 6792- Halanzy,http://www.cp-immo.be,7218844,Belgian Luxembourg,,,Yes,,Yes,156m²square meters,No,No,No,,,,,,,Yes,,,Yes,,,No,,,,,No,,,,No,No,No,No,No,,,No,Yes,No,No,No,No,,,,,,,,,,Antoine DONNEAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10011835,After signing the deed,,,,,,,,145m²square meters,,,Semi equipped,,3,,,,,1,,1,,No,,,No,400m²square meters,Connected,No,425 kWh/m²kilowatt hour per square meters,E,20220520014999,Not specified,61804 kWh/year,Fuel oil,Yes,"€ 289,000289000 €",€ 685685 €,No,Grand Place 5 6792- Halanzy,http://www.cp-immo.be,7220122,Belgian Luxembourg,,,,,Yes,145m²square meters,No,No,No,,,,,,,Yes,,,Yes,,,No,,,,,No,,,,No,No,No,No,No,,,No,,No,No,No,No,,,,,,,,,,Antoine DONNEAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9889347,After signing the deed,,,Good,3,2,Countryside,,450m²square meters,50m²square meters,,Installed,,7,,,,,2,,4,,,,,No,,Connected,No,239 kWh/m²kilowatt hour per square meters,C,20200628011643,59 kg CO₂/m²,42080 kWh/year,,Yes,,"€ 1,0081008 €",No,Rue Dr Hustin 32 6760- Ethe,http://www.homesweetgaume.be,bellevigne,Belgian Luxembourg,20 m,,,,,,,,,,,,,,,Yes,,,,,,,,,,,No,,,42080,,,,,,,,,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10019813,After signing the deed,,,,,3,,,192m²square meters,,,Installed,,3,,,,,1,,2,,No,,,No,664m²square meters,Connected,No,502 kWh/m²kilowatt hour per square meters,F,20220715014168,Not specified,96365 kWh/year,Wood,No,"€ 349,000349000 €","€ 1,1421142 €",No,Grand Place 5 6792- Halanzy,http://www.cp-immo.be,7240191,Belgian Luxembourg,,,Yes,,,192m²square meters,No,No,No,,,,,,,Yes,,,Yes,,,No,,,,,No,,,,No,No,No,No,No,,,No,Yes,No,No,No,No,,,,,,,,,,Antoine DONNEAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9904038,After signing the deed,,,,,2,,,234m²square meters,,,Installed,,3,16m²square meters,13m²square meters,13m²square meters,,,1,1,19m²square meters,Yes,,,No,714m²square meters,Connected,No,339 kWh/m²kilowatt hour per square meters,D,20220510014197,Not specified,79387 kWh/year,Fuel oil,Yes,"€ 399,000399000 €",€ 658658 €,No,Grand Place 5 6792- Halanzy,http://www.cp-immo.be,6948107,Belgian Luxembourg,,,Yes,,,234m²square meters,No,No,No,,,,,,,,,,Yes,,,No,,,,,No,,,,No,Yes,No,No,No,,,No,Yes,No,No,No,No,,,,,,,,,,Antoine DONNEAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9877371,After signing the deed,,,,,1,,,339m²square meters,,Yes,Semi equipped,,9,16m²square meters,15m²square meters,15m²square meters,14m²square meters,1,,1,,No,,,No,875m²square meters,Connected,No,439 kWh/m²kilowatt hour per square meters,F,20220415007325,Not specified,148644 kWh/year,Fuel oil,No,"€ 314,000314000 €","€ 1,1251125 €",No,Grand Place 5 6792- Halanzy,http://www.cp-immo.be,6880119,Belgian Luxembourg,,,,,,339m²square meters,No,No,No,,,,,,,Yes,,,Yes,,12m²square meters,No,,,,,No,,,,No,No,No,No,No,,,No,Yes,No,No,No,No,,,,,,,,,,Antoine DONNEAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10034531,After signing the deed,,,Good,3,,Urban,Link to the virtual visit,450m²square meters,52m²square meters,,Installed,13m²square meters,5,18m²square meters,17m²square meters,11m²square meters,13m²square meters,3,3,3,12m²square meters,Yes,,,No,676m²square meters,Connected,No,334 kWh/m²kilowatt hour per square meters,D,20220726018530,82 kg CO₂/m²,126753 kWh/year,Fuel oil,Yes,"€ 425,000425000 €","€ 1,4941494 €",No,Borchamps 24 6900- Marche-en-Famenne,http://www.easyhome-immo.be,4852222,Belgian Luxembourg,23 m,4,,43 mmeters,,205m²square meters,Yes,No,No,Non flood zone,Residential park,No,No,Yes,Yes,,676m²square meters,40m²square meters,,Yes,24m²square meters,,,,,,,,,,,,,Yes,,,,,,,,,,,,50m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10144773,After signing the deed,,,,,1,,,236m²square meters,,Yes,,,3,21m²square meters,20m²square meters,20m²square meters,,1,,2,,No,,,No,594m²square meters,Connected,No,327 kWh/m²kilowatt hour per square meters,D,20220929010924,Not specified,77299 kWh/year,Fuel oil,Yes,"€ 299,000299000 €",€ 656656 €,No,Grand Place 5 6792- Halanzy,http://www.cp-immo.be,7429015,Belgian Luxembourg,,,Yes,,Yes,236m²square meters,No,No,No,,,,,,,,,,Yes,,,No,,,,,No,,,,No,No,No,No,No,,,No,Yes,No,No,No,No,,,,,,,,,,Antoine DONNEAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10107703,After signing the deed,,,,,2,,,462m²square meters,42m²square meters,,Installed,,7,30m²square meters,20m²square meters,16m²square meters,15m²square meters,1,2,4,,No,,,No,1110m²square meters,Connected,No,170 kWh/m²kilowatt hour per square meters,B,20220327004598,Not specified,78428 kWh/year,Fuel oil,Yes,"€ 749,000749000 €",€ 661661 €,No,Grand Place 5 6792- Halanzy,http://www.cp-immo.be,7372090,Belgian Luxembourg,,4,,,Yes,462m²square meters,No,No,No,,,No,No,No,No,Yes,,,,,13m²square meters,No,,Yes,No,,No,,,,No,No,No,No,No,,,No,Yes,No,No,No,No,,,,,,,,,,Antoine DONNEAUX,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,
9970497,After signing the deed,,,To be done up,3,,,,70m²square meters,,,,,3,,,,,1,,1,,No,,,No,210m²square meters,,,1010 kWh/m²kilowatt hour per square meters,G,20220616027193,Not specified,Not specified,Electric,No,"€ 149,000149000 €",€ 146146 €,No,"En Charotte, 10 6940- Barvaux-sur-Ourthe",http://www.antoineimmo.be/fr/,spir2254,Belgian Luxembourg,,2,,,,,,,,Non flood zone,Extended residential area,,,,,,,,Yes,,,,,,,,,,,,No,No,,,,Yes,South East,No,,,,,,,,,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10027846,After signing the deed,,,,2,,,,164m²square meters,,,,,3,,,,,1,,1,,No,,,No,482m²square meters,Connected,No,348 kWh/m²kilowatt hour per square meters,E,20220720003338,Not specified,57058 kWh/year,Fuel oil,Yes,"€ 169,000169000 €",€ 694694 €,No,Grand Place 5 6792- Halanzy,http://www.cp-immo.be,7266864,Belgian Luxembourg,,,Yes,,,164m²square meters,No,No,No,,,,,,,,,,Yes,,,No,,,,,No,,,,No,No,No,No,No,,,No,Yes,No,No,No,No,,,,,,,,,,Antoine DONNEAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9982717,After signing the deed,,,To renovate,3,1,,,100m²square meters,,Yes,,14m²square meters,2,14m²square meters,11m²square meters,,,1,,1,,No,25m²square meters,50m²square meters,No,438m²square meters,,,506 kWh/m²kilowatt hour per square meters,F,20220628003754,Not specified,Not specified,Fuel oil,Yes,"€ 175,000175000 €",€ 684684 €,No,"En Charotte, 10 6940- Barvaux-sur-Ourthe",http://www.antoineimmo.be/fr/,spir2267,Belgian Luxembourg,,,,,,,,,,Non flood zone,Extended residential area,,,,,,,,Yes,,,,,,,,,,,,No,No,,,,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10126619,After signing the deed,,1957,Good,4,,,Link to the virtual visit,185m²square meters,,,,,6,,,,,1,1,2,,,,,,367m²square meters,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,€ 962962 €,No,"Rue d´Houffalize, 41 6670- GOUVY",http://www.notairestasservincent.be,,Belgian Luxembourg,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link to online sale,No,,"€ 199,000199000 €",Elodie YANSENNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9994653,After signing the deed,,,To restore,3,2,Countryside,,707m²square meters,,Yes,Installed,,5,,,,,,2,3,,Yes,,,,7037m²square meters,Connected,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Electric,Yes,"€ 299,000299000 €",,No,,,,Belgian Luxembourg,23 m,3,Yes,23 mmeters,,,,,,Non flood zone,,No,No,Yes,No,Yes,1m²square meter,,Yes,,,,,No,No,Yes,No,No,No,,"Yes, conform",Yes,Yes,No,No,,,No,Yes,Yes,No,Yes,Yes,,,,,,,,,,,No,No,No,Yes,,,2,,,,,,,,,,,,,,,,,,,,,,
9903692,To be defined,,,As new,2,,,Link to the virtual visit,250m²square meters,18m²square meters,Yes,Installed,17m²square meters,6,17m²square meters,14m²square meters,15m²square meters,11m²square meters,1,1,,,,,,No,340m²square meters,,,164 kWh/m²kilowatt hour per square meters,B,20220507006002,30 kg CO₂/m²,54969 kWh/year,Gas,Yes,"€ 349,000349000 €",€ 823823 €,No,Borchamps 24 6900- Marche-en-Famenne,http://www.easyhome-immo.be,4748451,Belgian Luxembourg,,1,,,,250m²square meters,No,No,,,"Living area (residential, urban or rural)",,,,,,340m²square meters,25m²square meters,,Yes,18m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10098391,After signing the deed,,,As new,4,1,"Living area (residential, urban or rural)",,200m²square meters,,,Hyper equipped,,3,13m²square meters,16m²square meters,11m²square meters,,2,,,,,,,,1600m²square meters,Connected,Yes,188 kWh/m²kilowatt hour per square meters,C,20220904003922,Not specified,Not specified,Fuel oil,Yes,"€ 895,000895000 €",,,Route d'Arlon 51 8410- Steinfort,http://www.fcimmo.lu,,Belgian Luxembourg,,2,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
10107878,After signing the deed,,,Good,3,,,,,,,Installed,,3,,,,,1,,1,,,,,,260m²square meters,,,357 kWh/m²kilowatt hour per square meters,E,20220818018722,Not specified,62805 kWh/year,Fuel oil,Yes,,€ 176176 €,No,Rue Sainte-Marie des Champs 134/1 6637- Fauvillers,,,Belgian Luxembourg,,,Yes,,,,No,,No,,"Living area (residential, urban or rural)",,,Yes,,,,,Yes,,,,,,,,,,,,,No,,,,,,,,,,,,,,,1,,Link to online sale,No,fr :Visites sur rendez-vous et renseignements en l'Etude,"€ 65,00065000 €",Marie VAN WEIJNEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824214,At delivery,Luxembourg,,,,,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,No,Rue Fort d'Andoy 5 5100- Wierde,https://www.thomas-piron.eu/appartements,4712556,Belgian Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10015320,After signing the deed,,,To renovate,,,,,500m²square meters,,,,,,,,,,,,,,,,,No,244m²square meters,Connected,No,755 kWh/m²kilowatt hour per square meters,G,20220424003035,342 kg CO₂/m²,829220 kWh/year,,No,"€ 150,000150000 €","€ 1,4371437 €",Yes,Rue Dr Hustin 32 6760- Ethe,http://www.homesweetgaume.be,spar2,Belgian Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,829220,,,,,,,,,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10091816,After signing the deed,,,,,,,,159m²square meters,,Yes,,,2,17m²square meters,12m²square meters,,,1,,1,,No,,,No,784m²square meters,Connected,No,462 kWh/m²kilowatt hour per square meters,F,20220901010723,Not specified,73485 kWh/year,Fuel oil,No,"€ 159,000159000 €",€ 510510 €,No,Grand Place 5 6792- Halanzy,http://www.cp-immo.be,7338288,Belgian Luxembourg,,,Yes,,Yes,159m²square meters,No,No,No,,,,,,,,,,Yes,,,No,,,,,No,,,,No,No,No,No,No,,,No,,No,No,No,No,,,,,,,,,,Antoine DONNEAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10057942,After signing the deed,,1947,To renovate,4,,Countryside,,,34m²square meters,Yes,Installed,15m²square meters,4,15m²square meters,16m²square meters,16m²square meters,18m²square meters,1,,1,,,30m²square meters,,,2523m²square meters,,,624 kWh/m²kilowatt hour per square meters,G,20220331019611,Not specified,130637 kWh/year,Fuel oil,,,€ 715715 €,No,Avenue de la Toison d'Or 67 6900- Marche-en-Famenne,,,Belgian Luxembourg,,4,Yes,,,,No,No,Yes,,"Living area (residential, urban or rural)",,,Yes,,,2523m²square meters,,,,,,,,,,,,,,,No,,No,,,East,,,,,,Yes,,,,,,Link to online sale,No,,"€ 165,000165000 €",Guillaume DUMOULIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10007835,After signing the deed,,,To renovate,4,1,,,130m²square meters,36m²square meters,Yes,Not installed,12m²square meters,3,17m²square meters,11m²square meters,17m²square meters,,1,1,1,,,,,No,590m²square meters,Connected,,590 kWh/m²kilowatt hour per square meters,G,2022070006813,Not specified,Not specified,,,"€ 260,000260000 €",€ 401401 €,No,Rue de la Forestière 8 6747- Chatillon,http://www.julietimmo.com,4838435,Belgian Luxembourg,,,Yes,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10089065,After signing the deed,,,,,1,,,151m²square meters,,,,,3,14m²square meters,13m²square meters,11m²square meters,,1,,1,,No,,,No,1200m²square meters,Connected,No,516 kWh/m²kilowatt hour per square meters,G,20220817028857,Not specified,78005 kWh/year,Fuel oil,Yes,"€ 239,000239000 €",€ 624624 €,No,Grand Place 5 6792- Halanzy,http://www.cp-immo.be,7337422,Belgian Luxembourg,,,Yes,,Yes,151m²square meters,No,No,No,,,,,,,Yes,,,Yes,,,No,,,,,No,,,,No,No,No,No,No,,,Yes,,No,No,No,No,,,,,,,,,,Antoine DONNEAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9903838,After signing the deed,,,As new,3,2,,Link to the virtual visit,164m²square meters,15m²square meters,Yes,Hyper equipped,14m²square meters,3,15m²square meters,15m²square meters,22m²square meters,,2,2,2,,,,,No,662m²square meters,,,246 kWh/m²kilowatt hour per square meters,C,20210623004229,Not specified,39732 kWh/year,Pellet,Yes,"Make an offer starting from€ 249,000Make an offer starting from249000 €",€ 708708 €,No,Borchamps 24 6900- Marche-en-Famenne,http://www.easyhome-immo.be,4747657,Belgian Luxembourg,,5,,,,,,,,,,,,,,,662m²square meters,60m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9914104,After signing the deed,,1969,Good,4,1,Isolated,,70m²square meters,,,Semi equipped,,2,,,,,1,1,1,,,,,,1796m²square meters,,No,416 kWh/m²kilowatt hour per square meters,E,20220511002069,Not specified,29194 kWh/year,,Yes,"€ 189,000189000 €",,No,Borchamps 24 6900- Marche-en-Famenne,http://www.easyhome-immo.be,4756315,Belgian Luxembourg,,3,,,,,,,,Non flood zone,,,,Yes,,Yes,1796m²square meters,30m²square meters,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9969928,After signing the deed,,1918,,4,2,Countryside,,130m²square meters,,,,,3,,,,,1,,1,,,,,No,,Connected,No,594 kWh/m²kilowatt hour per square meters,G,20220422024046,122 kg CO₂/m²,91761 kWh/year,,Yes,"€ 185,000185000 €",€ 381381 €,No,Rue Dr Hustin 32 6760- Ethe,http://www.homesweetgaume.be,voyette2,Belgian Luxembourg,8 m,3,,,,,No,No,,Non flood zone,"Living area (residential, urban or rural)",,,,,Yes,,,,,,,,,,,No,,,91761,,,,,,,,,,Yes,,No,,,,,,No,,,,,Fanny HOGGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10078619,After signing the deed,,,,,1,,,124m²square meters,,,,,3,14m²square meters,12m²square meters,10m²square meters,,,1,2,,No,,,No,694m²square meters,Connected,No,600 kWh/m²kilowatt hour per square meters,G,20220802012713,Not specified,74366 kWh/year,Fuel oil,No,"€ 279,000279000 €",€ 485485 €,No,Grand Place 5 6792- Halanzy,http://www.cp-immo.be,7329809,Belgian Luxembourg,,,,,,124m²square meters,No,No,No,,,,,,,Yes,,,Yes,,,No,,,,,No,,,,No,No,No,No,No,,,No,,No,No,No,No,,,,,,,,,,Antoine DONNEAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10066050,After signing the deed,,,,,,,,325m²square meters,,,,,6,25m²square meters,16m²square meters,15m²square meters,14m²square meters,,2,2,,No,,,No,320m²square meters,Connected,No,215 kWh/m²kilowatt hour per square meters,C,20170919020505,Not specified,69772 kWh/year,Fuel oil,Yes,"€ 294,000294000 €","€ 1,4051405 €",No,Grand Place 5 6792- Halanzy,http://www.cp-immo.be,7314919,Belgian Luxembourg,,,Yes,,,325m²square meters,No,No,No,,,No,No,No,No,,,,Yes,,14m²square meters,No,,Yes,No,,No,,,,No,Yes,No,No,No,,,No,,No,No,No,No,,,,,,,,,,Antoine DONNEAUX,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,
9903848,After signing the deed,,,As new,4,,,Link to the virtual visit,391m²square meters,25m²square meters,Yes,USA hyper equipped,25m²square meters,5,25m²square meters,17m²square meters,11m²square meters,24m²square meters,1,1,3,,Yes,,,No,1413m²square meters,,,229 kWh/m²kilowatt hour per square meters,C,20220312001588,57 kg CO₂/m²,86954 kWh/year,Fuel oil,,"€ 565,000565000 €","€ 1,5711571 €",No,Borchamps 24 6900- Marche-en-Famenne,http://www.easyhome-immo.be,4746913,Belgian Luxembourg,,,,,,,,,,,,,,,,,1413m²square meters,50m²square meters,,,25m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158977,After signing the deed,,,To be done up,4,1,,Link to the virtual visit,190m²square meters,,Yes,,,3,13m²square meters,11m²square meters,13m²square meters,,,1,2,,,,,,17974m²square meters,,,527 kWh/m²kilowatt hour per square meters,G,20220926010376,Not specified,86075 kWh/year,,,,€ 408408 €,No,"Avenue de la Salm, 27 6690- VIELSALM",http://www.cottin.be,,Belgian Luxembourg,,,Yes,,,,No,,No,,"Living area (residential, urban or rural)",,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link to online sale,No,"fr :Les visites se font sur rendez-vous et sont prévues le jeudi 20 octobre à partir de 14h, le vendredi 28 octobre à partir de 14h et le jeudi 3 novembre à partir de 14h.","€ 235,000235000 €",Lisa FRANSOLET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10126443,After signing the deed,,,,,,,,230m²square meters,,Yes,Installed,,4,30m²square meters,16m²square meters,13m²square meters,10m²square meters,1,1,2,,No,,,No,542m²square meters,Connected,No,285 kWh/m²kilowatt hour per square meters,D,20220812007942,Not specified,65529 kWh/year,Fuel oil,Yes,"€ 449,000449000 €",,No,Grand Place 5 6792- Halanzy,http://www.cp-immo.be,7409444,Belgian Luxembourg,,,Yes,,Yes,230m²square meters,No,No,No,,,,,,,Yes,,,Yes,,,No,,,,,No,,,,No,No,No,No,No,,,Yes,,No,No,No,No,,,,,,,,,,Antoine DONNEAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10024610,To be defined,,2018,As new,4,2,Countryside,,275m²square meters,,,Installed,23m²square meters,4,33m²square meters,19m²square meters,14m²square meters,22m²square meters,2,,2,6m²square meters,Yes,,,No,2950m²square meters,,,37 kWh/m²kilowatt hour per square meters,A+,20220815500167,Not specified,Not specified,,Yes,"€ 950,000950000 €",,No,"En Charotte, 10 6940- Barvaux-sur-Ourthe",http://www.antoineimmo.be/fr/,spir2292,Belgian Luxembourg,,,,,,,,,,Non flood zone,Extended residential area,No,No,No,No,,,,Yes,,,,,Yes,No,,,,,,No,Yes,,,,,,No,Yes,,,,,,,,1,No,,,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,
10041614,After signing the deed,,,,,2,,,305m²square meters,,Yes,,,5,23m²square meters,15m²square meters,14m²square meters,10m²square meters,2,,3,,No,,,No,13947m²square meters,Connected,No,290 kWh/m²kilowatt hour per square meters,D,20220516019847,Not specified,88448 kWh/year,Fuel oil,Yes,"€ 599,000599000 €",€ 873873 €,No,Grand Place 5 6792- Halanzy,http://www.cp-immo.be,7290924,Belgian Luxembourg,,,,,,305m²square meters,No,No,No,,,No,No,No,No,Yes,,,Yes,,9m²square meters,No,,Yes,No,,No,,,,No,No,No,No,No,,,No,,No,No,No,No,,,,,,,,,,Antoine DONNEAUX,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,
10148877,After signing the deed,,1973,To renovate,2,1,,,170m²square meters,,Yes,Installed,,3,16m²square meters,13m²square meters,12m²square meters,,1,2,,,,,,No,911m²square meters,Connected,,353 kWh/m²kilowatt hour per square meters,E,20220907005714,88 kg CO₂/m²,Not specified,Fuel oil,Yes,"€ 165,000165000 €",€ 837837 €,No,Rue de la Forestière 8 6747- Chatillon,http://www.julietimmo.com,4928880,Belgian Luxembourg,,,Yes,,,,,,,,,,,,,,,19m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
