,Available as of,Neighbourhood or locality,Construction year,Building condition,Number of frontages,Covered parking spaces,Surroundings type,Virtual visit,Living area,Living room surface,Dining room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Basement surface,Attic surface,Furnished,Surface of the plot,Connection to sewer network,"Gas, water &amp; electricity",Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Double glazing,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Outdoor parking spaces,Attic,Width of the lot on the street,Terrace,Total ground floor buildable,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Elevator,Accessible for disabled people,TV cable,Swimming pool,Basement,Garden surface,Terrace surface,Living room,Planning permission obtained,Bedroom 5 surface,As built plan,Available date,Secure access / alarm,Intercom,Professional space,Armored door,Jacuzzi,Sauna,E-level (overall energy performance),Conformity certification for fuel tanks,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Garden,Garden orientation,Dressing room,Laundry room,Land is facing street,Wooded land,Plot at rear,Flat land,Terrace orientation,Extra information,Professional space surface,How many fireplaces?,Obligation to build,Venue of the sale,Single session,Terms of visit,Starting price,Agent's name,Caretaker,Air conditioning,Visio phone,Internet,Type of building,Isolated,Number of annexes,Current monthly revenue,Property name,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Percentage rented,Monthly charges,Architectural style,Construction delay,Energy performance,Is architect included in sale price,Is blower door test included,Kitchen included,Is outskirts arrangements included,Is safety coordinator included in sale price,Is soil investigation included in price,Is stability engineer included
10165816,,,1974,,4,,,,74m²square meters,,,,,3,,,,,,1,1,,,,,Yes,,,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,Yes,"€ 80,00080000 €",,No,Rue Lantigné 22 6940- Durbuy,http://www.maisons-chalets-ardennes.be,3477 - 5722175,Belgian Luxembourg,,,,,Yes,,,,,Non flood zone,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9900434,,,1998,To be done up,3,,Fitted out,,156m²square meters,14m²square meters,Yes,Installed,13m²square meters,3,17m²square meters,14m²square meters,10m²square meters,,1,,2,,No,,,No,600m²square meters,Connected,No,296 kWh/m²kilowatt hour per square meters,D,20150217016983,Not specified,Not specified,Fuel oil,Yes,"€ 300,000300000 €",€ 800800 €,No,,,,Belgian Luxembourg,,,,,,,,,,Non flood zone,,No,No,Yes,No,,450m²square meters,20m²square meters,,,,,July 1 2022 - 12:00 AM,No,No,No,No,No,No,,,No,No,No,No,,,No,,Yes,No,No,Yes,,,,,,,,,,,No,No,No,Yes,All kind,,,,,,,,,,,,,,,,,,,,,,,,
10161924,,,2011,Good,4,1,Countryside,Link to the virtual visit,238m²square meters,37m²square meters,,Installed,16m²square meters,5,16m²square meters,11m²square meters,10m²square meters,17m²square meters,2,,3,,,,,No,,Not connected,Yes,253 kWh/m²kilowatt hour per square meters,C,20220614009330,72 kg CO₂/m²,61998 kWh/year,,Yes,"€ 395,000395000 €",,No,Place du marché 10 6980- La Roche-en-Ardenne,http://www.immo-bia.com,8184,Belgian Luxembourg,16 m,2,,,,,No,No,,Non flood zone,,,,,,,2600m²square meters,20m²square meters,,Yes,13m²square meters,,,,,,No,,,61998,,Yes,,,,,,,Yes,Yes,,No,,East,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9337126,,,1983,,4,1,,,,,Yes,,5m²square meters,2,8m²square meters,7m²square meters,,,,1,,,,,,No,843m²square meters,,Yes,366 kWh/m²kilowatt hour per square meters,E,20210511027459,78 kg CO₂/m²,22674 kWh/year,Gas,Yes,,€ 461461 €,No,Rue Lantigné 22 6940- Durbuy,http://www.maisons-chalets-ardennes.be,3068 - 5722202,Belgian Luxembourg,,,,,,,Yes,,,Non flood zone,,,,,,Yes,,,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€ 46,50046500€",€ 880880€,No,No,Yes,2,,,,,,,,,,,,,
10160024,,,1978,To be done up,,1,Countryside,Link to the virtual visit,160m²square meters,,,Installed,12m²square meters,4,15m²square meters,13m²square meters,20m²square meters,16m²square meters,1,,,,No,110m²square meters,,,1284m²square meters,Connected,Yes,436 kWh/m²kilowatt hour per square meters,F,20220918004338,75901 kg CO₂/m²,Not specified,Gas,No,"€ 280,000280000 €",€ 820820 €,No,Route de Marche 87 A 6940- Barvaux-sur-Ourthe,http://www.isimmo.be,33-2022,Belgian Luxembourg,,,,,,,,No,No,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,Yes,South West,No,,No,No,No,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100726,,,2004,,4,,Countryside,,,,,Installed,17m²square meters,3,13m²square meters,9m²square meters,9m²square meters,,2,,2,,,,,No,1368m²square meters,,Yes,167 kWh/m²kilowatt hour per square meters,B,Not specified,Not specified,Not specified,Gas,Yes,"€ 450,000450000 €",€ 572572 €,No,Rue Lantigné 22 6940- Durbuy,http://www.maisons-chalets-ardennes.be,3440 - 5722365,Belgian Luxembourg,,2,,,,,Yes,,,Non flood zone,,,,,,Yes,,68m²square meters,,Yes,,No,February 1 2023 - 12:00 AM,,,,,,,,,,,,,Yes,South East,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10137440,,,2011,,4,1,Countryside,Link to the virtual visit,220m²square meters,17m²square meters,Yes,Installed,18m²square meters,3,12m²square meters,18m²square meters,,,1,,2,,,,,No,1188m²square meters,Not connected,Yes,213 kWh/m²kilowatt hour per square meters,C,20220328018670,61 kg CO₂/m²,47461 kWh/year,Carbon,Yes,"€ 519,000519000 €",€ 856856 €,No,Place du marché 10 6980- La Roche-en-Ardenne,http://www.immo-bia.com,7181,Belgian Luxembourg,12 m,2,,,,,Yes,No,,Non flood zone,,,,,,,800m²square meters,,,Yes,,,,,,,No,,,47461,,Yes,,,,,,,,Yes,,No,,,,,,No,,,,,Céline FRIPPIAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10118939,,,1970,,4,,,,74m²square meters,,,Semi equipped,,3,,,,,1,,,,,,,Yes,,,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,Yes,"€ 92,50092500 €",,No,Rue Lantigné 22 6940- Durbuy,http://www.maisons-chalets-ardennes.be,3453 - 5722144,Belgian Luxembourg,,,,,Yes,,Yes,,,Non flood zone,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10073638,,,1985,Good,4,,,,289m²square meters,,Yes,Installed,13m²square meters,4,,,,,2,,,27m²square meters,Yes,99m²square meters,,No,1421m²square meters,Connected,Yes,337 kWh/m²kilowatt hour per square meters,D,20220610006624,84 kg CO₂/m²,86161 kWh/year,Fuel oil,Yes,"€ 420,000420000 €",€ 904904 €,No,Chaussée de Liège 76 6900- Marche-en-Famenne,,,Belgian Luxembourg,16 m,,,2179 mmeters,,,No,No,No,Non flood zone,Farming area,No,No,Yes,No,,,,,Yes,,,,No,,Yes,No,No,No,337,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10124829,,,1930,To be done up,2,,,,144m²square meters,15m²square meters,Yes,,20m²square meters,4,,,,,1,,,,,18m²square meters,,No,136m²square meters,Not connected,Yes,489 kWh/m²kilowatt hour per square meters,F,20170106001294,122 kg CO₂/m²,83639 kWh/year,Fuel oil,Yes,"€ 185,000185000 €",€ 374374 €,No,Chaussée de Liège 76 6900- Marche-en-Famenne,,2022-08-30,Belgian Luxembourg,7 m,,,,,,No,No,No,,"Living area (residential, urban or rural)",No,No,Yes,No,,,,,,,,,No,,,No,No,No,489,"Yes, conform",No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
