,Building condition,Number of frontages,Covered parking spaces,Living room,Bedrooms,Bathrooms,Basement,Garden surface,Terrace,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Available as of,Available date,Construction year,Street frontage width,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Shower rooms,Toilets,Attic,Furnished,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water &amp; electricity",Terrace surface,Elevator,Accessible for disabled people,Secure access / alarm,TV cable,Swimming pool,Heating type,Double glazing,Flood zone type,Virtual visit,How many fireplaces?,Kitchen surface,Garden,Garden orientation,As built plan,Dining room,Bedroom 4 surface,Latest land use designation,Planning permission obtained,Subdivision permit,Office surface,Office,Intercom,Total ground floor buildable,Possible priority purchase right,Bedroom 5 surface,Dressing room,Laundry room,Professional space,Basement surface,Attic surface,Isolated,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Terrace orientation,Caretaker,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Obligation to build,Neighbourhood or locality,Conformity certification for fuel tanks,Number of annexes,Property name,Professional space surface,Proceedings for breach of planning regulations,Extra information,E-level (overall energy performance),Agent's name,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Type of building,Venue of the sale,Single session,Terms of visit,Starting price,Monthly charges,Age of annuitants,Age of annuitant,Minimum overbid,Price after higher bid,Current monthly revenue,Maximum duration of annuity,Percentage rented,EPC description
10082608,To be done up,4,1,,2,1,Yes,290m²square meters,,805 kWh/m²kilowatt hour per square meters,G,20151113001410,201 kg CO₂/m²,44847 kWh/year,"Make an offer starting from€ 160,000Make an offer starting from160000 €",€ 299299 €,No,Rue des Chartriers 2 7000- Mons,http://www.revimmo.be,4896500,Hainaut,After signing the deed,,,15.87 m,3,Countryside,60m²square meters,21m²square meters,Semi equipped,9m²square meters,8m²square meters,,1,1,Yes,No,673m²square meters,14.44 mmeters,Connected,No,,No,No,,Yes,No,Wood,Yes,Non flood zone,,,,,,,,,"Living area (residential, urban or rural)",,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9902360,As new,3,,,3,1,Yes,150m²square meters,Yes,474 kWh/m²kilowatt hour per square meters,F,20131206002373,116 kg CO₂/m²,78533 kWh/year,"Make an offer starting from€ 215,000Make an offer starting from215000 €",€ 669669 €,No,Rue de la Croix 16 6042- Charleroi,,4756130,Hainaut,After signing the deed,,,6 m,,Urban,130m²square meters,25m²square meters,Hyper equipped,11m²square meters,19m²square meters,19m²square meters,1,1,Yes,No,332m²square meters,9 mmeters,Connected,No,,No,No,,Yes,No,Fuel oil,Yes,Non flood zone,,,17m²square meters,,,,,,,Yes,No,5m²square meters,Yes,,60m²square meters,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
10024681,Good,4,1,Yes,3,1,Yes,1m²square meter,,320 kWh/m²kilowatt hour per square meters,D,20211030006710,Not specified,45404 kWh/year,"€ 280,000280000 €",€ 690690 €,No,,,,Hainaut,After signing the deed,,,16 m,2,"Living area (residential, urban or rural)",142m²square meters,,Installed,,,,,1,Yes,,710m²square meters,,Connected,Yes,1m²square meter,No,No,Yes,Yes,No,Gas,Yes,Non flood zone,,1,,,,,Yes,,,,,,Yes,No,,,,No,,Yes,,,Yes,No,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,
9924649,As new,4,2,,3,2,Yes,760m²square meters,,303 kWh/m²kilowatt hour per square meters,D,20220514002690,46 kg CO₂/m²,48798 kWh/year,"Make an offer starting from€ 320,000Make an offer starting from320000 €","€ 1,1871187 €",No,Rue des Chartriers 2 7000- Mons,http://www.revimmo.be,4758735,Hainaut,After signing the deed,,1974,,4,Urban,160m²square meters,42m²square meters,Installed,12m²square meters,12m²square meters,15m²square meters,1,2,Yes,No,900m²square meters,,Connected,Yes,30m²square meters,No,No,Yes,,,Gas,Yes,Non flood zone,,,16m²square meters,,,,,,"Living area (residential, urban or rural)",,,7m²square meters,Yes,,140m²square meters,No,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10166526,Good,2,,,3,1,Yes,,Yes,437 kWh/m²kilowatt hour per square meters,F,20220506008565,Not specified,53579 kWh/year,"€ 120,000120000 €",€ 431431 €,No,"Avenue du Centenaire, 56 6061- Montignies-sur-Sambre",http://www.immocontact.be,4771448,Hainaut,After signing the deed,,,,,,110m²square meters,,,20m²square meters,16m²square meters,9m²square meters,1,2,Yes,No,90m²square meters,,Connected,No,,No,No,,Yes,No,Fuel oil,Yes,,,,9m²square meters,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10086816,As new,4,1,,3,1,,400m²square meters,,271 kWh/m²kilowatt hour per square meters,D,20220825003687,67 kg CO₂/m²,51709 kWh/year,"Make an offer starting from€ 370,000Make an offer starting from370000 €",€ 929929 €,No,Chaussée d'Asse 19 bus 2 7850- Enghien,,4894548,Hainaut,After signing the deed,,1996,12 m,2,Countryside,180m²square meters,44m²square meters,Installed,20m²square meters,16m²square meters,14m²square meters,1,2,Yes,No,802m²square meters,20 mmeters,Connected,No,35m²square meters,No,Yes,,Yes,No,Fuel oil,,Non flood zone,,,19m²square meters,,,,,,,Yes,Yes,,,,110m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10049941,As new,4,1,,4,2,,1500m²square meters,,255 kWh/m²kilowatt hour per square meters,C,20220730003586,Not specified,70015 kWh/year,"€ 519,000519000 €",,No,,,,Hainaut,To be defined,,1965,1620 m,3,"Living area (residential, urban or rural)",220m²square meters,30m²square meters,USA hyper equipped,20m²square meters,16m²square meters,10m²square meters,,2,,,1500m²square meters,28 mmeters,,Yes,65m²square meters,No,No,No,Yes,No,Fuel oil,Yes,Non flood zone,,1,16m²square meters,,South West,,Yes,9m²square meters,,Yes,Yes,12m²square meters,Yes,Yes,180m²square meters,,,Yes,Yes,Yes,30m²square meters,30m²square meters,Yes,No,Yes,No,Yes,Yes,South West,No,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,No,,,,,,,,,,,All kind,,,,,,,,,,,,,
10008861,As new,4,,Yes,3,1,Yes,,Yes,273 kWh/m²kilowatt hour per square meters,D,20160524033688,Not specified,Not specified,"€ 249,000249000 €",€ 208208 €,,Chaussée de Binche 30 b1 7000- Mons,http://www.time-immo.com,,Hainaut,After signing the deed,,,21 m,2,"Living area (residential, urban or rural)",125m²square meters,,Installed,,,,,1,Yes,No,790m²square meters,38 mmeters,Connected,Yes,,,,,,,,Yes,,,,,Yes,North West,,Yes,,"Living area (residential, urban or rural)",,,,,,,,,Yes,,,,,,,Yes,,,Yes,North West,,Yes,,,,,Yes,,,,,,,,,,,,,Time Immo,,,,,,,,,,,,,,,,,,,,,
10147916,As new,4,,Yes,3,1,Yes,,Yes,273 kWh/m²kilowatt hour per square meters,D,20160524033688,Not specified,Not specified,"€ 249,000249000 €",€ 208208 €,,Chaussée de Binche 30 b1 7000- Mons,http://www.time-immo.com,,Hainaut,After signing the deed,,,21 m,3,"Living area (residential, urban or rural)",125m²square meters,,Installed,,,,,1,Yes,No,790m²square meters,38 mmeters,Connected,Yes,,,,,,,,Yes,,,,,Yes,North West,,Yes,,"Living area (residential, urban or rural)",,,,,,,,,Yes,Yes,,,,,,Yes,,,Yes,North West,,Yes,,,,,Yes,,,,,,,,,,,,,Time Immo,,,,,,,,,,,,,,,,,,,,,
10011568,As new,4,,Yes,3,1,Yes,,Yes,273 kWh/m²kilowatt hour per square meters,D,20160524033688,Not specified,Not specified,"€ 249,000249000 €",€ 208208 €,,Chaussée de Binche 30 b1 7000- Mons,http://www.time-immo.com,,Hainaut,After signing the deed,,,21 m,2,"Living area (residential, urban or rural)",125m²square meters,,Installed,,,,,1,Yes,No,790m²square meters,38 mmeters,Connected,Yes,,,,,,,,Yes,,,,,Yes,North West,,Yes,,"Living area (residential, urban or rural)",,,,,,,,,Yes,,,,,,,Yes,,,Yes,North West,,Yes,,,,,Yes,,,,,,,,,,,,,Time Immo,,,,,,,,,,,,,,,,,,,,,
