,Building condition,Number of frontages,Covered parking spaces,Living room,Bedrooms,Bathrooms,Basement,Garden surface,Terrace,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Available as of,Available date,Construction year,Street frontage width,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Shower rooms,Toilets,Attic,Furnished,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water &amp; electricity",Terrace surface,Elevator,Accessible for disabled people,Secure access / alarm,TV cable,Swimming pool,Heating type,Double glazing,Flood zone type,Virtual visit,How many fireplaces?,Kitchen surface,Garden,Garden orientation,As built plan,Dining room,Bedroom 4 surface,Latest land use designation,Planning permission obtained,Subdivision permit,Office surface,Office,Intercom,Total ground floor buildable,Possible priority purchase right,Bedroom 5 surface,Dressing room,Laundry room,Professional space,Basement surface,Attic surface,Isolated,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Terrace orientation,Caretaker,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Obligation to build,Neighbourhood or locality,Conformity certification for fuel tanks,Number of annexes,Property name,Professional space surface,Proceedings for breach of planning regulations,Extra information,E-level (overall energy performance),Agent's name,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Type of building,Venue of the sale,Single session,Terms of visit,Starting price,Monthly charges,Age of annuitants,Age of annuitant,Minimum overbid,Price after higher bid,Current monthly revenue,Maximum duration of annuity,Percentage rented,EPC description
9990383,To be done up,2,,,2,1,Yes,,,707 kWh/m²kilowatt hour per square meters,G,20220614014165,200 kg CO₂/m²,62527 kWh/year,"€ 89,00089000 €",€ 356356 €,No,"Av. Mascaux, 570 6001- Marcinelle",http://www.immo-futur.be,4793463,Hainaut,Depending on the tenant,,,,,Urban,88m²square meters,13m²square meters,Semi equipped,14m²square meters,14m²square meters,,,1,Yes,No,230m²square meters,3.59 mmeters,Connected,Yes,,No,No,,Yes,,Gas,Yes,Non flood zone,Link to the virtual visit,,10m²square meters,,,,Yes,,"Living area (residential, urban or rural)",,No,,,,88m²square meters,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
10088370,To be done up,3,,,3,,,138m²square meters,Yes,Not specified,Not specified,20220817005526,Not specified,Not specified,"€ 92,00092000 €",,No,Avenue de la Gare 12 6238- Luttre,http://www.jardinsdewallonie.be,,Hainaut,After signing the deed,,1960,6 m,,Urban,73m²square meters,16m²square meters,Not installed,12m²square meters,11m²square meters,8m²square meters,1,2,Yes,No,178m²square meters,6 mmeters,Connected,Yes,,,,,Yes,,,Yes,Non flood zone,,,8m²square meters,,East,,Yes,,,,,,,,,,,,,,20m²square meters,,,,Yes,,,,East,,,,,,,,,,,,,,1,,,,,,LES JARDINS DE WALLONIE SCRL,,,,,,,,,,,,,,,,,,,,,
10123467,To renovate,3,,,2,1,Yes,,Yes,498 kWh/m²kilowatt hour per square meters,F,20220630017916,Not specified,Not specified,"Make an offer starting from€ 95,000Make an offer starting from95000 €",€ 473473 €,No,Av. Baudouin de Constantinople 2 7000- Mons,http://www.allinvest.be,4935857,Hainaut,After signing the deed,,,,1,,150m²square meters,39m²square meters,Installed,16m²square meters,18m²square meters,,,1,Yes,,160m²square meters,,Connected,Yes,,,,,Yes,,Gas,Yes,,,,16m²square meters,,,,,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9889189,To be done up,2,,,2,1,,60m²square meters,,543 kWh/m²kilowatt hour per square meters,G,20150804010462,Not specified,52681 kWh/year,"€ 110,000110000 €",€ 337337 €,No,rue de Valenciennes 42 7380- Quiévrain,,4738124,Hainaut,After signing the deed,,,,,,97m²square meters,24m²square meters,Semi equipped,13m²square meters,13m²square meters,,1,1,Yes,No,150m²square meters,,Connected,Yes,20m²square meters,,,,,,Gas,Yes,Non flood zone,,,6m²square meters,,,,,,,,,9m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUIEVRAIN -HENSIES-DOUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9933353,Good,2,1,,4,1,,,,451 kWh/m²kilowatt hour per square meters,F,20150226003007,85 kg CO₂/m²,72072 kWh/year,"€ 119,000119000 €",€ 430430 €,No,Rue Saint-Achaire 86 7700- Mouscron,http://www.likeimmo.be,4773205,Hainaut,After signing the deed,January 25 2021 - 12:00 AM,1930,,,,119m²square meters,30m²square meters,Installed,12m²square meters,16m²square meters,10m²square meters,1,1,,No,108m²square meters,,,,,,,,,,Gas,Yes,,Link to the virtual visit,,11m²square meters,,,,,9m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9748637,To be done up,2,,,3,,Yes,,,453 kWh/m²kilowatt hour per square meters,F,20220208013212,Not specified,65384 kWh/year,"€ 119,000119000 €",€ 463463 €,No,Avenue de Maire 202 7500- Tournai,http://www.henro-immo.be,3305 - VM011,Hainaut,After signing the deed,,,,,,150m²square meters,,,,,,,1,,No,9m²square meters,,,Yes,15m²square meters,,,,,,Gas,Yes,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10127680,To renovate,4,1,,3,1,,25m²square meters,,646 kWh/m²kilowatt hour per square meters,G,20220913008488,159 kg CO₂/m²,89580 kWh/year,"€ 110,000110000 €",€ 492492 €,No,,,,Hainaut,After signing the deed,,,,1,"Living area (residential, urban or rural)",138m²square meters,20m²square meters,Semi equipped,17m²square meters,15m²square meters,9m²square meters,,1,Yes,,,,,Yes,24m²square meters,No,No,No,Yes,No,Fuel oil,No,,,,7m²square meters,,North West,,Yes,,,,,,No,No,,,,No,Yes,No,26m²square meters,,,No,No,No,No,No,North West,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,
9939529,Good,2,,Yes,3,,Yes,,Yes,336 kWh/m²kilowatt hour per square meters,D,20160518005285,Not specified,43458 kWh/year,"€ 135,000135000 €",€ 369369 €,No,"Rue de Tourcoing, 86 7700- Mouscron",,,Hainaut,After signing the deed,,,,,Urban,,,Installed,,,,1,1,,,140m²square meters,,Connected,,,,,,,,Gas,,,,,,,,,Yes,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,Michaël LOIN,,,,,,,,,,,,,,,,,,,,,
9449725,Good,2,,Yes,2,,Yes,,Yes,202 kWh/m²kilowatt hour per square meters,C,20201118020113,37 kg CO₂/m²,28042 kWh/year,"Make an offer starting from€ 122,500Make an offer starting from122500 €",€ 379379 €,Yes,"Av. Mascaux, 570 6001- Marcinelle",http://www.immo-futur.be,4430931,Hainaut,After signing the deed,,,,,Urban,139m²square meters,,Not installed,,,,,1,Yes,No,65m²square meters,,Connected,Yes,,No,Yes,,Yes,No,Gas,Yes,Non flood zone,,,,,,"Yes, conform",,,"Living area (residential, urban or rural)",Yes,No,,,,139m²square meters,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
9934373,Good,3,,,4,,,160m²square meters,,445 kWh/m²kilowatt hour per square meters,F,20220510011755,109 kg CO₂/m²,55843 kWh/year,"Make an offer starting from€ 129,000Make an offer starting from129000 €",,No,Rue d'Anderlues 46/1 6540- Lobbes,http://www.lametropole.be,4733691,Hainaut,After signing the deed,,,6 m,,Urban,102m²square meters,27m²square meters,,10m²square meters,11m²square meters,10m²square meters,1,2,,,212m²square meters,8.35 mmeters,Connected,No,,,,,Yes,,Fuel oil,,,,,10m²square meters,,,,Yes,9m²square meters,,,,,,,52m²square meters,,,,,,43m²square meters,26m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10090126,Good,2,,,3,1,,100m²square meters,,340 kWh/m²kilowatt hour per square meters,D,20220824000942,62 kg CO₂/m²,48687 kWh/year,"€ 139,000139000 €",€ 312312 €,No,Rue Saint-Achaire 86 7700- Mouscron,http://www.likeimmo.be,4869702,Hainaut,After signing the deed,August 16 2022 - 12:00 AM,1940,,,,143m²square meters,25m²square meters,Semi equipped,18m²square meters,125m²square meters,,1,1,,No,225m²square meters,,,,15m²square meters,,,,,,Gas,,Non flood zone,Link to the virtual visit,,25m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10009885,Just renovated,2,,Yes,3,1,Yes,30m²square meters,,890 kWh/m²kilowatt hour per square meters,G,Not specified,510 kg CO₂/m²,Not specified,"Make an offer starting from€ 147,000Make an offer starting from147000 €",€ 312312 €,No,Rue de la Station 16 6220- Fleurus,http://www.immotrebel.be,4841790,Hainaut,After signing the deed,,,,,,125m²square meters,,Installed,,,,,,Yes,No,125m²square meters,,Connected,Yes,,,,,,,Gas,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9409974,To be done up,2,,,3,1,,,,615 kWh/m²kilowatt hour per square meters,G,20210503016823,Not specified,68561 kWh/year,"Make an offer starting from€ 140,000Make an offer starting from140000 €",€ 500500 €,No,Rue du Virginal 83 7090- Hennuyères,http://www.inmgroup.be,4393348,Hainaut,After signing the deed,,1960,,,,132m²square meters,30m²square meters,Semi equipped,16m²square meters,16m²square meters,14m²square meters,1,1,,No,155m²square meters,,Connected,Yes,10m²square meters,No,No,,Yes,No,Gas,Yes,Non flood zone,,,10m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9811694,Just renovated,2,,Yes,3,,,55m²square meters,,419 kWh/m²kilowatt hour per square meters,E,20220127010029,Not specified,40598 kWh/year,"Make an offer starting from€ 149,000Make an offer starting from149000 €",,No,Rue d'Anderlues 46/1 6540- Lobbes,http://www.lametropole.be,4631960,Hainaut,After signing the deed,,,7 m,,Urban,91m²square meters,,,13m²square meters,11m²square meters,22m²square meters,1,1,,,92m²square meters,8.22 mmeters,Connected,No,,,,,Yes,,Gas,Yes,,Link to the virtual visit,,,,,,,,,,,,,,37m²square meters,,,,,,31m²square meters,11m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9928183,Good,2,,,3,1,Yes,,,221 kWh/m²kilowatt hour per square meters,C,20220519020392,41 kg CO₂/m²,23315 kWh/year,"Make an offer starting from€ 142,500Make an offer starting from142500 €",€ 324324 €,No,"Av. Mascaux, 570 6001- Marcinelle",http://www.immo-futur.be,4755455,Hainaut,To be defined,,,,,Urban,105m²square meters,15m²square meters,Semi equipped,9m²square meters,15m²square meters,,1,1,Yes,No,64m²square meters,3.85 mmeters,Connected,Yes,,No,Yes,,Yes,,Gas,Yes,Non flood zone,Link to the virtual visit,,14m²square meters,,,,Yes,,"Living area (residential, urban or rural)",Yes,Yes,,,,105m²square meters,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
9958368,To renovate,2,,Yes,2,2,Yes,,,347 kWh/m²kilowatt hour per square meters,E,20220605003751,Not specified,42366 kWh/year,"Make an offer starting from€ 149,000Make an offer starting from149000 €",€ 773773 €,Yes,Route d'Ath 480 7050- Jurbise,,4785388,Hainaut,After signing the deed,,,,,Urban,122m²square meters,,Not installed,16m²square meters,12m²square meters,,1,2,,No,,,Connected,Yes,,No,Yes,,Yes,No,Gas,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10025919,Good,2,1,Yes,2,,,,,381 kWh/m²kilowatt hour per square meters,E,20160208017311,Not specified,53391 kWh/year,"Make an offer starting from€ 149,000Make an offer starting from149000 €",€ 996996 €,No,"rue du Gouvernement, 29 7000- MONS",,,Hainaut,To be defined,,1967,,,Urban,,,Installed,,,,1,2,,,58m²square meters,,Connected,,,,,,Yes,,Gas,Yes,,,,,,,,Yes,,,,,,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,No,,No,,,,,,,,,,,Rémi HUBERT,,,,,,,,,,,,,,,,,,,,,
9889007,Good,4,1,,2,1,,,,507 kWh/m²kilowatt hour per square meters,F,20141130015156,Not specified,69415 kWh/year,"Make an offer starting from€ 149,000Make an offer starting from149000 €",€ 384384 €,No,Chée de Nivelles 167 7181- Arquennes (Nivelles),http://www.housy.be,4709692,Hainaut,After signing the deed,,,,,,81m²square meters,22m²square meters,Semi equipped,15m²square meters,18m²square meters,,1,2,,No,240m²square meters,,Connected,Yes,24m²square meters,,No,,Yes,,Gas,,,,,8m²square meters,,,,Yes,,,,,,,,,,,,,,,39m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9698473,Good,2,,,2,1,Yes,,,464 kWh/m²kilowatt hour per square meters,F,20160915012908,Not specified,39546 kWh/year,"Make an offer starting from€ 150,000Make an offer starting from150000 €",€ 250250 €,No,Rue du Virginal 83 7090- Hennuyères,http://www.inmgroup.be,4611974,Hainaut,After signing the deed,,1960,,,,95m²square meters,,Installed,16m²square meters,14m²square meters,,1,1,,No,50m²square meters,,Connected,Yes,,No,No,,Yes,No,Pellet,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9967229,As new,2,,Yes,3,1,Yes,1m²square meter,,460 kWh/m²kilowatt hour per square meters,F,20220323014763,460 kg CO₂/m²,Not specified,"€ 150,000150000 €",€ 404404 €,No,,,,Hainaut,To be defined,,,,,,,,Not installed,,,,,1,Yes,,340m²square meters,,,Yes,1m²square meter,,,,,,Fuel oil,Yes,,,,,,South,,Yes,,,,,,No,,,,,No,,No,,,,No,No,No,Yes,Yes,,,,,,,,No,No,No,No,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,
10134294,To be done up,2,,,5,3,Yes,20m²square meters,Yes,366 kWh/m²kilowatt hour per square meters,E,20211223002887,366 kg CO₂/m²,Not specified,"€ 155,000155000 €",,Yes,Rue longue 686200- Bouffioulx,http://www.immovalle-sanz.be,4957310,Hainaut,After signing the deed,,,,,Isolated,216m²square meters,24m²square meters,Installed,13m²square meters,11m²square meters,11m²square meters,3,3,Yes,,160m²square meters,,Connected,Yes,,No,No,,Yes,No,Gas,Yes,Non flood zone,Link to the virtual visit,,7m²square meters,,,,Yes,13m²square meters,,,,,,,,,16m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10134293,To renovate,2,,,5,3,Yes,20m²square meters,Yes,366 kWh/m²kilowatt hour per square meters,E,20211223002887,366 kg CO₂/m²,Not specified,"€ 155,000155000 €",,No,Rue longue 686200- Bouffioulx,http://www.immovalle-sanz.be,4957024,Hainaut,After signing the deed,,,,,Isolated,216m²square meters,24m²square meters,Installed,13m²square meters,11m²square meters,11m²square meters,3,3,Yes,,160m²square meters,,Connected,Yes,,No,No,,Yes,No,Gas,Yes,Non flood zone,Link to the virtual visit,,7m²square meters,,,,Yes,13m²square meters,,,,,,,,,16m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10058622,To be done up,2,,Yes,4,1,Yes,,,435 kWh/m²kilowatt hour per square meters,F,20140428001912,Not specified,76703 kWh/year,"Make an offer starting from€ 158,000Make an offer starting from158000 €",€ 706706 €,No,"Avenue de la Motte Baraffe, 20 7180- SENEFFE",,,Hainaut,To be defined,,,,1,Urban,177m²square meters,,,,,,,1,Yes,,205m²square meters,,Connected,,,,,,,,Gas,No,,,,,,,,Yes,,"Living area (residential, urban or rural)",,No,,,,,No,,,,,,,,,,,,,,,,,,,,No,,No,,,,,,,,No,,,Vinciane BOUCHEZ,,,,,,,,,,,,,,,,,,,,,
9989087,As new,4,,Yes,3,1,,,Yes,282 kWh/m²kilowatt hour per square meters,D,20130708024392,52 kg CO₂/m²,45042 kWh/year,"Make an offer starting from€ 165,000Make an offer starting from165000 €",€ 446446 €,No,"Av. Mascaux, 570 6001- Marcinelle",http://www.immo-futur.be,4796994,Hainaut,After signing the deed,,,,2,Urban,160m²square meters,,Installed,15m²square meters,15m²square meters,10m²square meters,1,1,Yes,No,211m²square meters,,Connected,Yes,,No,No,,Yes,No,Gas,Yes,Non flood zone,Link to the virtual visit,,18m²square meters,,,,Yes,,"Living area (residential, urban or rural)",,No,,Yes,,160m²square meters,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
10068832,Good,2,1,,4,2,Yes,120m²square meters,Yes,409 kWh/m²kilowatt hour per square meters,E,20220802011322,Not specified,71964 kWh/year,"€ 155,000155000 €",€ 632632 €,No,"Rue du Quesnoy, 36 7500- Tournai",http://www.likeimmo.be,4853991,Hainaut,After signing the deed,August 9 2022 - 12:00 AM,1950,5 m,,,152m²square meters,32m²square meters,Semi equipped,40m²square meters,6m²square meters,15m²square meters,1,1,,,245m²square meters,5 mmeters,Connected,Yes,,No,No,,Yes,No,Gas,,Non flood zone,Link to the virtual visit,,7m²square meters,,,,,24m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10067591,To be done up,2,,,7,1,Yes,,,362 kWh/m²kilowatt hour per square meters,E,20190422006736,Not specified,Not specified,"€ 169,000169000 €",€ 585585 €,No,Avenue de Maire 202 7500- Tournai,http://www.henro-immo.be,3539 - VM048,Hainaut,After signing the deed,,,,,,230m²square meters,30m²square meters,Semi equipped,,,,,3,,No,,,,,15m²square meters,,,,,,Gas,Yes,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9919509,Good,2,,,4,2,,,Yes,194 kWh/m²kilowatt hour per square meters,C,20220518001676,Not specified,31146 kWh/year,"€ 165,000165000 €",,No,Boulevard Delwart 22/B 7500- Tournai,,4743183,Hainaut,Immediately,,1930,,,,160m²square meters,,Installed,,,,,2,,,260m²square meters,,,Yes,,,,,,,Gas,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9988975,Good,2,,,3,1,Yes,125m²square meters,,285 kWh/m²kilowatt hour per square meters,D,20211227014422,Not specified,41792 kWh/year,"Make an offer starting from€ 165,000Make an offer starting from165000 €",€ 225225 €,No,rue de Valenciennes 42 7380- Quiévrain,,4807167,Hainaut,To be defined,,,,,Isolated,147m²square meters,41m²square meters,Installed,10m²square meters,11m²square meters,16m²square meters,1,1,,No,318m²square meters,,Connected,,,,,,,,Fuel oil,Yes,Non flood zone,,,10m²square meters,,,,,,,,,16m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAUTS PAYS - DOUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103806,Good,2,,Yes,2,1,Yes,265m²square meters,,221 kWh/m²kilowatt hour per square meters,C,20211015019801,Not specified,36538 kWh/year,"Make an offer starting from€ 165,000Make an offer starting from165000 €",€ 441441 €,No,rue de Valenciennes 42 7380- Quiévrain,,4902164,Hainaut,After signing the deed,,,,1,,165m²square meters,,Semi equipped,12m²square meters,20m²square meters,,1,1,Yes,No,441m²square meters,,Connected,Yes,12m²square meters,,,,,,Gas,Yes,Non flood zone,,,28m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUIEVRAIN -HENSIES-DOUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9962031,Good,2,,Yes,3,1,Yes,,Yes,295 kWh/m²kilowatt hour per square meters,D,20220603008074,Not specified,47383 kWh/year,"€ 169,000169000 €",€ 483483 €,No,"Rue du Beau Site, 64 7700- Mouscron",,,Hainaut,After signing the deed,,1935,,,Urban,159m²square meters,,,,,,,1,Yes,,235m²square meters,,Connected,,,,,,,,Gas,Yes,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,No,,No,,,,,,,,,,,Sylvie SEYNAEVE,,,,,,,,,,,,,,,,,,,,,
10036763,To be done up,3,1,,3,1,Yes,,,399 kWh/m²kilowatt hour per square meters,E,20220728015459,Not specified,50907 kWh/year,"€ 169,000169000 €",€ 304304 €,No,Avenue de Maire 202 7500- Tournai,http://www.henro-immo.be,3520 - VM043,Hainaut,After signing the deed,,,,1,,110m²square meters,30m²square meters,,,,,,1,,No,155m²square meters,,,,,,,,,,Gas,Yes,,,,,,,No,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10013145,As new,2,,,3,2,Yes,,,162 kWh/m²kilowatt hour per square meters,B,20220129004006,Not specified,22143 kWh/year,"Make an offer starting from€ 170,000Make an offer starting from170000 €",€ 414414 €,No,Chaussée de Mons 5 7534- Barry,,,Hainaut,After signing the deed,,,,,Urban,137m²square meters,,,,,,,2,,,80m²square meters,,Connected,,,,Yes,,,,Gas,Yes,,,,,,,,,,"Living area (residential, urban or rural)",,No,,,Yes,,No,,,,,,,,,,,,,,,,,,,,No,,No,,,,,,,,No,,,Hélène RONLEZ,,,,,,,,,,,,,,,,,,,,,
10120944,As new,3,,,3,1,,,,271 kWh/m²kilowatt hour per square meters,D,2016003014903,Not specified,35740 kWh/year,"€ 174,500174500 €",€ 319319 €,,Avenue Lallemand 7 1050- Bruxelles,,,Hainaut,After signing the deed,,,,,,132m²square meters,18m²square meters,Installed,12m²square meters,11m²square meters,9m²square meters,,1,,,90m²square meters,,Connected,,10m²square meters,,,,Yes,,Gas,Yes,,,,12m²square meters,,,,Yes,,,,,,,,,,,,,,,8m²square meters,,,,,,,South West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10084964,To renovate,2,1,Yes,2,1,,,,565 kWh/m²kilowatt hour per square meters,G,20220718015017,Not specified,65766 kWh/year,"Make an offer starting from€ 175,000Make an offer starting from175000 €",€ 468468 €,No,"Quai Sakharov, 7 7500- Tournai",,,Hainaut,After signing the deed,,,,,,116m²square meters,,Installed,,,,,1,Yes,,170m²square meters,,Connected,,,,,,,,Gas,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,No,,No,,,,,,,,,,,Bettina CIAPPINA,,,,,,,,,,,,,,,,,,,,,
10071901,As new,3,,Yes,3,1,,300m²square meters,,658 kWh/m²kilowatt hour per square meters,G,Not specified,Not specified,93748 kWh/year,"€ 179,000179000 €",€ 329329 €,No,"Rue du Quesnoy, 36 7500- Tournai",http://www.likeimmo.be,4854641,Hainaut,To be defined,,1950,,,,143m²square meters,,Installed,19m²square meters,11m²square meters,12m²square meters,1,1,,No,490m²square meters,,,,25m²square meters,,,,,,Pellet,,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9991740,Good,2,,,3,1,,,Yes,364 kWh/m²kilowatt hour per square meters,E,20220420024345,Not specified,46492 kWh/year,"€ 175,000175000 €",€ 361361 €,,Rue du Pont 31 7890- Ellezelles,http://www.immocasteels.com,,Hainaut,Immediately,,,,,"Living area (residential, urban or rural)",145m²square meters,17m²square meters,Installed,22m²square meters,12m²square meters,10m²square meters,,1,Yes,,320m²square meters,,Connected,Yes,,,,,Yes,,Fuel oil,Yes,,,,11m²square meters,Yes,South West,,Yes,,"Living area (residential, urban or rural)",,,,,,,,,,Yes,,5m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benoit,,,,,,,,,,,,,,,,,,,,,
10026709,To renovate,2,1,,3,1,,500m²square meters,,704 kWh/m²kilowatt hour per square meters,G,20220118012800,Not specified,10468 kWh/year,"€ 180,000180000 €",€ 716716 €,No,rue de Valenciennes 42 7380- Quiévrain,,4849216,Hainaut,After signing the deed,,1933,,3,,165m²square meters,16m²square meters,,10m²square meters,10m²square meters,18m²square meters,1,1,Yes,No,710m²square meters,,Connected,Yes,25m²square meters,,,,,,,Yes,Non flood zone,,,15m²square meters,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BORINAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10005233,To be done up,4,,Yes,3,1,,,,587 kWh/m²kilowatt hour per square meters,G,20210516004436,145 kg CO₂/m²,81371 kWh/year,"€ 180,000180000 €",€ 676676 €,No,"Rue du Quesnoy, 36 7500- Tournai",http://www.likeimmo.be,4758854,Hainaut,After signing the deed,,1950,,1,,139m²square meters,,Installed,135m²square meters,14m²square meters,12m²square meters,1,1,,,1530m²square meters,,,,,,,,,,Fuel oil,,,Link to the virtual visit,,10m²square meters,,,,Yes,,,,,29m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10055834,Good,3,1,,3,1,,,,350 kWh/m²kilowatt hour per square meters,E,20220805012020,87 kg CO₂/m²,41301 kWh/year,"Make an offer starting from€ 185,000Make an offer starting from185000 €",€ 372372 €,No,Boulevard Mairaux 6 7100- La Louvière,http://www.flash-horizon.be,4853507,Hainaut,After signing the deed,,,,2,Isolated,,20m²square meters,USA hyper equipped,13m²square meters,10m²square meters,10m²square meters,1,2,Yes,No,525m²square meters,,Connected,No,90m²square meters,No,No,Yes,Yes,No,Fuel oil,Yes,,,,20m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9990006,Good,2,,,3,1,Yes,,,420 kWh/m²kilowatt hour per square meters,E,20210519004230,86 kg CO₂/m²,67323 kWh/year,"€ 185,000185000 €",€ 470470 €,No,"Av. Mascaux, 570 6001- Marcinelle",http://www.immo-futur.be,4801996,Hainaut,After signing the deed,,,,,Urban,160m²square meters,17m²square meters,Not installed,16m²square meters,13m²square meters,27m²square meters,,1,Yes,No,390m²square meters,,Not connected,Yes,,No,Yes,,Yes,No,Gas,Yes,Non flood zone,Link to the virtual visit,,13m²square meters,,,"Yes, conform",Yes,,"Living area (residential, urban or rural)",,No,,,,160m²square meters,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
10068833,As new,2,,Yes,3,1,,,,331 kWh/m²kilowatt hour per square meters,D,20220312005397,60 kg CO₂/m²,43730 kWh/year,"€ 189,000189000 €",€ 456456 €,No,Rue Saint-Achaire 86 7700- Mouscron,http://www.likeimmo.be,4862393,Hainaut,After signing the deed,August 4 2022 - 12:00 AM,1950,,,,132m²square meters,,Installed,8m²square meters,13m²square meters,14m²square meters,1,1,,No,120m²square meters,,,,25m²square meters,,,,,,Gas,,,Link to the virtual visit,,16m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
