,Available as of,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Basement,Furnished,Surface of the plot,Garden,Garden orientation,Terrace surface,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Neighbourhood or locality,Street frontage width,Width of the lot on the street,"Gas, water &amp; electricity",Conformity certification for fuel tanks,Available date,Obligation to build,Covered parking spaces,Surroundings type,How many fireplaces?,Dressing room,Office,Professional space surface,Professional space,Basement surface,Attic surface,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,Garden surface,Terrace orientation,Caretaker,Elevator,Accessible for disabled people,Intercom,Secure access / alarm,Air conditioning,TV cable,Visio phone,Jacuzzi,Sauna,Swimming pool,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Bedroom 4 surface,Office surface,Dining room,Terrace,Virtual visit,Shower rooms,Total ground floor buildable,Laundry room,Attic,E-level (overall energy performance),Bedroom 5 surface,Living room,Isolated,Monthly charges,Percentage rented,Current monthly revenue,Property name,Number of annexes,Agent's name,EPC description,Extra information,Venue of the sale,Single session,Terms of visit,Starting price,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity,Age of annuitants,Date of the sale,Value of the property,Sea view
10140531,After signing the deed,1966,Good,2,1,168m²square meters,,Semi equipped,8m²square meters,2,20m²square meters,13m²square meters,,,2,,No,226m²square meters,Yes,North,,179 kWh/m²kilowatt hour per square meters,B,20220505-0002592024-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,,,No,Non flood zone,,"€ 325,000325000 €","€ 1,0381038 €",No,Valkebeekstraat 24 1861- Wolvertem,http://www.vmv-vastgoed.be,582 - V22LON/072,Antwerp,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10107021,After signing the deed,1854,Good,,,550m²square meters,,Installed,,5,,,,2,3,Yes,No,2283m²square meters,Yes,East,,541 kWh/m²kilowatt hour per square meters,F,20220127-0002534481-RES-1,Not specified,Not specified,No,Fuel oil,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 975,000975000 €","€ 1,8661866 €",No,Bredabaan 260 2930- Brasschaat,https://www.heylenexclusief.be/,66818 - HER-22-CVH-0,Antwerp,,71 m,47 mmeters,Yes,"Yes, conform",June 1 2022 - 12:00 AM,,6,,1,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9628739,After signing the deed,2000,Good,4,4,400m²square meters,73m²square meters,Hyper equipped,15m²square meters,6,90m²square meters,28m²square meters,23m²square meters,2,4,Yes,Yes,2930m²square meters,Yes,South East,,139 kWh/m²kilowatt hour per square meters,B,UC2022,Not specified,Not specified,No,Gas,Yes,Yes,Yes,,No,Non flood zone,"Living area (residential, urban or rural)","Make an offer starting from€ 849,000Make an offer starting from849000 €","€ 2,1462146 €",No,Steenweg 171 Bis 1745- Opwijk,http://www.immotalenco.com,288 - 1492,Antwerp,,20 m,,,,,,3,,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,23m²square meters,13m²square meters,,Yes,,,,,,,21m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
9628737,After signing the deed,2000,Good,4,4,400m²square meters,73m²square meters,Hyper equipped,15m²square meters,6,90m²square meters,28m²square meters,23m²square meters,2,4,Yes,Yes,2930m²square meters,Yes,South East,,139 kWh/m²kilowatt hour per square meters,B,UC2022,Not specified,Not specified,No,Gas,Yes,Yes,Yes,,No,Non flood zone,"Living area (residential, urban or rural)","Make an offer starting from€ 849,000Make an offer starting from849000 €","€ 2,1462146 €",No,Steenweg 171 Bis 1745- Opwijk,http://www.immotalenco.com,276 - 1492,Antwerp,,20 m,,,,,,3,,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,23m²square meters,13m²square meters,,Yes,,,,,,,21m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
10149710,To be defined,2002,Good,4,,236m²square meters,38m²square meters,Installed,10m²square meters,3,29m²square meters,19m²square meters,14m²square meters,1,2,,No,2115m²square meters,Yes,South East,,202 kWh/m²kilowatt hour per square meters,C,2613176,Not specified,Not specified,No,Gas,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 789,000789000 €","€ 1,5411541 €",No,Bredabaan 260 2930- Brasschaat,https://www.heylenexclusief.be/,68676 - TUR-22-KWO-0,Antwerp,,,,Yes,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9942131,After signing the deed,1850,To be done up,2,,83m²square meters,,Semi equipped,7m²square meters,1,7m²square meters,,,1,1,Yes,No,139m²square meters,,North East,,487 kWh/m²kilowatt hour per square meters,E,Certificaat-20220531-0002613852-RES-1,1000 kg CO₂/m²,Not specified,No,Gas,Yes,,,,,Non flood zone,Residential area with cultural historical aesthetic value,"€ 155,000155000 €",€ 148148 €,No,Barones L. de Borrekenslaan 84 2630- Aartselaar,,16976 - 3279TK R,Antwerp,,,3 mmeters,Yes,,,,,,,,,,,,,,,,,,,90m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10042461,After signing the deed,1899,To renovate,2,,157m²square meters,25m²square meters,Semi equipped,16m²square meters,2,18m²square meters,17m²square meters,,1,2,,No,,,,,510 kWh/m²kilowatt hour per square meters,F,Certificaat-20220802-0002648340-RES-2,1000 kg CO₂/m²,Not specified,No,Gas,Yes,,,,,,,"€ 187,000187000 €",,No,Winkelstraat 23 2890- Sint-Amands,,17002 - 3299TK,Antwerp,,6 m,6 mmeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161758,After signing the deed,,As new,2,,201m²square meters,30m²square meters,Installed,14m²square meters,3,14m²square meters,11m²square meters,10m²square meters,1,2,,No,350m²square meters,,North,10m²square meters,247 kWh/m²kilowatt hour per square meters,C,20220623-0002628817-RES-1,Not specified,Not specified,No,,Yes,,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 325,000325000 €",€ 743743 €,No,Prins Boudewijnlaan 122 2610- Wilrijk,,6033 - TK2206-12,Antwerp,,6 m,6 mmeters,,,,,,,,,,,,,,,,,,,,210m²square meters,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10085720,After signing the deed,1935,To be done up,2,,165m²square meters,,Semi equipped,10m²square meters,3,21m²square meters,15m²square meters,10m²square meters,,2,,No,298m²square meters,Yes,South,,865 kWh/m²kilowatt hour per square meters,F,20220629-0002632143-RES-2,Not specified,Not specified,No,Electric,Yes,,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 225,000225000 €",€ 352352 €,No,Valkebeekstraat 24 1861- Wolvertem,http://www.vmv-vastgoed.be,509 - V22LON/090,Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10039552,After signing the deed,1937,To be done up,2,,,45m²square meters,Semi equipped,10m²square meters,1,25m²square meters,6m²square meters,,1,1,,No,145m²square meters,,,,290 kWh/m²kilowatt hour per square meters,C,Certificaat-20220729-0002647731-RES-1,1000 kg CO₂/m²,Not specified,No,Gas,Yes,,,,No,Non flood zone,,"€ 269,000269000 €",,No,Winkelstraat 23 2890- Sint-Amands,,17010 - 3306TK BDH,Antwerp,,5 m,5 mmeters,Yes,,,,,,,,,,,,,,,,,,,80m²square meters,,,,,,,,,,,,,,,,,,,,,,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
