,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province
10142652,10142652,housegroup,housegroup,381220-465000,forsale,8900,l,,,,,,,,,,,,,,,,1,West Flanders
10153190,10153190,house,house,115000,forsale,8530,l,installed,,torenovate,,611,2,59,,true,,,,,1,,,West Flanders
10143563,10143563,house,apartmentblock,300000,forsale,8750,l,installed,1959,tobedoneup,gas,378,4,463,,,,,,,,,,West Flanders
10144620,10144620,house,house,219000,forsale,8520,l,,1970,good,,347,4,0,,true,,,,,1,,,West Flanders
10159762,10159762,house,house,230000,forsale,8470,l,semiequipped,,justrenovated,gas,273,2,190,,,,true,,,,,,West Flanders
10146634,10146634,house,house,345000,forsale,8560,l,installed,1993,good,,201,3,759,,,,true,,,3,3,,West Flanders
10150469,10150469,house,house,419000,forsale,8450,l,installed,1996,good,,,3,348,,,,,,,1,,,West Flanders
10148580,10148580,house,villa,399000,forsale,8670,l,,1960,,gas,321,3,443,,,,,,,1,,,West Flanders
10155630,10155630,house,house,399000,forsale,8200,l,,1972,good,,205,4,241,,,140,,,,1,1,,West Flanders
10113861,10113861,house,house,255000,forsale,8000,l,installed,,tobedoneup,gas,213,4,50,,,,true,,,,,,West Flanders
9661184,9661184,house,mixedusebuilding,199000,forsale,8972,l,installed,1918,tobedoneup,gas,,3,168,,,,,,,,,,West Flanders
10063832,10063832,house,house,320000,forsale,8670,l,installed,1936,justrenovated,gas,,3,132,,true,,true,true,,,1,,West Flanders
10013785,10013785,house,manorhouse,374500,forsale,8470,l,,,,,868,2,1200,,,,,,,,,,West Flanders
10133892,10133892,house,townhouse,257000,forsale,8750,l,installed,2009,asnew,gas,,2,0,true,,22,true,,,1,,,West Flanders
10127199,10127199,house,house,325000,forsale,8531,l,,1977,,gas,,3,223,true,,118,true,,,,,,West Flanders
9390862,9390862,house,apartmentblock,625000,forsale,8700,l,installed,,good,,,0,1615,,,,,,,,,,West Flanders
9880267,9880267,house,house,529000,forsale,8820,l,installed,,good,gas,360,4,808,,,,,,,,,,West Flanders
10137361,10137361,house,house,475000,forsale,8310,l,,,,gas,227,3,209,true,,,true,true,,,,,West Flanders
9362657,9362657,housegroup,housegroup,249000-249000,forsale,8850,l,,,,,,,,,,,,,,,,1,West Flanders
9645189,9645189,housegroup,housegroup,145000-145000,forsale,8450,l,,,,,,,,,,,,,,,1,1,West Flanders
9154681,9154681,housegroup,housegroup,250000-250000,forsale,8301,l,,,,,,,,,,,,,,,,1,West Flanders
9997271,9997271,housegroup,housegroup,260522-290103,forsale,8760,l,,,,,,,,,,,,,,,,1,West Flanders
