,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province
10106008,10106008,house,house,269000,forsale,5580,xl,installed,,good,fueloil,183,5,243,,,,true,true,,,,,Namur
10118938,10118938,house,house,280000,forsale,5377,xl,,2006,,wood,847,3,1238,,true,,true,,,,,,Namur
9985472,9985472,house,house,350000,forsale,5332,xl,installed,1900,good,fueloil,272,3,1495,true,,1200,true,,,,6,,Namur
10079785,10079785,house,house,475000,forsale,5140,xl,semiequipped,,torenovate,fueloil,671,3,6484,,true,,,,,2,6,,Namur
9859112,9859112,house,apartmentblock,390000,forsale,5030,xl,usainstalled,1937,good,gas,274,4,611,,true,50,,,,2,1,,Namur
10108056,10108056,house,house,385000,forsale,5377,xl,,1998,,wood,440,3,3155,,,,true,,,1,,,Namur
10009403,10009403,house,apartmentblock,800000,forsale,5000,xl,notinstalled,1930,tobedoneup,gas,303,9,170,true,true,,true,,,,,,Namur
9990873,9990873,house,house,649000,forsale,5190,xl,usahyperequipped,1850,asnew,fueloil,206,3,2600,true,true,2000,true,,,2,1,,Namur
10112021,10112021,house,house,530000,forsale,5100,xl,usainstalled,2000,asnew,fueloil,124,5,1147,,true,900,true,,,1,2,,Namur
10068675,10068675,house,house,649000,forsale,5030,xl,usahyperequipped,1850,asnew,fueloil,206,3,2600,true,true,2000,true,,,2,1,,Namur
9953218,9953218,house,apartmentblock,960000,forsale,5060,xl,semiequipped,1950,good,gas,436,17,898,,,,true,,,,,,Namur
10101220,10101220,house,house,820000,forsale,5100,xl,usahyperequipped,1940,asnew,fueloil,390,5,4210,true,true,3900,true,,true,1,1,,Namur
10147430,10147430,house,house,435000,forsale,5150,xl,semiequipped,,good,fueloil,325,3,999,,,,true,,,1,2,,Namur
10106434,10106434,house,house,170000,forsale,5190,xl,semiequipped,,torenovate,fueloil,491,1,230,,true,78,true,,,3,1,,Namur
10082223,10082223,house,house,200000,forsale,5537,xl,semiequipped,1900,torestore,fueloil,635,4,535,,true,535,true,,,4,1,,Namur
10162500,10162500,house,countrycottage,775000,forsale,5020,xl,,,,,170,8,1595,,true,1595,true,true,,5,4,,Namur
10162501,10162501,house,exceptionalproperty,775000,forsale,5020,xl,,,,,170,8,1595,,true,1595,true,true,,5,4,,Namur
10162497,10162497,house,house,775000,forsale,5020,xl,,,,,170,8,1595,,true,1595,true,true,,5,4,,Namur
10162499,10162499,house,apartmentblock,775000,forsale,5020,xl,,,,,170,8,1595,,true,1595,true,true,,5,4,,Namur
9863317,9863317,house,house,215000,forsale,5620,xl,notinstalled,,torenovate,fueloil,342,4,2821,true,true,,,,,1,,,Namur
9509038,9509038,house,house,195000,forsale,5002,xl,semiequipped,,tobedoneup,fueloil,465,3,598,,true,,true,,,1,,,Namur
10118983,10118983,house,house,195000,forsale,5140,xl,semiequipped,,good,fueloil,428,3,2214,,true,,,,,1,,,Namur
10139361,10139361,house,house,175000,forsale,5070,xl,semiequipped,,torenovate,fueloil,557,3,0,,,,true,,,,2,,Namur
9971944,9971944,house,house,195000,forsale,5022,xl,,1961,torenovate,fueloil,675,3,600,,true,,,,,1,2,,Namur
10161996,10161996,housegroup,housegroup,315000-329000,forsale,5004,xl,,,,,,,,,,,,,,,,1,Namur
10112266,10112266,house,house,315000,forsale,5060,xl,usainstalled,2015,asnew,pellet,,3,355,true,,200,true,,,,2,,Namur
9959081,9959081,house,house,370000,forsale,5060,xl,installed,,justrenovated,fueloil,289,4,521,,true,,true,,,,,,Namur
10026568,10026568,house,house,350000,forsale,5140,xl,semiequipped,,good,fueloil,458,2,1600,true,,1450,true,true,,1,4,,Namur
10147728,10147728,house,exceptionalproperty,700000,forsale,5030,xl,installed,,good,fueloil,424,8,5428,true,true,5000,true,,true,2,10,,Namur
10140037,10140037,house,chalet,79900,forsale,5540,xl,installed,,,gas,624,2,214,,,,,,,,1,,Namur
10143813,10143813,house,house,349000,forsale,5360,xl,,1995,tobedoneup,pellet,581,3,0,,true,,,,,2,4,,Namur
10138857,10138857,house,house,219000,forsale,5540,xl,semiequipped,,torenovate,fueloil,107827,6,1417,true,true,1417,true,,,1,,,Namur
10128942,10128942,house,house,80000,forsale,5542,xl,installed,,good,electric,844,1,41,,,,true,,,,,,Namur
10098086,10098086,house,house,130000,forsale,5542,xl,hyperequipped,,asnew,electric,722,3,53,,,,true,,,,,,Namur
10109457,10109457,house,house,325000,forsale,5081,xl,usasemiequipped,1998,tobedoneup,fueloil,216,2,600,,,,true,true,,,,,Namur
10106477,10106477,house,house,275000,forsale,5030,xl,semiequipped,,good,gas,652,2,720,,true,,true,,,2,1,,Namur
10122049,10122049,house,house,395000,forsale,5060,xl,installed,,good,fueloil,403,3,2368,,true,,true,,,4,4,,Namur
10118683,10118683,house,house,245000,forsale,5590,xl,semiequipped,,tobedoneup,fueloil,417,3,589,,,589,true,,,1,1,,Namur
10133673,10133673,house,house,275000,forsale,5590,xl,installed,1972,good,electric,747,3,1454,true,true,1339,true,,,1,3,,Namur
10118551,10118551,house,house,415000,forsale,5336,xl,hyperequipped,,asnew,fueloil,198,5,1285,true,true,1285,true,,,,1,,Namur
10121407,10121407,house,house,415000,forsale,5580,xl,usainstalled,,good,fueloil,273,4,1504,true,,,true,,,2,2,,Namur
9631210,9631210,house,otherproperty,495000,forsale,5370,xl,,1899,good,fueloil,297,4,1520,,,,,true,,,,,Namur
9811687,9811687,house,house,420000,forsale,5300,xl,notinstalled,1903,torenovate,fueloil,508,7,960,true,true,600,true,true,,1,3,,Namur
10031752,10031752,house,house,520000,forsale,5630,xl,hyperequipped,2010,,gas,129,3,1091,,,,true,,true,3,4,,Namur
10094395,10094395,house,mixedusebuilding,495000,forsale,5002,xl,semiequipped,1900,good,gas,202,6,606,,true,86,true,true,,,,,Namur
10154000,10154000,house,apartmentblock,900000,forsale,5000,xl,installed,,,gas,139,7,195,,true,,true,,,,,,Namur
10088381,10088381,house,villa,219000,forsale,5600,xl,installed,,tobedoneup,fueloil,544,3,1013,true,,1013,,,,1,,,Namur
10088319,10088319,house,house,135000,forsale,5550,xl,semiequipped,,tobedoneup,electric,495,4,190,true,true,135,true,,,,,,Namur
10113074,10113074,house,house,230000,forsale,5500,xl,hyperequipped,,asnew,gas,291,3,70,,true,,true,,,,,,Namur
10094374,10094374,house,villa,45000,forsale,5640,xl,installed,,good,fueloil,200,2,567,true,,250,true,,,1,1,,Namur
10134448,10134448,house,house,230000,forsale,5580,xl,installed,,good,pellet,541,4,276,,true,276,,,,4,,,Namur
10107749,10107749,house,house,240000,forsale,5590,xl,installed,,good,gas,337,3,147,true,true,147,,,,,,,Namur
10124079,10124079,house,house,249000,forsale,5310,xl,installed,,good,fueloil,288,3,176,,,176,true,,,,,,Namur
10112682,10112682,house,villa,265000,forsale,5580,xl,installed,,good,fueloil,401,2,884,,true,884,true,,,1,,,Namur
10124219,10124219,house,house,300000,forsale,5030,xl,installed,,good,fueloil,505,3,646,true,true,,true,,,1,,,Namur
10104749,10104749,house,villa,339000,forsale,5500,xl,installed,,asnew,gas,163,4,1362,true,,1362,true,,,1,1,,Namur
10102036,10102036,house,house,357000,forsale,5500,xl,installed,,good,gas,341,7,148,,true,148,true,,,1,,,Namur
10136443,10136443,house,villa,395000,forsale,5030,xl,installed,,good,gas,316,5,614,,true,614,true,,,1,,,Namur
10088248,10088248,house,house,375000,forsale,5575,xl,installed,,good,fueloil,321,2,1895,,true,1800,true,,,,1,,Namur
10088147,10088147,house,house,395000,forsale,5575,xl,installed,,good,fueloil,327,7,944,true,true,875,true,,,1,1,,Namur
10091494,10091494,house,villa,555000,forsale,5004,xl,installed,,good,gas,384,5,1000,true,true,800,true,,,1,1,,Namur
10115728,10115728,house,house,100000,forsale,5350,xl,semiequipped,,torenovate,wood,630,2,359,,true,4,,,,,1,,Namur
10095604,10095604,house,house,150000,forsale,5031,xl,semiequipped,1979,justrenovated,gas,242,4,1108,,,,,true,,,,,Namur
9630156,9630156,house,house,230000,forsale,5031,xl,semiequipped,,good,electric,528,2,820,true,,,true,,,1,3,,Namur
10019977,10019977,house,house,160000,forsale,5540,xl,semiequipped,,torenovate,fueloil,307,4,897,,true,897,true,,,1,1,,Namur
9650603,9650603,house,house,229000,forsale,5100,xl,notinstalled,1920,torenovate,gas,250,3,413,,true,,,,,,,,Namur
10011946,10011946,house,apartmentblock,240000,forsale,5370,xl,semiequipped,1900,,fueloil,302,5,386,,,386,true,,,,,,Namur
10064263,10064263,house,house,199000,forsale,5002,xl,semiequipped,1957,torenovate,fueloil,407,4,494,,true,,true,,,,,,Namur
9993216,9993216,house,house,285000,forsale,5300,xl,installed,2001,tobedoneup,pellet,262,4,344,,,250,true,,true,,,,Namur
10092088,10092088,house,house,295000,forsale,5000,xl,installed,1930,,fueloil,487,4,1321,,true,,,,,1,1,,Namur
10092494,10092494,house,house,290000,forsale,5001,xl,installed,1958,good,gas,370,3,315,,true,220,true,,,1,,,Namur
9947250,9947250,house,house,295000,forsale,5530,xl,installed,1930,,fueloil,487,4,1321,,true,,,,,1,1,,Namur
9950314,9950314,house,house,295000,forsale,5580,xl,installed,,justrenovated,gas,127,3,0,,,,true,,,1,,,Namur
9958440,9958440,house,villa,299999,forsale,5060,xl,installed,2018,good,pellet,420,2,700,,true,,true,true,true,,8,,Namur
9933814,9933814,house,house,299999,forsale,5060,xl,installed,2018,good,pellet,420,2,700,,true,,true,true,true,,8,,Namur
9862291,9862291,house,house,298000,forsale,5000,xl,semiequipped,,torenovate,gas,444,5,133,,true,,,,,,,,Namur
10128057,10128057,house,house,310000,forsale,5100,xl,semiequipped,1961,tobedoneup,fueloil,385,4,255,,true,130,true,,,1,1,,Namur
10132288,10132288,house,house,325000,forsale,5300,xl,usainstalled,2016,asnew,gas,129,3,161,,,35,true,,,,1,,Namur
9596876,9596876,house,villa,329000,forsale,5100,xl,installed,1964,torenovate,fueloil,501,4,1872,,true,,,,,1,2,,Namur
9596875,9596875,house,house,329000,forsale,5100,xl,installed,1964,torenovate,fueloil,501,4,1872,,true,,,,,1,2,,Namur
10067631,10067631,house,house,350000,forsale,5140,xl,hyperequipped,1950,tobedoneup,,202,6,3,,,,,,,,,,Namur
10082061,10082061,house,house,390000,forsale,5081,xl,semiequipped,,good,fueloil,417,3,1367,,true,,,,,1,,,Namur
10124570,10124570,house,house,460000,forsale,5360,xl,semiequipped,2007,,fueloil,126,6,1199,,true,,true,,,1,5,,Namur
10000099,10000099,house,countrycottage,495000,forsale,5190,xl,usainstalled,1850,justrenovated,fueloil,409,4,795,,true,,,,,,2,,Namur
9705743,9705743,house,mixedusebuilding,518000,forsale,5060,xl,semiequipped,1900,good,gas,408,5,176,true,true,,,true,,,,,Namur
10082063,10082063,house,house,550000,forsale,5081,xl,semiequipped,,good,fueloil,417,3,3269,,true,,,,,1,,,Namur
10073832,10073832,house,exceptionalproperty,700000,forsale,5032,xl,installed,,good,fueloil,424,8,5428,true,true,5000,true,,true,2,10,,Namur
9889818,9889818,house,villa,519000,forsale,5020,xl,installed,2002,asnew,gas,278,3,1164,,true,,true,,,1,2,,Namur
9901083,9901083,house,house,790000,forsale,5574,xl,installed,1965,good,fueloil,284,4,22374,,true,,,true,,3,10,,Namur
10141554,10141554,house,house,195000,forsale,5560,xl,installed,,good,fueloil,444,3,530,true,true,,true,,,1,1,,Namur
10051996,10051996,house,mixedusebuilding,845000,forsale,5100,xl,usainstalled,1975,good,gas,193,6,133,,true,,,,,,,,Namur
10147372,10147372,house,house,300000,forsale,5377,xl,,1912,good,fueloil,252,4,694,true,true,1051,true,,,,2,,Namur
10131238,10131238,house,house,69900,forsale,5680,xl,notinstalled,1850,torestore,,675,3,327,true,true,150,true,,,1,1,,Namur
10088250,10088250,house,house,600000,forsale,5574,xl,hyperequipped,,good,fueloil,298,13,2170,true,,,true,,,1,1,,Namur
10104145,10104145,house,house,200000,forsale,5376,xl,semiequipped,,torenovate,,413,3,4301,true,true,4301,,,,1,,,Namur
10088073,10088073,house,mixedusebuilding,269000,forsale,5170,xl,notinstalled,1958,torenovate,,549,3,2356,true,true,2206,,true,,1,10,,Namur
10123595,10123595,house,house,145000,forsale,5002,xl,,,torenovate,gas,,3,1298,,,1000,true,true,,2,1,,Namur
10088034,10088034,house,house,350000,forsale,5550,xl,hyperequipped,,asnew,fueloil,68415,3,519,true,,485,true,,,,1,,Namur
10024660,10024660,house,exceptionalproperty,350000,forsale,5370,xl,installed,1937,tobedoneup,fueloil,515,4,1206,true,true,1000,true,,,,6,,Namur
10154260,10154260,house,house,180000,forsale,5190,xl,usainstalled,,good,fueloil,433,3,149,,,,true,,,,,,Namur
10136472,10136472,house,villa,665000,forsale,5003,xl,installed,,good,fueloil,219,5,1415,,true,,true,,true,1,1,,Namur
10153339,10153339,house,villa,270000,forsale,5660,xl,installed,1993,,electric,283,3,567,,,170,true,,,1,2,,Namur
10140033,10140033,house,otherproperty,36000,forsale,5540,xl,installed,2005,,gas,,2,245,,,218,,,,,,,Namur
10165853,10165853,house,house,775000,forsale,5020,xl,usahyperequipped,,,gas,223,4,12748,,,4000,true,true,,3,,,Namur
