,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province
10060856,10060856,house,house,375000,forsale,1601,l,installed,1950,good,gas,373,3,110,,true,,true,,,,,,Flemish Brabant
10046082,10046082,house,house,399000,forsale,1930,l,installed,1958,good,gas,259,4,239,,true,80,true,,,19,1,,Flemish Brabant
10136411,10136411,house,house,449000,forsale,1730,l,installed,2001,good,gas,174,3,1457,true,,,true,true,,,4,,Flemish Brabant
10135471,10135471,house,house,549000,forsale,3090,l,semiequipped,1972,good,gas,250,4,788,,,600,true,true,,1,3,,Flemish Brabant
10112448,10112448,house,house,580000,forsale,3140,l,installed,1978,good,gas,168,4,857,,true,690,true,,,1,2,,Flemish Brabant
10042842,10042842,house,villa,495000,forsale,3090,l,hyperequipped,1970,good,gas,477,4,774,true,true,,true,true,,2,2,,Flemish Brabant
10134596,10134596,house,villa,595000,forsale,1933,l,,1960,,gas,568,5,720,,true,196,true,,,1,1,,Flemish Brabant
10118084,10118084,house,house,680000,forsale,1780,l,,1966,,gas,461,5,269,true,,30,true,,,,2,,Flemish Brabant
9907760,9907760,house,villa,1250000,forsale,1650,l,usahyperequipped,1995,asnew,,169,4,1850,true,true,1665,true,true,true,2,5,,Flemish Brabant
9990388,9990388,house,villa,998000,forsale,1933,l,installed,,good,fueloil,175,7,930,,,200,true,,,8,2,,Flemish Brabant
10146165,10146165,house,countrycottage,220000,forsale,3270,l,semiequipped,1925,,fueloil,960,4,2400,,,,,,,,,,Flemish Brabant
10153761,10153761,house,house,980000,forsale,1750,l,hyperequipped,1800,justrenovated,fueloil,297,4,3300,,,,,,,,4,,Flemish Brabant
10153762,10153762,house,house,980000,forsale,1700,l,hyperequipped,1800,justrenovated,fueloil,297,4,3300,,,,,,,,4,,Flemish Brabant
10145690,10145690,house,house,325000,forsale,3440,l,semiequipped,1974,,fueloil,410,4,1141,,,,,,,2,,,Flemish Brabant
10051282,10051282,house,house,325000,forsale,3001,l,installed,1956,torenovate,electric,690,4,240,true,true,62,true,,,,1,,Flemish Brabant
10138505,10138505,house,villa,585000,forsale,1850,l,,1978,torenovate,gas,399,3,820,true,,,true,,,1,1,,Flemish Brabant
9827948,9827948,house,house,295000,forsale,1800,l,,1918,tobedoneup,gas,196,3,0,,true,,,,,,,,Flemish Brabant
10092197,10092197,house,house,295000,forsale,3071,l,,1974,tobedoneup,gas,322,4,157,,,,,,,1,,,Flemish Brabant
9837419,9837419,house,house,314000,forsale,3128,l,semiequipped,1972,tobedoneup,fueloil,689,3,1230,,,,,,,2,,,Flemish Brabant
10141905,10141905,house,house,680000,forsale,1702,l,hyperequipped,1976,tobedoneup,gas,294,4,1700,true,true,1500,true,true,,1,3,,Flemish Brabant
10140124,10140124,house,countrycottage,330000,forsale,3290,l,semiequipped,1960,torenovate,gas,644,3,6397,,true,,,,,1,,,Flemish Brabant
9871447,9871447,house,house,495000,forsale,3070,l,usahyperequipped,2023,,gas,20,4,435,,,170,true,,,,1,1,Flemish Brabant
10153400,10153400,house,villa,1295000,forsale,3090,l,installed,1990,good,gas,187,4,7588,,,,true,true,true,2,2,,Flemish Brabant
10160216,10160216,house,villa,945000,forsale,3140,l,hyperequipped,2004,asnew,gas,149,3,3271,,,,true,,,,5,,Flemish Brabant
10163215,10163215,house,house,395000,forsale,3070,l,semiequipped,,good,fueloil,445,3,325,true,true,,true,,,,,,Flemish Brabant
10056527,10056527,house,house,195000,forsale,3201,l,semiequipped,1962,tobedoneup,fueloil,495,2,230,,true,,,,,,1,,Flemish Brabant
9976110,9976110,house,house,239000,forsale,3270,l,semiequipped,1966,tobedoneup,gas,321,4,215,,,,true,,,1,1,,Flemish Brabant
9976113,9976113,house,house,227000,forsale,3270,l,semiequipped,1930,good,fueloil,340,2,53,,true,,,,,,,,Flemish Brabant
10107062,10107062,house,house,249000,forsale,3270,l,semiequipped,1940,good,gas,359,3,75,,true,,true,,,,,,Flemish Brabant
10120537,10120537,house,house,255000,forsale,3270,l,hyperequipped,1930,justrenovated,gas,635,3,89,,,,,,,,,,Flemish Brabant
9852990,9852990,house,house,260000,forsale,3200,l,semiequipped,1975,good,fueloil,748,2,0,,,,true,,,,,,Flemish Brabant
10133278,10133278,house,house,265000,forsale,3130,l,,1920,torenovate,fueloil,793,4,530,,,,,,,1,,,Flemish Brabant
10056528,10056528,house,house,273000,forsale,3272,l,semiequipped,1967,good,gas,591,3,606,,true,,true,,,1,,,Flemish Brabant
10095094,10095094,house,house,265000,forsale,3272,l,semiequipped,1899,torenovate,gas,577,2,1870,,true,,,,,1,,,Flemish Brabant
10108110,10108110,house,house,275000,forsale,1654,l,semiequipped,,torenovate,gas,601,3,240,,true,,,,,,,,Flemish Brabant
10121089,10121089,house,house,295000,forsale,3272,l,semiequipped,1967,good,fueloil,627,3,602,,true,,true,,,1,2,,Flemish Brabant
10137353,10137353,house,house,375000,forsale,1800,l,notinstalled,,good,gas,490,4,375,,true,278,true,true,,,2,,Flemish Brabant
10088805,10088805,house,house,315000,forsale,3300,l,installed,,good,gas,194,4,400,,true,,true,,,,,,Flemish Brabant
10103115,10103115,house,house,465000,forsale,3221,l,semiequipped,1968,good,fueloil,544,4,5750,,true,,true,,,1,,,Flemish Brabant
10107063,10107063,house,house,588000,forsale,3272,l,installed,1970,good,fueloil,314,6,4351,,true,,,,,2,5,,Flemish Brabant
10126170,10126170,house,mixedusebuilding,649000,forsale,1730,l,hyperequipped,,asnew,gas,,4,490,true,true,139,true,true,,1,,,Flemish Brabant
10073398,10073398,house,exceptionalproperty,699000,forsale,1740,l,usahyperequipped,1940,justrenovated,gas,328,9,1323,,true,,true,,,,10,,Flemish Brabant
9989560,9989560,house,villa,655000,forsale,3140,l,installed,,justrenovated,solar,131,3,1116,,true,700,true,,true,1,4,,Flemish Brabant
10020484,10020484,house,exceptionalproperty,1090000,forsale,3440,l,installed,,good,gas,82,8,4022,,,,true,,,2,6,,Flemish Brabant
