,Available as of,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Living area,How many fireplaces?,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Basement surface,Furnished,Surface of the plot,Garden,Garden orientation,Secure access / alarm,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Covered parking spaces,Surroundings type,Living room,Dressing room,Office,Width of the lot on the street,Garden surface,Caretaker,Elevator,Accessible for disabled people,Intercom,TV cable,Visio phone,Conformity certification for fuel tanks,Heat pump,Planning permission obtained,Obligation to build,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Dining room,Basement,Terrace,Subdivision permit,Shower rooms,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,"Gas, water &amp; electricity",Laundry room,Total ground floor buildable,Agent's name,Available date,Bedroom 4 surface,Bedroom 5 surface,Neighbourhood or locality,Living room surface,Terrace surface,Professional space,Armored door,Air conditioning,Jacuzzi,Sauna,Internet,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Attic,Virtual visit,E-level (overall energy performance),Property name,Office surface,Professional space surface,Terrace orientation,Attic surface,Number of annexes,Isolated,Extra information,Monthly charges,Percentage rented,Venue of the sale,Single session,Terms of visit,Starting price,Current monthly revenue,EPC description,Sea view,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity
10111343,After signing the deed,1951,To renovate,2,,129m²square meters,,,,2,,,,1,1,,,154m²square meters,,South,,,931 kWh/m²kilowatt hour per square meters,F,20220902-0002667061-RES-1,Not specified,Not specified,,Gas,Yes,"€ 165,000165000 €",,No,,,,West Flanders,,,,Yes,No,No,,90m²square meters,,,,,,,,No,Yes,,No,No,Non flood zone,,Yes,Yes,,Yes,,Yes,No,No,Yes,Connected,Yes,,,,,,,,,,No,No,,,,,No,No,No,All kind,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131881,Immediately,1937,,2,,167m²square meters,,Not installed,,3,,,,1,,,No,360m²square meters,,South West,,,Not specified,Not specified,20220920-0002679007-RES-1,Not specified,Not specified,No,Gas,Yes,"€ 229,000229000 €",€ 339339 €,No,Stationsplein 5 9880- Aalter,http://www.heritagevastgoed.be,752 - 1616,West Flanders,,,,,,,,300m²square meters,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,,,,
10135046,After signing the deed,1963,To renovate,,1,,,Installed,10m²square meters,3,16m²square meters,14m²square meters,14m²square meters,1,1,20m²square meters,Yes,1654m²square meters,,North,,,383 kWh/m²kilowatt hour per square meters,D,20221007-0002692033-RES-1,Not specified,Not specified,,Gas,No,"€ 450,000450000 €",€ 768768 €,No,"Moerkerkse Steenweg, 410 8310- Brugge",,,West Flanders,27 m,1,Countryside,,,Yes,,1400m²square meters,,,,,Yes,,,No,Yes,,No,,Non flood zone,,Yes,,,No,,,,,Yes,,,Yes,,Elise SIMAEY,,,,,40m²square meters,40m²square meters,,,,,,,,No,,,Yes,,,,14m²square meters,,,,,Yes,,,,,,,,,,,,,,,,,,,
10151382,After signing the deed,1960,To renovate,3,1,170m²square meters,,Semi equipped,,4,,,,1,2,,No,439m²square meters,Yes,South,,,895 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,No,,Yes,"€ 220,000220000 €",€ 411411 €,No,Nieuwpoortlaan 29 8660- De Panne,http://www.boetenvastgoed.be,Fort 13,West Flanders,,1,,,No,No,,,,,,,,,No,No,,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10081463,To be defined,1870,Just renovated,2,,350m²square meters,,Installed,,3,,,,1,4,,,110m²square meters,,,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Electric,Yes,"€ 645,000645000 €",,Yes,,,,West Flanders,21 m,,Fitted out,Yes,No,Yes,,,No,No,No,Yes,Yes,Yes,,No,Yes,,,No,Non flood zone,,Yes,Yes,,,,Yes,No,No,No,Connected,Yes,,,,,,,,,15m²square meters,Yes,No,No,No,No,Yes,No,No,No,,,,,,100m²square meters,,East,,,,,,,,,,,,,,,,,,,,,,
9989266,To be defined,2022,As new,3,1,227m²square meters,,USA installed,14m²square meters,3,999999999m²square meters,,,1,2,,,212m²square meters,,South West,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,"Yes, conform",Gas,Yes,"€ 445,000445000 €",,No,,,,West Flanders,12 m,1,Landscape,,Yes,No,11 mmeters,100m²square meters,No,No,No,Yes,Yes,No,,No,Yes,,,No,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,1,Yes,No,No,Yes,Connected,Yes,,212m²square meters,,,,,,42m²square meters,,No,No,No,No,No,Yes,No,No,No,,,,27,,,,,50m²square meters,1,Yes,,,,,,,,,,,,,,,,,,,
10146520,After signing the deed,,Just renovated,4,,245m²square meters,1,Installed,,3,,,,1,2,,,512m²square meters,,,No,No,261 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,,Gas,Yes,"€ 475,000475000 €",,No,,,,West Flanders,,,,Yes,Yes,Yes,,1m²square meter,No,No,No,No,Yes,Yes,"Yes, conform",No,,,,No,Non flood zone,,,,,,,Yes,No,No,No,Connected,Yes,Yes,,,,,,,,1m²square meter,Yes,No,No,No,No,Yes,No,No,No,All kind,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10163261,Immediately,2005,As new,2,1,82m²square meters,,Hyper equipped,6m²square meters,2,13m²square meters,12m²square meters,,1,2,,,,,,No,No,Not specified,Not specified,20221010-0002693944-RES-1,3338 kg CO₂/m²,Not specified,No,Electric,Yes,"€ 265,000265000 €",,No,,,,West Flanders,,,Fitted out,,No,No,,,No,No,No,No,Yes,No,,No,Yes,No,No,No,Non flood zone,Leisure area,,,,Yes,,No,No,No,No,Connected,Yes,Yes,,,,,,,,12m²square meters,No,No,No,No,No,Yes,No,No,No,,,,338,,,,South West,,,,,,,,,,,,,,,,,,,,,,
10112683,After signing the deed,,Good,3,,134m²square meters,,Installed,,3,,,,1,1,,Yes,178m²square meters,,South,,,278 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,,Pellet,Yes,"€ 235,000235000 €",,No,,,,West Flanders,8 m,1,"Living area (residential, urban or rural)",Yes,No,No,,70m²square meters,,,,,,,,No,Yes,,,,Non flood zone,,,,,,,Yes,No,No,No,Connected,Yes,Yes,,,,,,,,1m²square meter,No,No,,,,,No,No,No,All kind,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,
10103773,After signing the deed,2005,As new,3,1,74m²square meters,,Hyper equipped,,3,,,,1,2,,Yes,,,,,,518 kWh/m²kilowatt hour per square meters,F,20220913-0002670892-RES-1,Not specified,Not specified,,Electric,Yes,"€ 245,000245000 €",€ 609609 €,No,Distellaan 27/002 8434- Westende,,4905725,West Flanders,,,,,,,,,,,,,,,,,Yes,,No,No,Non flood zone,Residential recreation area,,,Yes,Yes,,,,,,,No,,,,,,,Middelkerke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10028149,After signing the deed,,Just renovated,3,1,,,Hyper equipped,,3,,,,1,2,,No,,Yes,South West,No,No,239 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,No,Gas,Yes,"€ 349,000349000 €",,No,Zeedijk 158 8400- Oostende,http://www.jolieinvest.be,Moere PW 158 PI,West Flanders,,,,,No,No,,,No,No,No,No,Yes,Yes,No,No,,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,1,,,,,,,,620m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100206,To be defined,1967,Good,4,,169m²square meters,,Installed,9m²square meters,3,14m²square meters,11m²square meters,11m²square meters,1,1,4m²square meters,,835m²square meters,,South,No,No,549 kWh/m²kilowatt hour per square meters,F,20220831-0002665146-RES-1,Not specified,Not specified,,Fuel oil,Yes,"€ 342,000342000 €",,No,,,,West Flanders,14 m,,Landscape,,No,No,,450m²square meters,No,No,No,No,Yes,No,"Yes, conform",No,,,,,Non flood zone,,,,,,,No,No,No,No,Connected,No,Yes,,,,,,,35m²square meters,,No,No,No,No,No,No,No,No,No,All kind,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10098781,Immediately,1910,Just renovated,4,,175m²square meters,,Installed,20m²square meters,4,12m²square meters,11m²square meters,11m²square meters,1,2,,Yes,113m²square meters,,,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Electric,Yes,"€ 299,000299000 €",€ 480480 €,No,,,,West Flanders,6 m,,,,No,No,,,No,No,No,No,Yes,No,,Yes,,,,,,,Yes,,,,,No,No,No,No,Connected,No,,,,,10m²square meters,,,24m²square meters,10m²square meters,No,No,No,No,No,Yes,No,No,No,All kind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10133388,After signing the deed,1996,Good,4,,180m²square meters,,Installed,13m²square meters,2,14m²square meters,12m²square meters,,1,2,,,546m²square meters,,South,,,227 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,,Gas,Yes,"€ 440,000440000 €",€ 845845 €,No,,,,West Flanders,,,,,No,No,,366m²square meters,,,,,,,,No,,,,,,,,,,,,Yes,No,Yes,Yes,Connected,Yes,Yes,,,,,,,33m²square meters,15m²square meters,No,No,,,,,No,No,No,All kind,,,,,,,South,70m²square meters,,Yes,,,,,,,,,,,,,,,,,,,
10117575,After signing the deed,,Good,4,2,156m²square meters,,Installed,12m²square meters,3,12m²square meters,12m²square meters,9m²square meters,1,2,,No,931m²square meters,,South,,,640 kWh/m²kilowatt hour per square meters,F,20220915-0002675437-RES-1,Not specified,Not specified,No,Electric,Yes,"€ 530,000530000 €",,,Tategemstraat 30 8790- Waregem,,,West Flanders,10 m,1,"Living area (residential, urban or rural)",,,Yes,20 mmeters,600m²square meters,,,,,Yes,,No,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",Yes,,,Yes,,Yes,,,Yes,Connected,Yes,Yes,,P. Steenkiste,,,,,38m²square meters,20m²square meters,,,,,,,,,,,,,,,5m²square meters,,South,10m²square meters,1,,,,,,,,,,,,,,,,,,,,
10117962,After signing the deed,2000,As new,4,2,,1,Hyper equipped,,3,,,,2,3,,Yes,1189m²square meters,,South,Yes,No,170 kWh/m²kilowatt hour per square meters,B,20220831-0002665000-RES-1,10298 kg CO₂/m²,Not specified,"Yes, conform",Gas,Yes,"€ 685,000685000 €",€ 694694 €,No,,,,West Flanders,,2,Countryside,Yes,Yes,Yes,,400m²square meters,No,No,Yes,Yes,Yes,Yes,"Yes, conform",No,Yes,,No,No,Non flood zone,,Yes,,,,2,Yes,No,No,No,Connected,Yes,Yes,,,,,,,,80m²square meters,Yes,No,No,No,No,Yes,No,Yes,No,Villa,,,,,,,South,,1,,,,,,,,,,,,,,,,,,,,
10105375,To be defined,1981,Good,4,,522m²square meters,,Installed,,6,11m²square meters,16m²square meters,14m²square meters,1,6,,No,4118m²square meters,,,No,No,183 kWh/m²kilowatt hour per square meters,B,0001341814,Not specified,Not specified,No,Gas,Yes,"€ 689,000689000 €",,No,Elisabethlaan 21/23 8820- Torhout,http://www.immogryson.be/,spir4225,West Flanders,,2,Countryside,,No,No,,,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Non flood zone,Reserved area,,,,No,,,,,,,,,,,,11m²square meters,9m²square meters,,48m²square meters,,,,,,,,,,,,,Link to the virtual visit,,,,66m²square meters,,55m²square meters,,,,,,,,,,,,,,,,,,,,,
10161398,Immediately,1976,To be done up,3,1,,,USA installed,13m²square meters,2,14m²square meters,15m²square meters,,1,2,,,368m²square meters,,,No,No,407 kWh/m²kilowatt hour per square meters,E,20221004-0002688755-RES-1,Not specified,Not specified,,Fuel oil,Yes,"€ 319,000319000 €",€ 693693 €,No,,,,West Flanders,8 m,1,,,No,No,14 mmeters,145m²square meters,No,No,No,No,Yes,Yes,,No,,,,No,Non flood zone,,,,,,,No,No,No,No,Connected,Yes,Yes,,,,,,,35m²square meters,17m²square meters,No,No,No,No,No,Yes,No,No,No,All kind,,,,,,,East,,,,,,,,,,,,,,,,,,,,,,
10138881,After signing the deed,,As new,2,,132m²square meters,,Installed,12m²square meters,2,13m²square meters,12m²square meters,,1,1,12m²square meters,No,142m²square meters,,South West,,,287 kWh/m²kilowatt hour per square meters,C,20220330-0002574172-RES-1,Not specified,Not specified,No,Gas,Yes,"€ 149,750149750 €",€ 312312 €,,Tategemstraat 30 8790- Waregem,,,West Flanders,4.5 m,,Urban,,,Yes,4.5 mmeters,40m²square meters,,,,,Yes,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",Yes,,,Yes,,,,Yes,Yes,Connected,Yes,Yes,,,,,,,28m²square meters,28m²square meters,,,,,,,,,,,,,,,15m²square meters,,South West,20m²square meters,,,,,,,,,,,,,,,,,,,,,
10150789,After signing the deed,,As new,2,,196m²square meters,,Hyper equipped,12m²square meters,4,21m²square meters,21m²square meters,13m²square meters,1,1,12m²square meters,,258m²square meters,,South West,No,No,376 kWh/m²kilowatt hour per square meters,D,202208160002656206Res1,Not specified,Not specified,No,Gas,Yes,"€ 294,000294000 €",,Yes,,,,West Flanders,10 m,,"Living area (residential, urban or rural)",,No,No,,120m²square meters,No,No,No,No,Yes,No,,No,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",Yes,,,No,,Yes,No,No,Yes,Connected,Yes,Yes,,,,13m²square meters,,,24m²square meters,20m²square meters,No,No,No,No,No,Yes,No,No,No,All kind,,,,,,,South West,12m²square meters,,,,,,,,,,,,,,,,,,,,,
10158191,After signing the deed,1942,To renovate,3,3,193m²square meters,,,8m²square meters,2,14m²square meters,11m²square meters,,2,2,6m²square meters,No,577m²square meters,,,,,527 kWh/m²kilowatt hour per square meters,F,2595104,Not specified,Not specified,,Gas,,"€ 215,000215000 €",€ 493493 €,No,Beernemsteenweg 78 8750- Wingene,http://www.immotinis.be,4969849,West Flanders,8 m,2,,,,,,250m²square meters,,,,,,,,,Yes,,No,,Non flood zone,"Living area (residential, urban or rural)",,,Yes,No,,,,,,Connected,Yes,,,,,,,,45m²square meters,,,,,,,,,,,,,Link to the virtual visit,,,,,,40m²square meters,,,,,,,,,,,,,,,,,,,,,
10126538,After signing the deed,,As new,4,5,168m²square meters,,Installed,12m²square meters,3,15m²square meters,12m²square meters,8m²square meters,2,2,,No,799m²square meters,,South West,,,347 kWh/m²kilowatt hour per square meters,D,20220920-0002678823-RES-1,Not specified,Not specified,No,Gas,Yes,"€ 395,000395000 €",€ 582582 €,,Tategemstraat 30 8790- Waregem,,,West Flanders,11 m,2,"Living area (residential, urban or rural)",,,Yes,20 mmeters,500m²square meters,,,Yes,,Yes,,No,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",Yes,,,Yes,1,Yes,,Yes,Yes,Connected,Yes,Yes,,F. Louwaege,,,,Kortemarkelle,44m²square meters,60m²square meters,Yes,,,,,,,,,,,,,,10m²square meters,10m²square meters,South West,,1,,,,,,,,,,,,,,,,,,,,
10102844,To be defined,2009,As new,4,4,400m²square meters,1,Installed,22m²square meters,4,14m²square meters,,,1,3,,Yes,1375m²square meters,,,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,"Yes, conform",Gas,Yes,"€ 795,000795000 €",,No,,,,West Flanders,,1,"Living area (residential, urban or rural)",,Yes,Yes,28 mmeters,100m²square meters,No,No,No,Yes,Yes,Yes,,No,Yes,,,No,Non flood zone,,,,,,2,Yes,No,Yes,Yes,Connected,Yes,Yes,,,,,,,45m²square meters,100m²square meters,Yes,No,No,No,No,Yes,No,No,No,All kind,,,,,16m²square meters,,,,1,,,,,,,,,,,,,,,,,,,,
10057167,After signing the deed,,To renovate,2,,132m²square meters,,,,4,,,,1,2,,No,354m²square meters,,,,,440 kWh/m²kilowatt hour per square meters,E,Not specified,Not specified,Not specified,No,Electric,Yes,"€ 260,000260000 €",€ 614614 €,No,Nieuwpoortlaan 29 8660- De Panne,http://www.boetenvastgoed.be,Putstraat 15,West Flanders,14.5 m,,,,No,No,,,,,,,,,No,No,,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9899411,Immediately,,Good,2,,,,Installed,,4,,,,2,3,,No,,,,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 175,000175000 €",€ 641641 €,Yes,,,,West Flanders,,,Shop street,Yes,No,Yes,,,No,No,No,No,Yes,No,,No,,,,,,"Living area (residential, urban or rural)",Yes,Yes,,,2,No,No,No,No,Connected,Yes,Yes,,,,,,,,2m²square meters,Yes,No,No,No,No,No,No,No,No,Town-house,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,
10143397,After signing the deed,,Just renovated,3,,164m²square meters,,Installed,,2,16m²square meters,16m²square meters,,1,2,20m²square meters,,421m²square meters,,,No,No,245 kWh/m²kilowatt hour per square meters,C,20220929-0002683037-RES-1,Not specified,Not specified,,,Yes,"€ 310,000310000 €",,No,,,,West Flanders,7 m,,"Living area (residential, urban or rural)",Yes,No,No,,1m²square meter,No,No,No,No,Yes,No,,No,Yes,,,,Non flood zone,,,,,,,No,No,No,No,Connected,Yes,,,,,,,,,1m²square meter,No,No,No,No,No,Yes,No,No,No,All kind,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10081202,After signing the deed,1976,Good,3,1,,,Installed,,5,,,,2,2,,,525m²square meters,,South East,No,No,279 kWh/m²kilowatt hour per square meters,C,20220623-0002625216-RES-2,Not specified,Not specified,,Fuel oil,Yes,"€ 380,000380000 €",,Yes,,,,West Flanders,,,"Living area (residential, urban or rural)",Yes,Yes,No,,1m²square meter,No,No,No,No,Yes,No,"Yes, conform",No,Yes,,,No,,,Yes,Yes,,Yes,,Yes,No,Yes,Yes,,Yes,,,,,,,,,1m²square meter,No,No,No,No,No,Yes,No,No,No,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10087012,After signing the deed,2016,As new,2,2,164m²square meters,,USA installed,,3,13m²square meters,15m²square meters,10m²square meters,1,2,,No,249m²square meters,,South East,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Electric,Yes,"€ 407,000407000 €",,No,,,,West Flanders,8 m,1,,,No,No,8 mmeters,88m²square meters,No,No,No,No,Yes,No,,No,Yes,,,No,,,Yes,,,Yes,,Yes,No,No,No,Connected,Yes,,,,,,,,34m²square meters,,No,No,No,No,No,Yes,No,No,No,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
9987967,To be defined,1979,Good,4,2,210m²square meters,,Installed,10m²square meters,3,12m²square meters,10m²square meters,10m²square meters,1,1,,,599m²square meters,,South,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 449,000449000 €",,No,,,,West Flanders,8 m,,"Living area (residential, urban or rural)",,No,No,,300m²square meters,No,No,No,No,Yes,No,,No,,,,,Non flood zone,,,,,,,Yes,No,No,Yes,Connected,Yes,,,,,,,,33m²square meters,17m²square meters,No,No,No,No,No,Yes,No,Yes,No,All kind,,,,,,,South,92m²square meters,1,Yes,,,,,,,,,,,,,,,,,,,
10146859,Depending on the tenant,,Good,2,,,,Semi equipped,,1,,,,1,,,No,,,,,,150 kWh/m²kilowatt hour per square meters,B,20190110-0002122843-RES-1,Not specified,Not specified,No,Gas,,"€ 349,000349000 €","€ 1,6451645 €",Yes,Stationstraat 58 8470- Gistel,,207 - 2281,West Flanders,,,,,,,,,,,,,,,,,,,Yes,Yes,Non flood zone,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10038153,After signing the deed,1972,To renovate,1,,128m²square meters,,,,6,,,,3,,,No,128m²square meters,,,,,358 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,,Gas,Yes,"€ 415,000415000 €",,Yes,,,,West Flanders,,,,,No,No,,,,,,,,,,No,Yes,No,No,No,,,,,,,,No,No,No,No,,Yes,,,,,,,,,,No,No,,,,,No,No,No,Apartment building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131689,After signing the deed,,Good,2,,90m²square meters,,Installed,,1,,,,1,,,,90m²square meters,,,No,No,339 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,No,Gas,Yes,"€ 169,000169000 €",€ 205205 €,No,,,,West Flanders,5 m,,"Living area (residential, urban or rural)",Yes,No,No,,,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",Yes,,,Yes,,Yes,No,No,No,Connected,Yes,Yes,90m²square meters,,,,,,,15m²square meters,No,No,No,No,No,Yes,No,No,No,,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,
10062540,To be defined,,As new,3,2,172m²square meters,,Installed,12m²square meters,4,15m²square meters,15m²square meters,12m²square meters,1,1,2m²square meters,No,1006m²square meters,,South West,,,326 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,No,Fuel oil,Yes,"€ 358,000358000 €",,,Tategemstraat 30 8790- Waregem,,,West Flanders,9 m,1,"Living area (residential, urban or rural)",,,Yes,15 mmeters,650m²square meters,,,Yes,,Yes,,"Yes, conform",,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",Yes,,,Yes,,Yes,,Yes,Yes,Connected,Yes,Yes,,,,10m²square meters,,,31m²square meters,24m²square meters,,,,,,,,,,,,,,,14m²square meters,,South West,9m²square meters,2,,,,,,,,,,,,,,,,,,,,
10129249,After signing the deed,,Just renovated,4,,392m²square meters,1,USA hyper equipped,,5,,,,2,3,,,877m²square meters,,South,Yes,Yes,261 kWh/m²kilowatt hour per square meters,C,20160722-0001881746-1,Not specified,Not specified,,Gas,Yes,"€ 625,000625000 €","€ 1,9591959 €",No,,,,West Flanders,20 m,,"Living area (residential, urban or rural)",Yes,Yes,Yes,24 mmeters,500m²square meters,No,No,No,Yes,Yes,Yes,,Yes,Yes,,No,No,Non flood zone,,Yes,Yes,,Yes,,No,No,Yes,Yes,Connected,Yes,Yes,,,,,,,,80m²square meters,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,All kind,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,
10150879,To be defined,2001,As new,2,2,125m²square meters,,Hyper equipped,,3,,,,1,2,,,278m²square meters,,,,,Not specified,Not specified,0002685107-RES-1,Not specified,Not specified,,Gas,Yes,"€ 295,000295000 €",€ 996996 €,No,,,,West Flanders,10 m,1,,,Yes,No,,60m²square meters,,,,,,,,No,,,,,Non flood zone,,,,,,,No,No,No,No,Connected,Yes,,,,,,,,,40m²square meters,No,No,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10144087,After signing the deed,,Just renovated,2,,110m²square meters,,Hyper equipped,,2,,,,1,2,,,100m²square meters,Yes,South,,,137 kWh/m²kilowatt hour per square meters,B,20220202-0002502409-RES-1,Not specified,Not specified,No,Gas,Yes,"€ 279,000279000 €",,,Waterven 8 8501- Kortrijk,,,West Flanders,,,"Living area (residential, urban or rural)",Yes,Yes,,,,,,,,Yes,,,,Yes,,No,,Non flood zone,"Living area (residential, urban or rural)",Yes,,,No,1,,,,,Connected,Yes,Yes,,J-Estate,,,,Astridpark,,10m²square meters,,,,,,,,,,,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,
10097295,Immediately,,,3,,,,,,2,,,,1,,,,396m²square meters,,,,,433 kWh/m²kilowatt hour per square meters,E,20141125-0001708367-00000006-7,Not specified,Not specified,,,No,"€ 219,000219000 €",,No,,,,West Flanders,,,,,No,No,,1m²square meter,,,,,,,,No,,,,,,,,,,,,No,No,No,No,,No,,,,,,,,,,No,No,,,,,No,No,No,All kind,,,,,,,,,,,,,,,,,,,Nieuw EPC verslag in aanvraag. Dak werd reeds geïsoleerd sinds vorige EPC verslag,,,,,,,,,,
10131511,After signing the deed,1963,To renovate,4,,200m²square meters,,,12m²square meters,3,22m²square meters,12m²square meters,12m²square meters,1,1,10m²square meters,,736m²square meters,,South East,No,No,Not specified,Not specified,20220920-0002679111-RES-1,Not specified,Not specified,,,No,"€ 310,000310000 €",,No,,,,West Flanders,9 m,,Countryside,,No,No,,600m²square meters,No,No,No,No,Yes,No,"Yes, conform",No,,,,,,,,,,,,No,No,No,No,,Yes,Yes,,,,,,,,,No,No,No,No,No,No,No,No,No,All kind,Yes,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
10120542,After signing the deed,,Good,3,2,250m²square meters,,Installed,,4,,,,1,,,,500m²square meters,,,,,212 kWh/m²kilowatt hour per square meters,C,20170320-0001944355-1,Not specified,Not specified,,Gas,Yes,"€ 319,000319000 €",,No,,,,West Flanders,,,"Living area (residential, urban or rural)",Yes,Yes,No,,1m²square meter,,,,,,,,No,,,,,,"Living area (residential, urban or rural)",Yes,Yes,,,,No,No,No,No,Connected,Yes,Yes,500m²square meters,,,,,,,,No,No,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10133357,To be defined,,As new,3,1,197m²square meters,,,,3,,,,1,3,,,180m²square meters,,,,,168 kWh/m²kilowatt hour per square meters,B,Not specified,Not specified,Not specified,,Gas,Yes,"€ 420,000420000 €",,No,,,,West Flanders,,1,,,No,No,,,,,,,,,,No,Yes,,,,Non flood zone,,,,,,1,No,No,No,No,Connected,Yes,,,,,,,,,,No,No,,,,,No,No,No,All kind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10078038,After signing the deed,1991,As new,4,,280m²square meters,,Installed,,2,,,,1,2,,,886m²square meters,,,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 429,000429000 €",,No,,,,West Flanders,23 m,,"Living area (residential, urban or rural)",Yes,No,No,23 mmeters,1m²square meter,No,No,No,No,Yes,No,"Yes, conform",No,,,,,,,Yes,,,,1,Yes,No,Yes,Yes,Connected,Yes,Yes,886m²square meters,,,,,,,1m²square meter,No,No,No,No,No,Yes,No,No,No,All kind,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10067258,After signing the deed,2019,As new,4,,505m²square meters,,Hyper equipped,,3,,,,1,2,,,505m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,"Yes, conform",,Yes,"€ 670,000670000 €",,No,,,,West Flanders,,,,Yes,No,No,,1m²square meter,,,,,,,"Yes, conform",Yes,Yes,,No,No,Non flood zone,,Yes,,,Yes,,No,No,No,No,,No,Yes,,,,,,,,1m²square meter,No,No,,,,,No,Yes,No,All kind,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
10105395,At delivery,2022,As new,3,1,180m²square meters,,Installed,,4,,,,1,2,,No,243m²square meters,Yes,North,,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Gas,Yes,"€ 445,000445000 €",,No,Nieuwpoortlaan 29 8660- De Panne,http://www.boetenvastgoed.be,Zannekinstraat 22,West Flanders,9 m,1,Countryside,,No,No,12 mmeters,,,,,,,,No,No,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,
