,Available as of,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Living area,How many fireplaces?,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Basement surface,Furnished,Surface of the plot,Garden,Garden orientation,Secure access / alarm,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Covered parking spaces,Surroundings type,Living room,Dressing room,Office,Width of the lot on the street,Garden surface,Caretaker,Elevator,Accessible for disabled people,Intercom,TV cable,Visio phone,Conformity certification for fuel tanks,Heat pump,Planning permission obtained,Obligation to build,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Dining room,Basement,Terrace,Subdivision permit,Shower rooms,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,"Gas, water &amp; electricity",Laundry room,Total ground floor buildable,Agent's name,Available date,Bedroom 4 surface,Bedroom 5 surface,Neighbourhood or locality,Living room surface,Terrace surface,Professional space,Armored door,Air conditioning,Jacuzzi,Sauna,Internet,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Attic,Virtual visit,E-level (overall energy performance),Property name,Office surface,Professional space surface,Terrace orientation,Attic surface,Number of annexes,Isolated,Extra information,Monthly charges,Percentage rented,Venue of the sale,Single session,Terms of visit,Starting price,Current monthly revenue,EPC description,Sea view,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity
10157310,,2022,,,,,,Hyper equipped,,3,,,,1,2,,,189m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,"€ 333,235333235 €",,No,Kon Albertstraat 10/2 8500- Kortrijk,,BredeneC,West Flanders,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,Connected,No,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
10157301,,2022,,,,,,Hyper equipped,,3,,,,1,2,,,320m²square meters,Yes,South,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,"€ 378,742378742 €",,No,Kon Albertstraat 10/2 8500- Kortrijk,,HarelbekeC,West Flanders,,,,,No,No,,,No,No,No,No,Yes,No,,,,,,,,,,,,,,No,No,No,No,Connected,No,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
10138174,,2025,,,,265m²square meters,,,,4,,,,2,,,No,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 900,000900000 €",,No,Zeedijk 513 8300- KNOKKE,http://www.immo-woestyn.be,KALV 3 BLC,West Flanders,,1,"Living area (residential, urban or rural)",,No,No,,,,,,,,,,,Yes,No,No,No,Non flood zone,Extended residential area,Yes,Yes,Yes,No,,No,No,No,No,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,,Kalvekeet,,,,,,,,,,,,,,,,,,,,,,,,,
9612817,,2021,,,,,,Installed,,3,,,,,,,,,,,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 310,000310000 €",,No,Hendrik Serruyslaan 14A/000 8400- Oostende,https://agencevanbeckevoort.be,Alfons Pieterslaan 9,West Flanders,,,,,No,No,,,No,Yes,No,Yes,Yes,Yes,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,No,No,No,No,Not connected,Yes,,,,,,,,,,,,,,,,,,,,,,,Residentie Emmanuelle,,,,,,,,,,,,,,,,,,,,,,,,,
9993597,,2022,,,,,,Hyper equipped,,3,,,,1,2,,,360m²square meters,,,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 354,323354323 €",,No,Kon Albertstraat 10/2 8500- Kortrijk,,HOB: 354.323 €,West Flanders,,,,,No,No,,,No,No,No,No,Yes,No,,,,,,,,,,,,,,No,No,No,No,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
10116857,,1990,,,1,211m²square meters,,,,3,,,,1,2,,,124m²square meters,Yes,South,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 549,000549000 €",,No,Pathoekeweg 120 B 1.01 8000- Brugge,http://www.centrohome.be,A1506c,West Flanders,,1,,Yes,No,No,,,No,No,No,No,Yes,No,,,,No,,,,,,,Yes,,,No,No,No,No,Connected,Yes,Yes,90m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10144994,,2022,,,,160m²square meters,,,,3,,,,1,2,,,203m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 393,000393000 €",,No,Landegemstraat 10 9031- Drongen,http://www.durabrik.be,0. Sijsele lot 102C,West Flanders,,1,,,No,No,,,,,,,,,,,Yes,No,,,,"Living area (residential, urban or rural)",,,,Yes,,No,No,No,No,Not connected,No,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
10132029,,2022,,,,,,,,3,,,,,,,,354m²square meters,Yes,South East,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,"€ 366,000366000 €",,No,Reigerlostraat 1B 8730- Beernem,http://www.perspectiefvastgoed.be,1556/[email protected],West Flanders,,,,,No,No,,,,,,,,,,,,No,No,No,,"Living area (residential, urban or rural)",,,,Yes,,No,No,No,No,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
10116771,,1977,,,,,,,,4,,,,1,,,,895m²square meters,Yes,South West,,,146 kWh/m²kilowatt hour per square meters,B,20220914-0002674438-RES-1,Not specified,Not specified,,,Yes,"€ 595,000595000 €","€ 1,6531653 €",No,"strandlaan, 337 8670- Sint-Idesbald",http://www.century21tackoen.be,ST-99,West Flanders,,,,,No,No,,,,,,,,,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",Yes,,Yes,Yes,,No,No,No,No,Not connected,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9156988,,2021,,,,,,,,3,,,,1,2,,No,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 237,000237000 €",,No,Grote Heerweg 2 8791- Beveren-Leie,,WijtschateLot23C,West Flanders,,,,Yes,No,No,,,,,,,,,,,Yes,No,,,Non flood zone,,,,,Yes,,No,No,No,No,Connected,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
