,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province
9925295,9925295,house,house,499000,forsale,4520,xl,installed,2001,good,electric,432,5,2170,,,1957,true,true,true,,,,Liege
10119707,10119707,house,house,350000,forsale,4050,xl,installed,1969,tobedoneup,electric,588,3,879,,true,700,,true,,1,2,,Liege
9917005,9917005,house,house,485000,forsale,4450,xl,,2005,asnew,fueloil,354,6,1068,,true,550,true,true,,3,3,,Liege
10119705,10119705,house,house,319000,forsale,4870,xl,semiequipped,1957,tobedoneup,fueloil,370,3,1022,true,true,800,,,,1,4,,Liege
10147945,10147945,house,house,150000,forsale,4500,xl,semiequipped,1918,torenovate,,564,4,911,,true,,true,,,1,,,Liege
9879840,9879840,house,apartmentblock,1895000,forsale,4020,xl,installed,2017,asnew,gas,206,18,160,,true,,true,,,,,,Liege
10155897,10155897,house,house,249500,forsale,4100,xl,installed,2005,asnew,gas,316,3,188,,true,20,true,,,1,1,,Liege
10157466,10157466,house,house,135000,forsale,4870,xl,notinstalled,,torenovate,gas,606,3,112,,true,,true,true,,,,,Liege
10157463,10157463,house,house,230000,forsale,4032,xl,installed,,asnew,gas,633,2,452,,true,70,,,,1,1,,Liege
10166580,10166580,house,house,189000,forsale,4870,xl,notinstalled,,torenovate,fueloil,717,5,415,true,true,200,,true,,,,,Liege
10157632,10157632,house,mixedusebuilding,490000,forsale,4500,xl,installed,2011,asnew,electric,322,3,6057,true,,6057,true,,,1,2,,Liege
10158862,10158862,house,apartmentblock,239000,forsale,4500,xl,installed,,good,gas,373,4,72,,true,,,,,,,,Liege
10120096,10120096,house,house,69000,forsale,4020,xl,notinstalled,1900,torenovate,,473,1,81,,,,,true,,1,,,Liege
10119709,10119709,house,house,235000,forsale,4140,xl,installed,1952,tobedoneup,,307,2,446,true,true,300,true,,,1,,,Liege
10130205,10130205,house,house,275000,forsale,4540,xl,installed,2003,good,,164,4,307,true,,180,true,,,1,2,,Liege
9722868,9722868,house,house,245000,forsale,4540,xl,semiequipped,1875,good,gas,456,4,514,,true,,true,,,2,,,Liege
10025596,10025596,house,house,295000,forsale,4557,xl,installed,1996,asnew,,504,2,1604,,,1200,true,,,1,5,,Liege
10084024,10084024,house,apartmentblock,389000,forsale,4800,xl,notinstalled,1850,good,,264,5,230,true,true,,true,true,,,,,Liege
10110798,10110798,house,house,475000,forsale,4500,xl,installed,1900,asnew,gas,198,4,311,,,,true,,,,,,Liege
10166517,10166517,house,house,187000,forsale,4020,xl,usahyperequipped,1952,justrenovated,,572,2,97,,true,,true,,,,,,Liege
10166759,10166759,house,house,175000,forsale,4051,xl,hyperequipped,,asnew,gas,321,1,360,,true,322,true,,,,,,Liege
10163562,10163562,house,house,99000,forsale,4500,xl,notinstalled,,torenovate,,821,2,170,,true,111,,,,,,,Liege
10153348,10153348,house,house,180000,forsale,4500,xl,notinstalled,,tobedoneup,gas,754,3,580,,,,true,,,,1,,Liege
10134388,10134388,house,house,189500,forsale,4540,xl,semiequipped,1899,torenovate,fueloil,515,3,700,,,,true,,,1,,,Liege
10161816,10161816,house,villa,265000,forsale,4610,xl,installed,,good,gas,235,2,538,,,462,true,,,1,1,,Liege
10043015,10043015,house,house,280000,forsale,4360,xl,hyperequipped,1840,torenovate,fueloil,664,6,1100,,true,500,true,,,2,2,,Liege
9876026,9876026,house,house,35000,forsale,4870,xl,usainstalled,1951,good,gas,404,2,228,true,true,50,true,true,,,,,Liege
10078043,10078043,house,villa,595000,forsale,4053,xl,installed,1968,tobedoneup,fueloil,509,5,800,,true,,true,,,,3,,Liege
10062942,10062942,house,house,345000,forsale,4040,xl,installed,1997,good,gas,425,7,563,,,300,true,,,2,2,,Liege
10014855,10014855,house,house,475000,forsale,4000,xl,installed,1948,asnew,gas,225,4,200,,,,true,,,2,2,,Liege
9993342,9993342,house,house,450000,forsale,4280,xl,hyperequipped,1960,asnew,fueloil,296,5,1254,,true,,true,true,,,4,,Liege
10162872,10162872,house,house,239500,forsale,4560,xl,semiequipped,,good,,420,3,483,,true,300,true,true,,,2,,Liege
10080211,10080211,house,villa,650000,forsale,4000,xl,installed,1911,tobedoneup,gas,542,7,730,,true,,true,,,1,1,,Liege
9914918,9914918,house,house,420000,forsale,4760,xl,,2000,asnew,gas,119,4,1098,,true,,true,,,1,,,Liege
9968909,9968909,house,villa,890000,forsale,4900,xl,installed,1911,tobedoneup,fueloil,459,3,3375,,,,true,,,1,2,,Liege
9587279,9587279,house,villa,375000,forsale,4682,xl,installed,2020,,gas,251,4,456,,,300,true,,,,1,1,Liege
9987439,9987439,house,house,25000,forsale,4530,xl,installed,1978,good,fueloil,442,3,1523,,true,,true,,,1,3,,Liege
10020173,10020173,house,house,99000,forsale,4500,xl,notinstalled,,torenovate,gas,409,2,65,,true,,,,,,,,Liege
9888846,9888846,house,house,99000,forsale,4030,xl,notinstalled,,torenovate,gas,433,2,114,,true,,true,,,1,,,Liege
10053970,10053970,house,house,50000,forsale,4350,xl,hyperequipped,1874,asnew,fueloil,283,4,832,true,,372,true,true,true,1,1,,Liege
10130206,10130206,house,house,59000,forsale,4180,xl,notinstalled,1890,torenovate,,464,3,152,true,,,,,,1,,,Liege
10112043,10112043,house,house,149000,forsale,4690,xl,notinstalled,1910,torenovate,,599,3,404,,,250,true,,,,1,,Liege
10018090,10018090,house,house,149000,forsale,4020,xl,semiequipped,,tobedoneup,gas,313,2,190,,true,,true,true,,,,,Liege
10033771,10033771,house,apartmentblock,149000,forsale,4020,xl,semiequipped,,tobedoneup,gas,313,2,190,,true,,true,true,,,,,Liege
10087602,10087602,house,house,139000,forsale,4000,xl,installed,1915,torenovate,gas,696,3,434,,true,350,true,,,,,,Liege
10025644,10025644,house,mixedusebuilding,169000,forsale,4500,xl,semiequipped,,torenovate,gas,304,0,159,,true,,true,,,,,,Liege
10058044,10058044,house,house,150000,forsale,4520,xl,semiequipped,1850,tobedoneup,,448,2,76,,true,,true,,,,,,Liege
9915804,9915804,house,house,149000,forsale,4051,xl,notinstalled,1909,torenovate,,179,3,150,,,30,true,,,1,2,,Liege
10108185,10108185,house,house,175000,forsale,4480,xl,semiequipped,1900,tobedoneup,gas,587,3,597,,true,467,true,,,1,,,Liege
10125935,10125935,house,mixedusebuilding,179000,forsale,4480,xl,installed,1899,tobedoneup,gas,244,3,74,,true,,,,,,,,Liege
9988685,9988685,house,house,175000,forsale,4347,xl,installed,1899,good,fueloil,491,2,107,,true,,,true,,1,1,,Liege
10116505,10116505,house,house,195000,forsale,4500,xl,installed,1850,tobedoneup,,454,2,337,,,,true,,,1,,,Liege
10117153,10117153,house,house,186000,forsale,4870,xl,notinstalled,1989,torenovate,,594,2,449,,,350,,,,1,3,,Liege
10118264,10118264,house,house,189000,forsale,4500,xl,semiequipped,1850,good,gas,237,2,67,,true,,true,,,,1,,Liege
10130197,10130197,house,house,219000,forsale,4460,xl,notinstalled,1970,tobedoneup,fueloil,385,5,418,,true,250,true,,,1,,,Liege
10130204,10130204,house,house,195000,forsale,4540,xl,semiequipped,1900,tobedoneup,gas,599,3,925,true,true,800,true,,,1,,,Liege
10096184,10096184,house,house,229000,forsale,4500,xl,installed,,justrenovated,gas,424,3,140,,true,50,true,,,,,,Liege
10042039,10042039,house,bungalow,239000,forsale,4570,xl,installed,,torenovate,fueloil,433,3,2931,,,2648,,,,1,,,Liege
10135999,10135999,house,house,239000,forsale,4000,xl,installed,1956,tobedoneup,fueloil,439,3,240,,true,150,,,,1,1,,Liege
10082021,10082021,house,house,240000,forsale,4540,xl,semiequipped,1899,good,fueloil,249,3,307,,true,200,true,,,,,,Liege
10108186,10108186,house,house,239500,forsale,4260,xl,semiequipped,1974,asnew,,305,2,283,,,200,true,,,,2,,Liege
10110816,10110816,house,apartmentblock,249000,forsale,4102,xl,semiequipped,1956,tobedoneup,gas,271,4,252,,true,,true,,,2,,,Liege
10012575,10012575,house,house,275000,forsale,4430,xl,installed,1986,good,electric,392,3,247,true,,85,true,,,1,3,,Liege
10126124,10126124,house,house,289000,forsale,4683,xl,installed,1965,torenovate,gas,326,3,957,,,900,true,,,2,4,,Liege
10131847,10131847,house,apartmentblock,290000,forsale,4000,xl,notinstalled,,good,gas,253,4,130,,true,60,,,,1,,,Liege
10131851,10131851,house,house,290000,forsale,4000,xl,notinstalled,,good,gas,253,4,130,,true,60,,,,1,,,Liege
9999696,9999696,house,house,295000,forsale,4400,xl,installed,1967,tobedoneup,fueloil,678,6,1526,,true,,true,,,3,,,Liege
10109617,10109617,house,house,290000,forsale,4020,xl,installed,1958,tobedoneup,gas,663,3,258,true,true,,,true,,1,4,,Liege
10105626,10105626,house,mixedusebuilding,299000,forsale,4540,xl,semiequipped,1899,good,gas,167,4,261,,true,,true,,,2,1,,Liege
10087763,10087763,house,countrycottage,300000,forsale,4260,xl,installed,,good,fueloil,533,4,1054,true,true,900,true,,,1,1,,Liege
9971622,9971622,house,house,335000,forsale,4453,xl,semiequipped,1975,good,fueloil,420,2,1095,,true,500,true,,,1,,,Liege
10092478,10092478,house,mixedusebuilding,365000,forsale,4540,xl,semiequipped,1899,good,fueloil,249,3,457,,true,200,true,,,,,,Liege
10080378,10080378,house,mixedusebuilding,350000,forsale,4360,xl,installed,1974,tobedoneup,fueloil,356,1,1285,,true,900,true,,,1,3,,Liege
10099196,10099196,house,house,385000,forsale,4260,xl,installed,1900,good,fueloil,249,4,807,true,true,105,true,true,,1,4,,Liege
9953275,9953275,house,house,399000,forsale,4870,xl,installed,2017,good,,106,3,1500,,,1050,true,,,1,2,,Liege
9772656,9772656,house,apartmentblock,429000,forsale,4610,xl,installed,2016,good,gas,117,4,440,,,115,true,,,,3,,Liege
10130870,10130870,house,house,450000,forsale,4540,xl,installed,1930,good,gas,247,3,255,,true,,,true,,,,,Liege
9977072,9977072,house,house,375000,forsale,4960,xl,usainstalled,1978,tobedoneup,fueloil,395,4,934,true,true,,true,true,,2,3,,Liege
10046318,10046318,house,mansion,530000,forsale,4000,xl,installed,,good,fueloil,396,4,160,,true,,true,,,,,,Liege
10111135,10111135,house,house,440000,forsale,4500,xl,installed,,asnew,gas,365,5,410,,true,325,true,,,1,,,Liege
10128063,10128063,house,mixedusebuilding,495000,forsale,4432,xl,hyperequipped,1947,asnew,fueloil,230,5,597,,true,400,true,true,,2,,,Liege
9271193,9271193,house,bungalow,469000,forsale,4020,xl,installed,1970,good,fueloil,340,4,850,true,true,600,true,,,1,2,,Liege
10019720,10019720,house,house,550000,forsale,4500,xl,installed,1996,good,fueloil,322,5,3736,,,3000,true,true,,,6,,Liege
9898404,9898404,house,mixedusebuilding,1070000,forsale,4260,xl,hyperequipped,2010,asnew,gas,253,3,1700,,true,,true,,,1,40,,Liege
10086592,10086592,house,house,950000,forsale,4031,xl,hyperequipped,1989,asnew,fueloil,164,6,2378,,true,2032,true,true,,3,5,,Liege
10153126,10153126,house,house,199000,forsale,4400,xl,,,justrenovated,gas,415,3,453,,true,160,true,,,,,,Liege
10157467,10157467,house,house,129000,forsale,4870,xl,notinstalled,,torenovate,,694,3,330,,true,60,,,,,,,Liege
10157464,10157464,house,house,149000,forsale,4870,xl,semiequipped,,torenovate,,424,3,2221,,,80,true,,,,,,Liege
9806188,9806188,house,farmhouse,229000,forsale,4590,xl,semiequipped,1890,good,fueloil,610,2,1365,,,,true,,,,3,,Liege
10163187,10163187,house,house,299500,forsale,4500,xl,installed,,asnew,gas,,3,1454,,true,,true,,,1,3,,Liege
10020178,10020178,house,house,249000,forsale,4032,xl,semiequipped,2002,good,gas,187,3,76,,,,true,,,,,,Liege
9913129,9913129,house,apartmentblock,650000,forsale,4430,xl,installed,1970,good,gas,472,7,256,,true,,true,,,4,,,Liege
10111219,10111219,house,house,395000,forsale,4560,xl,installed,2018,asnew,,245,3,954,,,700,true,,,2,,,Liege
10165087,10165087,house,house,349000,forsale,4340,xl,,1985,asnew,,439,3,660,,true,,,,,1,1,,Liege
9901291,9901291,house,farmhouse,449000,forsale,4590,xl,semiequipped,1890,good,fueloil,610,7,2450,,true,,true,,,,8,,Liege
10141785,10141785,house,house,129000,forsale,4000,xl,semiequipped,,tobedoneup,gas,276,4,59,,true,,,,,,,,Liege
10071807,10071807,house,house,339000,forsale,4840,xl,notinstalled,2020,asnew,gas,129,3,358,,,,true,,,1,1,1,Liege
9913125,9913125,house,apartmentblock,650000,forsale,4430,xl,installed,1970,good,gas,256,8,485,,true,,true,,,4,,,Liege
10156038,10156038,house,house,239000,forsale,4530,xl,installed,,justrenovated,fueloil,236,3,136,,true,,true,,,,1,,Liege
10104637,10104637,house,house,109000,forsale,4500,xl,semiequipped,,good,gas,312,2,90,,true,21,,,,,,,Liege
10032572,10032572,house,house,99000,forsale,4870,xl,notinstalled,1849,torenovate,gas,460,2,70,,true,,true,,,,,,Liege
10166047,10166047,house,house,109500,forsale,4540,xl,semiequipped,,torenovate,,562,2,125,,true,95,true,,,,,,Liege
10159277,10159277,house,house,346168,forsale,4760,xl,,2022,justrenovated,,,3,800,true,,,true,,,,2,1,Liege
10083535,10083535,house,house,105000,forsale,4870,xl,notinstalled,,torenovate,gas,606,4,160,true,true,,,true,,,3,,Liege
10111605,10111605,house,house,119000,forsale,4540,xl,notinstalled,,torenovate,gas,488,2,330,,true,242,,,,1,,,Liege
9942173,9942173,house,house,135000,forsale,4040,xl,notinstalled,,tobedoneup,gas,551,2,170,,true,100,true,,,,,,Liege
10064705,10064705,house,house,155000,forsale,4870,xl,installed,,good,pellet,237,2,70,,true,,true,,,,,,Liege
10105700,10105700,house,house,119000,forsale,4870,xl,notinstalled,,torenovate,fueloil,726,3,455,,,200,,,,2,,,Liege
10117143,10117143,house,house,159000,forsale,4500,xl,semiequipped,1899,good,gas,432,2,180,true,true,120,true,,,,,,Liege
10058043,10058043,house,house,164500,forsale,4500,xl,notinstalled,,good,gas,323,3,1290,,true,1200,true,true,,,,,Liege
10058045,10058045,house,apartmentblock,164500,forsale,4500,xl,notinstalled,,good,gas,323,3,1290,,true,1200,true,true,,,,,Liege
10063763,10063763,house,house,169500,forsale,4100,xl,notinstalled,,tobedoneup,gas,659,2,139,,true,55,,,,1,,,Liege
10009460,10009460,house,house,165000,forsale,4870,xl,notinstalled,1965,torenovate,fueloil,293,3,269,,,80,true,,,1,2,,Liege
10108836,10108836,house,house,185000,forsale,4040,xl,,,tobedoneup,gas,376,3,76,,true,,true,,,,,,Liege
10013583,10013583,house,apartmentblock,185000,forsale,4040,xl,,,tobedoneup,gas,376,3,76,,true,,true,,,,,,Liege
