,Available as of,Available date,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Furnished,Surface of the plot,Connection to sewer network,"Gas, water &amp; electricity",Garden surface,Elevator,Accessible for disabled people,TV cable,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Covered parking spaces,Bedroom 3 surface,Bedroom 4 surface,Basement,Attic,Width of the lot on the street,Terrace surface,Double glazing,Total ground floor buildable,Virtual visit,Bedroom 5 surface,Conformity certification for fuel tanks,Terrace,Neighbourhood or locality,Dining room,Secure access / alarm,Dressing room,Basement surface,Land is facing street,Wooded land,Plot at rear,Flat land,Garden,Garden orientation,Caretaker,Intercom,Visio phone,Type of building,Obligation to build,E-level (overall energy performance),Thermic solar panels,How many fireplaces?,Laundry room,Professional space surface,Professional space,Attic surface,Armored door,Terrace orientation,Number of annexes,Air conditioning,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Common water heater,Living room,Agent's name,Current monthly revenue,Isolated,Venue of the sale,Single session,Terms of visit,Starting price,Property name,Percentage rented,Monthly charges,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Date of the sale
10143333,After signing the deed,,1980,Good,4,8,Urban,222m²square meters,56m²square meters,Installed,,4,14m²square meters,13m²square meters,1,,2,,Yes,No,2200m²square meters,,Yes,,,,Yes,No,364 kWh/m²kilowatt hour per square meters,D,20220528-0002612449-RES-1,Not specified,Not specified,No,Gas,Yes,No,No,No,Non flood zone,Park area,"€ 570,000570000 €","€ 1,4701470 €",No,Stationsstraat 116 9120- Beveren,http://www.homevast.be,4962682,East Falnders,10 m,2,21m²square meters,16m²square meters,,,10 mmeters,45m²square meters,Yes,,,,,,,,,,8m²square meters,,,,,,,,,,,,,,,,,,30m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102630,After signing the deed,,1850,To renovate,3,,,98m²square meters,32m²square meters,,8m²square meters,2,,,1,,,,,No,146m²square meters,Not connected,Yes,57m²square meters,,,,,998 kWh/m²kilowatt hour per square meters,F,20220602-0002615672-RES-1,Not specified,Not specified,,Electric,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 225,000225000 €",€ 265265 €,No,Kasteeldreef 15 9120- Beveren,http://www.erawonen.be,2022/311,East Falnders,7 m,,,,,,7 mmeters,,Yes,,,,,,,,,,,,,,,,,,,,,,998,No,,,,,,No,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,
10004262,After signing the deed,,1965,To be done up,2,,"Living area (residential, urban or rural)",173m²square meters,41m²square meters,Semi equipped,13m²square meters,4,20m²square meters,15m²square meters,1,,2,,,,590m²square meters,Connected,Yes,,,,,,306 kWh/m²kilowatt hour per square meters,D,20220706-0002635907-RES-1,Not specified,Not specified,No,Gas,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 245,000245000 €",,No,Brusselsesteenweg 89 9400- Ninove,,,East Falnders,,,13m²square meters,9m²square meters,Yes,,,,Yes,,,,,Yes,,Yes,,,,,,,,Yes,North East,,,,,,,,,Yes,,,62m²square meters,,North East,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,
10135198,After signing the deed,,1930,Good,2,,,121m²square meters,28m²square meters,,21m²square meters,2,,,1,,,,,No,135m²square meters,Connected,Yes,,No,No,Yes,No,373 kWh/m²kilowatt hour per square meters,D,2682329-RES-1,Not specified,Not specified,,Gas,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 219,000219000 €",€ 230230 €,No,Molenstraat 22A 9300- Aalst,http://www.era.be/living,TK099/AA,East Falnders,4 m,,,,,,4 mmeters,,Yes,,,,,,,,No,,,,,,,,,,,,,,373,No,,,,,,No,,,,No,No,,No,No,No,,,,,,,,,,,,,,,,,,,,
10162886,After signing the deed,,1964,To renovate,4,9,Concrete,110m²square meters,35m²square meters,Installed,10m²square meters,2,14m²square meters,7m²square meters,1,,1,,,No,667m²square meters,Connected,No,200m²square meters,No,No,Yes,No,565 kWh/m²kilowatt hour per square meters,F,2691293,Not specified,Not specified,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 398,000398000 €",€ 669669 €,No,Baron de Gieylaan 73 9840- De Pinte,http://www.vastgoeddejonghe.be,4971887,East Falnders,,2,,,,,14.5 mmeters,,Yes,210m²square meters,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10037981,After signing the deed,,1930,To renovate,2,,Urban,145m²square meters,,,9m²square meters,2,30m²square meters,10m²square meters,,,2,,No,,166m²square meters,,Yes,,,,,,431 kWh/m²kilowatt hour per square meters,E,20220609-0002619453-RES-1,Not specified,Not specified,,Gas,,No,,,Non flood zone,"Living area (residential, urban or rural)","€ 264,000264000 €",,No,,,,East Falnders,8 m,,,,Yes,Yes,8 mmeters,40m²square meters,Yes,,,,,,,,,No,,No,No,No,No,,,,,,,,,No,,,,No,,No,,,,,,,No,No,No,Yes,,,,,,,,,,,,,,,,,,,
10037595,After signing the deed,,1950,To be done up,3,3,Urban,152m²square meters,,Installed,,1,,,1,,2,,Yes,,1062m²square meters,,Yes,,No,,Yes,No,436 kWh/m²kilowatt hour per square meters,E,20220726-0002646017-RES-1,Not specified,Not specified,,Gas,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 269,000269000 €",,No,Oudenaardsesteenweg 441 9420- Erpe-Mere,,4854193,East Falnders,,,,,,Yes,,,,,,,,Yes,Groot Aalst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10121286,After signing the deed,,1899,Good,2,,,170m²square meters,9m²square meters,,13m²square meters,4,,,1,,,12m²square meters,Yes,No,242m²square meters,Connected,Yes,,,,,,623 kWh/m²kilowatt hour per square meters,F,20211206-0002504691-RES-1,16743 kg CO₂/m²,Not specified,,Gas,,No,No,No,Possible flood zone,"Living area (residential, urban or rural)","Make an offer starting from€ 255,000Make an offer starting from255000 €",€ 411411 €,No,Molenstraat 22A 9300- Aalst,http://www.era.be/living,TK079/AA,East Falnders,5 m,,,,,,5 mmeters,,Yes,,,,,,,,,,18m²square meters,,,,,,,,,,,,623,No,,,,Yes,,No,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,
10046758,After signing the deed,,1939,To renovate,4,,,100m²square meters,46m²square meters,,6m²square meters,3,,,1,,,6m²square meters,Yes,No,410m²square meters,Not connected,No,230m²square meters,,,,,752 kWh/m²kilowatt hour per square meters,F,20220409-0002580841-RES-1,Not specified,Not specified,,Fuel oil,Yes,No,No,No,Non flood zone,Another type of area,"€ 275,000275000 €",€ 470470 €,No,Kasteeldreef 15 9120- Beveren,http://www.erawonen.be,2022/223,East Falnders,4 m,,,,,,19 mmeters,,Yes,113m²square meters,,,,,,,,,,,,,,,,,,,,,752,No,,,,Yes,,No,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,
10057982,To be defined,,,Good,,,,170m²square meters,22m²square meters,Installed,8m²square meters,4,15m²square meters,8m²square meters,,,2,,,No,90m²square meters,Connected,Yes,,,,,,204 kWh/m²kilowatt hour per square meters,C,20220427-00025911699-RES-1,Not specified,Not specified,No,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 275,000275000 €",€ 575575 €,No,Markstraat 43 9990- Maldegem,http://www.immofrancois.be,,East Falnders,,1,14m²square meters,31m²square meters,,,,,Yes,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,
10118687,After signing the deed,,1960,Good,3,,,180m²square meters,29m²square meters,,8m²square meters,3,,,1,,,,,No,265m²square meters,Not connected,Yes,60m²square meters,,,,,334 kWh/m²kilowatt hour per square meters,D,20220824-0002661247-RES-1,Not specified,Not specified,,Gas,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 325,000325000 €",€ 897897 €,No,Kasteeldreef 15 9120- Beveren,http://www.erawonen.be,2022/435,East Falnders,6 m,,,,,,9 mmeters,,Yes,95m²square meters,,,,,,,,,2m²square meters,,,,,,,,,,,,334,No,,,,,,No,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,
10041253,Depending on the tenant,,1937,Good,3,2,Isolated,193m²square meters,46m²square meters,Installed,,3,16m²square meters,12m²square meters,1,1,1,,,No,1255m²square meters,Connected,No,,No,No,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,,Fuel oil,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 289,000289000 €",€ 530530 €,No,Stationstraat 32 9400- Ninove,http://www.localsvastgoed.be,4845974,East Falnders,9 m,1,12m²square meters,,Yes,Yes,9 mmeters,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9872267,After signing the deed,,1961,To renovate,3,,"Living area (residential, urban or rural)",219m²square meters,,,,4,,,1,1,2,,,No,387m²square meters,Connected,Yes,,No,,Yes,No,603 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,,Gas,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 339,000339000 €",,No,Oudenaardsesteenweg 441 9420- Erpe-Mere,,4735756,East Falnders,13.5 m,1,,,Yes,Yes,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10128302,To be defined,,1952,As new,3,,Urban,145m²square meters,29m²square meters,USA installed,1234m²square meters,4,14m²square meters,13m²square meters,1,1,2,,,No,135m²square meters,Connected,Yes,44m²square meters,No,No,Yes,No,248 kWh/m²kilowatt hour per square meters,C,20220913-0002674048-RES-1,Not specified,Not specified,,Gas,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 299,000299000 €",,No,Ninoofsesteenweg 234B 1700- Dilbeek,http://www.wsb-immo.be,4937008,East Falnders,,1,12m²square meters,40m²square meters,,,8.1 mmeters,,Yes,,,,,Yes,Regio Aalst-Denderleeuw,,,,20m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10134179,After signing the deed,,2007,Good,2,,"Living area (residential, urban or rural)",226m²square meters,,Installed,,4,,,2,,3,,,,695m²square meters,Connected,Yes,,,,,,126 kWh/m²kilowatt hour per square meters,B,20220810-0002652957-RES-1,Not specified,Not specified,No,Gas,Yes,,,No,Possible flood zone,"Living area (residential, urban or rural)","€ 345,000345000 €",,Yes,Brusselsesteenweg 89 9400- Ninove,,,East Falnders,,,,,,,,,Yes,,,,,Yes,,Yes,,,,,,,Yes,Yes,South East,,Yes,,,,,,,Yes,,,,,South East,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
9987122,After signing the deed,,1976,Good,3,3,,197m²square meters,,,,3,,,1,,2,,No,,1084m²square meters,Connected,Yes,1m²square meter,No,No,Yes,No,272 kWh/m²kilowatt hour per square meters,C,20220604-0002617014-RES-1,Not specified,Not specified,,Gas,,,,,,,"€ 485,000485000 €",,No,,,,East Falnders,750 m,1,,,,Yes,,,Yes,,,,"Yes, not conform",Yes,,Yes,No,No,,No,No,No,No,,,No,No,No,All kind,,,No,,,,No,,No,,,No,No,No,Yes,No,No,No,Yes,,,,,,,,,,,,,,,,,,,
10124774,To be defined,,1965,Good,4,,,315m²square meters,34m²square meters,,23m²square meters,1,,,1,,,27m²square meters,Yes,No,177m²square meters,Connected,Yes,,No,No,Yes,No,387 kWh/m²kilowatt hour per square meters,D,20220726-0002643612-RES-1,Not specified,Not specified,,Gas,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 525,000525000 €","€ 1,3971397 €",No,Markt 7 9140- Temse,http://www.erawonen.be,2022/371,East Falnders,10 m,,,,,,10 mmeters,15m²square meters,Yes,,,,,,,,Yes,,50m²square meters,,,,,,,,,,,,387,No,,,,Yes,,No,,,,No,No,,No,No,No,,,,,,,,,,,,,,,,,,,,
10147560,After signing the deed,,1971,To be done up,3,1,"Living area (residential, urban or rural)",,,Installed,,4,,,1,,2,,Yes,,540m²square meters,Connected,Yes,420m²square meters,,,,,317 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,,Gas,Yes,Yes,,No,Non flood zone,"Living area (residential, urban or rural)","€ 347,000347000 €","€ 1,4121412 €",,Hoogstraat 140 9340- Lede,,,East Falnders,,1,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
9940141,To be defined,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,,,,Non flood zone,,,,No,Kapelanielaan 9c 9140- Temse,http://www.ipon-nv.be,,East Falnders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10139252,After signing the deed,,,Good,3,,"Living area (residential, urban or rural)",99m²square meters,25m²square meters,Installed,6m²square meters,2,14m²square meters,11m²square meters,1,,2,,No,Yes,99m²square meters,Connected,Yes,27m²square meters,No,No,Yes,No,541 kWh/m²kilowatt hour per square meters,F,41,Not specified,Not specified,,Gas,,,,,Non flood zone,,"€ 220,000220000 €",€ 404404 €,No,,,,East Falnders,7 m,,,,,,,7m²square meters,Yes,50m²square meters,,,No,,,,No,No,4m²square meters,Yes,No,No,Yes,,South West,No,No,No,All kind,,,No,,Yes,8m²square meters,No,45m²square meters,No,,,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,
9635662,Immediately,,,To renovate,2,,,,,Not installed,,3,,,1,,2,,,No,130m²square meters,,Yes,,,,,,638 kWh/m²kilowatt hour per square meters,F,20141211-0001714243-1,Not specified,Not specified,No,,Yes,No,Yes,,Non flood zone,"Living area (residential, urban or rural)","€ 149,000149000 €",€ 505505 €,No,Abeelstraat 9A 9600- Ronse,http://www.century21.be/adviesinvastgoed-ronse,14193 - 291830,East Falnders,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10162661,After signing the deed,,1899,To be done up,2,,,115m²square meters,,,,3,,,1,,,,,No,58m²square meters,Not connected,Yes,,,,,,393 kWh/m²kilowatt hour per square meters,D,2641109-RES-1,Not specified,Not specified,,Gas,,No,No,No,Non flood zone,Another type of area,"€ 145,000145000 €",€ 354354 €,No,Sint-Lievenslaan 3 9000- Gent,http://www.era.be/ryckaert,9u30 - 11u=&gt; GJ,East Falnders,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,393,No,,,,,,No,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,
9982946,After signing the deed,,1918,Good,2,,Urban,118m²square meters,25m²square meters,Installed,7m²square meters,4,15m²square meters,14m²square meters,1,,1,,No,No,80m²square meters,,,21m²square meters,,,,,450 kWh/m²kilowatt hour per square meters,E,2381599,Not specified,Not specified,No,Gas,,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 159,000159000 €",€ 242242 €,No,Hoogstraat 31 9620- Zottegem,http://www.agencedeville.be/,spir3417,East Falnders,4 m,,14m²square meters,12m²square meters,,,,4m²square meters,Yes,51m²square meters,,,No,,,,,No,11m²square meters,,,,,,South West,,,,,No,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,
10137674,After signing the deed,,,To renovate,2,,,,,Installed,,2,,,1,,2,,,No,520m²square meters,,Yes,,,,,,936 kWh/m²kilowatt hour per square meters,F,20220823-0002659703-RES-1.,Not specified,Not specified,No,,,,No,,Non flood zone,"Living area (residential, urban or rural)","€ 170,000170000 €",€ 316316 €,No,Damstraat 128 9220- Hamme,http://www.janssenenjanssen.be,1315015 - 1308384,East Falnders,,2,,,,,,,,,,,"Yes, conform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10021647,Immediately,,1900,To renovate,2,,,96m²square meters,28m²square meters,Installed,12m²square meters,3,24m²square meters,8m²square meters,1,,,,No,,55m²square meters,,No,11m²square meters,,,,,456 kWh/m²kilowatt hour per square meters,E,20220205-0002540115-RES-1,8158 kg CO₂/m²,Not specified,,Gas,,,,,,,"€ 224,500224500 €",€ 274274 €,No,,,,East Falnders,4 m,,10m²square meters,,,,4 mmeters,,Yes,,,,,,,,,No,,No,No,No,No,,South East,,,,All kind,,,No,,,,No,,No,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,
10038576,Immediately,,,Just renovated,4,,Countryside,87m²square meters,30m²square meters,Installed,12m²square meters,1,32m²square meters,,1,,1,,No,,80m²square meters,Connected,Yes,100m²square meters,No,No,Yes,No,221 kWh/m²kilowatt hour per square meters,C,202206020002615368RES1,Not specified,Not specified,No,Gas,,No,No,No,Non flood zone,,"€ 229,000229000 €",€ 131131 €,No,,,,East Falnders,7 m,,,,,,,20m²square meters,Yes,,,,No,,,,No,No,,No,No,Yes,Yes,,West,No,No,No,All kind,No,,No,,Yes,9m²square meters,No,,No,West,,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,
10046237,After signing the deed,,1931,Good,3,1,Isolated,155m²square meters,30m²square meters,Hyper equipped,15m²square meters,2,16m²square meters,16m²square meters,1,1,1,,Yes,No,367m²square meters,Connected,No,,No,No,Yes,No,927 kWh/m²kilowatt hour per square meters,F,20220726-0002646064-RES-1,Not specified,Not specified,,,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 230,000230000 €",€ 423423 €,No,Stationstraat 32 9400- Ninove,http://www.localsvastgoed.be,4846901,East Falnders,,1,,,,Yes,16 mmeters,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10008302,After signing the deed,,1966,,2,2,"Living area (residential, urban or rural)",167m²square meters,28m²square meters,Installed,9m²square meters,3,15m²square meters,13m²square meters,1,,1,,,,203m²square meters,Connected,Yes,,No,No,Yes,No,555 kWh/m²kilowatt hour per square meters,F,20220711-0002638845-RES-1,Not specified,Not specified,,Gas,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 240,000240000 €",€ 634634 €,No,Stationstraat 32 9400- Ninove,http://www.localsvastgoed.be,4810033,East Falnders,7 m,,7m²square meters,,,Yes,7 mmeters,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10134930,Depending on the tenant,,1949,To be done up,3,1,"Living area (residential, urban or rural)",153m²square meters,44m²square meters,Semi equipped,,3,14m²square meters,14m²square meters,1,,2,,,,152m²square meters,Connected,Yes,,,,,,387 kWh/m²kilowatt hour per square meters,D,20220923-0002679042-RES-2,Not specified,Not specified,No,Gas,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 235,000235000 €",€ 433433 €,,Brusselsesteenweg 89 9400- Ninove,,,East Falnders,6 m,,6m²square meters,,Yes,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,Yes,Yes,South East,,,,,,,,,Yes,,,,,South East,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
10125565,After signing the deed,,,To renovate,2,,,,,Semi equipped,6m²square meters,3,12m²square meters,11m²square meters,1,,1,,,No,257m²square meters,,,,,,,,901 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,No,Gas,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 249,000249000 €",€ 582582 €,No,Gentstraat 425 9041- Oostakker,http://www.pattymo.be,4566 - 2300,East Falnders,,,10m²square meters,,Yes,,7.5 mmeters,,Yes,,,,,,,,,,,,,,,Yes,South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10121012,Immediately,,,Good,2,,"Living area (residential, urban or rural)",108m²square meters,30m²square meters,Semi equipped,,4,10m²square meters,14m²square meters,1,,2,,,,109m²square meters,,Yes,65m²square meters,,,,,380 kWh/m²kilowatt hour per square meters,D,0002345333,Not specified,Not specified,No,Gas,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 245,000245000 €",€ 239239 €,No,Albert Liénartstraat 28 9300- Aalst,http://www.seghersvastgoed.be,,East Falnders,4 m,,10m²square meters,20m²square meters,,,4 mmeters,14m²square meters,Yes,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,20m²square meters,,,,,,,,,,,,Jürgen Seghers,,,,,,,,,,,,,,,,,,
10128842,After signing the deed,,1949,To renovate,3,,,115m²square meters,,,,2,,,1,,1,,,No,,,,,,,,,564 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,No,,,,,,,"Living area (residential, urban or rural)","€ 285,000285000 €",€ 716716 €,No,Grote Markt 61 9100- Sint-Niklaas,,4274 - 4625,East Falnders,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10057737,To be defined,June 30 2023 - 12:00 AM,1957,To be done up,2,1,Urban,123m²square meters,24m²square meters,Installed,11m²square meters,3,12m²square meters,11m²square meters,1,,1,8m²square meters,Yes,No,167m²square meters,Connected,Yes,,,,Yes,,211 kWh/m²kilowatt hour per square meters,C,20220810-0002651137-RES-1,Not specified,Not specified,,Gas,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 249,000249000 €",€ 413413 €,No,Clément Behnplein 7 9400- Ninove,,4867057,East Falnders,6.1 m,,17m²square meters,,Yes,,6.1 mmeters,,Yes,,Link to the virtual visit,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9991418,After signing the deed,,1930,Good,2,,Urban,145m²square meters,18m²square meters,Installed,15m²square meters,3,12m²square meters,12m²square meters,2,1,2,,,,140m²square meters,Connected,Yes,,,,Yes,,511 kWh/m²kilowatt hour per square meters,F,20210805-000244836-res-1,Not specified,Not specified,,Gas,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 299,000299000 €",€ 585585 €,No,Molenstraat 77 9300- Aalst,,4745398,East Falnders,6 m,,22m²square meters,,,Yes,6 mmeters,45m²square meters,Yes,,Link to the virtual visit,,,,Oost-Vlaanderen,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9669307,After signing the deed,,1970,To renovate,3,3,,215m²square meters,25m²square meters,Semi equipped,10m²square meters,3,17m²square meters,12m²square meters,1,1,2,,,No,401m²square meters,,Yes,200m²square meters,,,Yes,,558 kWh/m²kilowatt hour per square meters,F,20210429-0002407614-RES-1,Not specified,Not specified,No,Fuel oil,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 315,000315000 €",€ 999999 €,,Molenstraat 74 9300- Aalst,http://www.immovansande.be,,East Falnders,6.5 m,2,12m²square meters,,,,10 mmeters,20m²square meters,Yes,,,,"Yes, conform",,,Yes,,,13m²square meters,Yes,,,Yes,,South West,,,,,,,,1,Yes,,,55m²square meters,,South West,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8784547,Immediately,,1970,Good,3,,"Living area (residential, urban or rural)",210m²square meters,40m²square meters,Installed,,5,,,1,,2,,,,165m²square meters,Connected,Yes,,,,Yes,,256 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,,Gas,Yes,,,No,,"Living area (residential, urban or rural)","€ 319,000319000 €","€ 1,6251625 €",,Fazantenlaan 24a 9320- Erembodegem,,,East Falnders,,1,,,,Yes,,86m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918008,To be defined,,,Good,4,2,"Living area (residential, urban or rural)",175m²square meters,31m²square meters,Installed,21m²square meters,3,16m²square meters,14m²square meters,1,,2,,,,718m²square meters,Connected,Yes,,,,,,290 kWh/m²kilowatt hour per square meters,C,20220323-0002569595-RES-1,Not specified,Not specified,No,Gas,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 348,000348000 €",€ 587587 €,No,Brusselsesteenweg 89 9400- Ninove,,,East Falnders,17 m,2,18m²square meters,,Yes,,27 mmeters,,Yes,,,,,Yes,,Yes,,,,,,,Yes,Yes,South,,,,,,,,,Yes,,,31m²square meters,,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10116405,Immediately,,1961,To be done up,4,3,Countryside,,29m²square meters,Installed,15m²square meters,2,13m²square meters,12m²square meters,1,,1,,,,931m²square meters,Connected,,,,,Yes,,1143 kWh/m²kilowatt hour per square meters,F,20220829-0002664025-RES-1,Not specified,Not specified,,Fuel oil,,No,No,,Non flood zone,,"€ 320,000320000 €",€ 530530 €,No,"Statiestraat, 16 8720- DENTERGEM",,,East Falnders,9 m,1,,,,,21 mmeters,7m²square meters,,,,,"Yes, conform",,Grammene,Yes,,,,Yes,,,Yes,Yes,South West,,,,,,,No,,Yes,,,,,,,,,,,No,,,,Frank VERHELST,,,,,,,,,,,,,,,,,,
10112441,After signing the deed,,1978,Good,3,3,Urban,195m²square meters,50m²square meters,USA hyper equipped,19m²square meters,5,21m²square meters,13m²square meters,1,1,2,,Yes,No,450m²square meters,Connected,Yes,279m²square meters,No,No,Yes,No,227 kWh/m²kilowatt hour per square meters,C,20220907-0002670263-Res-1,Not specified,Not specified,,Gas,,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 375,000375000 €","€ 1,2661266 €",No,Ninoofsesteenweg 234B 1700- Dilbeek,http://www.wsb-immo.be,4929459,East Falnders,,1,10m²square meters,30m²square meters,,,13 mmeters,,Yes,,,12m²square meters,,Yes,Regio Aalst-Denderleeuw,,,,11m²square meters,,,,,,,,,,,,,,,,,,48m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101909,To be defined,,1998,Good,4,1,,176m²square meters,,Installed,,3,,,1,,2,,,,656m²square meters,,,,,,,,211 kWh/m²kilowatt hour per square meters,C,20220704-0002634659-RES-1,Not specified,Not specified,,Gas,Yes,Yes,No,,Non flood zone,,"€ 430,000430000 €",€ 877877 €,No,Casinostraat 10 9100- Sint-Niklaas,,,East Falnders,,1,,,,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,,,,,,,,,No,,Yes,,,,,,,,,,,No,,,Yes,Kaat WEYN,,,,,,,,,,,,,,,,,,
10105714,To be defined,,,Good,3,2,,190m²square meters,41m²square meters,Installed,,4,,,1,,2,,,No,259m²square meters,,,142m²square meters,,,,,175 kWh/m²kilowatt hour per square meters,B,Not specified,Not specified,Not specified,No,Gas,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 389,000389000 €",€ 743743 €,No,"Dorpsstraat, 21 9190- Stekene",http://www.vanhoyevastgoed.be,6255 - 1690511,East Falnders,8 m,1,,,,,9 mmeters,,Yes,,,,,Yes,,,,,,,,,,,South West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
