,Available as of,Available date,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Furnished,Surface of the plot,Connection to sewer network,"Gas, water &amp; electricity",Garden surface,Elevator,Accessible for disabled people,TV cable,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Covered parking spaces,Bedroom 3 surface,Bedroom 4 surface,Basement,Attic,Width of the lot on the street,Terrace surface,Double glazing,Total ground floor buildable,Virtual visit,Bedroom 5 surface,Conformity certification for fuel tanks,Terrace,Neighbourhood or locality,Dining room,Secure access / alarm,Dressing room,Basement surface,Land is facing street,Wooded land,Plot at rear,Flat land,Garden,Garden orientation,Caretaker,Intercom,Visio phone,Type of building,Obligation to build,E-level (overall energy performance),Thermic solar panels,How many fireplaces?,Laundry room,Professional space surface,Professional space,Attic surface,Armored door,Terrace orientation,Number of annexes,Air conditioning,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Common water heater,Living room,Agent's name,Current monthly revenue,Isolated,Venue of the sale,Single session,Terms of visit,Starting price,Property name,Percentage rented,Monthly charges,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Date of the sale
9905407,After signing the deed,,1969,Good,3,3,Isolated,210m²square meters,40m²square meters,Semi equipped,15m²square meters,4,8m²square meters,15m²square meters,1,1,2,,,No,384m²square meters,Connected,Yes,,No,No,Yes,No,604 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,,,,,,,Possible flood zone,,"€ 318,500318500 €",,No,Nieuwstraat 32b1 1730- Asse,http://www.kantoorleemans.be,4729511,East Falnders,,1,18m²square meters,17m²square meters,Yes,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10090041,After signing the deed,,,Good,4,4,Isolated,190m²square meters,25m²square meters,Installed,8m²square meters,4,19m²square meters,21m²square meters,1,,2,,Yes,,1868m²square meters,Connected,Yes,,,,Yes,,1579 kWh/m²kilowatt hour per square meters,F,0002446113-RES-1,Not specified,Not specified,,Gas,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 439,000439000 €",€ 364364 €,Yes,Grote Baan 170 9310- Herdersem,,4899058,East Falnders,,2,13m²square meters,8m²square meters,,Yes,,,Yes,,Link to the virtual visit,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10090039,After signing the deed,,,Good,4,4,Isolated,190m²square meters,25m²square meters,Installed,8m²square meters,4,19m²square meters,21m²square meters,1,,2,,Yes,,1868m²square meters,Connected,Yes,,,,Yes,,1579 kWh/m²kilowatt hour per square meters,F,0002446113-RES-1,Not specified,Not specified,,Gas,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 439,000439000 €",€ 364364 €,No,Grote Baan 170 9310- Herdersem,,4899049,East Falnders,,2,13m²square meters,8m²square meters,,Yes,,,Yes,,Link to the virtual visit,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10112677,After signing the deed,,,,4,4,,281m²square meters,,Hyper equipped,,3,,,1,,2,,No,,1310m²square meters,Connected,No,,,,,,529 kWh/m²kilowatt hour per square meters,F,20220826-0002662830-RES-1,Not specified,Not specified,No,Electric,,No,,,Non flood zone,,"€ 449,000449000 €",€ 743743 €,No,,,,East Falnders,,1,,,,,,,Yes,,,,No,,,,,Yes,,Yes,No,No,No,,,,,,All kind,,,No,,,,No,,No,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,
10125951,To be defined,July 1 2023 - 12:00 AM,2002,As new,4,4,"Living area (residential, urban or rural)",230m²square meters,,USA hyper equipped,,2,,,2,,3,,,No,660m²square meters,,,,No,,,,140 kWh/m²kilowatt hour per square meters,B,20220920-0002678498-RES-1,Not specified,Not specified,,Gas,,,No,No,Non flood zone,,"€ 815,000815000 €",,No,Baron de Gieylaan 18 9840- De Pinte,http://www.immods.be,4927995,East Falnders,,1,,,Yes,Yes,,,,,,,,Yes,Omgeving De Pinte,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10090040,After signing the deed,,,Good,4,4,Isolated,190m²square meters,25m²square meters,Installed,8m²square meters,4,19m²square meters,21m²square meters,1,,2,,Yes,,1868m²square meters,Connected,Yes,,,,Yes,,1579 kWh/m²kilowatt hour per square meters,F,0002446113-RES-1,Not specified,Not specified,,Gas,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 439,000439000 €",€ 364364 €,No,Grote Baan 170 9310- Herdersem,,4899057,East Falnders,,2,13m²square meters,8m²square meters,,Yes,,,Yes,,Link to the virtual visit,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9522846,Immediately,,,To renovate,2,,,636m²square meters,,USA installed,,5,,,2,,3,,,No,,,,,,,,,350 kWh/m²kilowatt hour per square meters,D,20210709-0002439675-RES-1,Not specified,Not specified,No,Gas,,,,,,,"€ 960,000960000 €",,No,Arduinkaai 35 1000- Brussel,,973 - 2160,East Falnders,,1,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9814335,After signing the deed,,1989,As new,4,6,"Living area (residential, urban or rural)",265m²square meters,,Hyper equipped,,3,,,1,1,2,,No,No,1371m²square meters,,,,No,No,No,Yes,389 kWh/m²kilowatt hour per square meters,D,2262200,Not specified,Not specified,,Gas,,,,,Non flood zone,Extended residential area,"€ 1,050,0001050000 €",,No,Kortrijksesteenweg 118 9830- Sint-Martens-Latem,http://www.engelvoelkers.com/latem,W-02O78J,East Falnders,,1,,,,,,,Yes,,,,No,,,,Yes,No,,,,,,Yes,South,No,No,No,,No,,,,Yes,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,
10158491,After signing the deed,,1949,,2,,,701m²square meters,,Installed,,3,,,1,,2,,No,,,,No,512m²square meters,,,,,273 kWh/m²kilowatt hour per square meters,C,20220709-0002635917-RES-2,Not specified,Not specified,No,Gas,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 275,000275000 €",€ 637637 €,No,,,,East Falnders,,,,,,,,,No,,,,No,,,,,No,,No,No,No,No,,,,,,,No,,No,,,,No,,No,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,
10139835,To be defined,,,Good,2,,Urban,225m²square meters,,,,5,,,2,,3,,No,,141m²square meters,Connected,Yes,35m²square meters,,,,,Not specified,Not specified,20220920-0002678164-RES-1,Not specified,Not specified,,Gas,Yes,,,No,Non flood zone,,"€ 670,000670000 €",,No,,,,East Falnders,6 m,,,,Yes,Yes,,,Yes,,,,,,,Yes,,No,,No,No,No,No,,,,,,All kind,,232,No,,Yes,,No,,No,,,,,,,No,No,No,Yes,,,,,,,,,,,,,,,,,,,
